Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.006845,7.313143,[37 29] ; [66 20],[44.72368421 21.27631579] ; [58.27631579 27.72368421],0
v2,1,0.008061,7.019965,[36 26] ; [29 52],[28.18181818 33.81818182] ; [36.81818182 44.18181818],0
s8,1,0.011357,6.408518,[26 40] ; [18 69],[18.98039216 47.01960784] ; [25.01960784 61.98039216],0
s5,1,0.026063,4.95181,[18 45] ; [11 70],[12.6875 50.3125] ; [16.3125 64.6875],0
v3,1,0.035546,4.418759,[23 38] ; [17 62],[17.42857143 43.57142857] ; [22.57142857 56.42857143],0
p9,1,0.051823,3.781465,[47 16] ; [51 35],[41.43624161 21.56375839] ; [56.56375839 29.43624161],0
s6,1,0.07899,3.085556,[37 28] ; [37 50],[31.64473684 33.35526316] ; [42.35526316 44.64473684],0
b3,1,0.081095,3.042827,[16 22] ; [12 37],[12.22988506 25.77011494] ; [15.77011494 33.22988506],0
b2,1,0.081095,3.042827,[16 22] ; [12 37],[12.22988506 25.77011494] ; [15.77011494 33.22988506],0
p2,1,0.084144,2.982985,[48 16] ; [53 33],[43.09333333 20.90666667] ; [57.90666667 28.09333333],0
s2,1,0.100224,2.701973,[31 34] ; [30 57],[26.08552632 38.91447368] ; [34.91447368 52.08552632],0
p3,1,0.108591,2.574603,[28 36] ; [27 60],[23.31125828 40.68874172] ; [31.68874172 55.31125828],0
r1,1,0.121049,2.403691,[54 12] ; [61 25],[49.93421053 16.06578947] ; [65.06578947 20.93421053],0
p6,1,0.126462,2.335406,[17 43] ; [15 70],[13.24137931 46.75862069] ; [18.75862069 66.24137931],0
a3,1,0.126724,2.332185,[48 18] ; [53 34],[43.56862745 22.43137255] ; [57.43137255 29.56862745],0
s7,1,0.154969,2.022647,[24 37] ; [23 59],[20.04895105 40.95104895] ; [26.95104895 55.04895105],0
n3,1,0.219343,1.508666,[17  5] ; [19 12],[14.94339623  7.05660377] ; [21.05660377  9.94339623],0
