Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.9e-05,18.306777,[83 10] ; [20 16],[74.25581395 18.74418605] ; [28.74418605  7.25581395],1
n6,1,0.002933,8.848912,[83 10] ; [25 12],[77.26153846 15.73846154] ; [30.73846154  6.26153846],0
r1,1,0.009083,6.806524,[69 23] ; [19 18],[62.75968992 29.24031008] ; [25.24031008 11.75968992],0
r2,1,0.022616,5.197756,[88  4] ; [31  6],[84.86821705  7.13178295] ; [34.13178295  2.86821705],0
p11,1,0.023295,5.146408,[81 12] ; [26 11],[76.54615385 16.45384615] ; [30.45384615  6.54615385],0
s3,1,0.027443,4.862698,[51 39] ; [13 24],[45.35433071 44.64566929] ; [18.64566929 18.35433071],0
r4,1,0.052629,3.755647,[81 12] ; [27 10],[77.26153846 15.73846154] ; [30.73846154  6.26153846],0
p3,1,0.054414,3.699965,[47 45] ; [12 25],[42.07751938 49.92248062] ; [16.92248062 20.07751938],0
v3,1,0.067457,3.343841,[35 56] ; [ 8 29],[30.5703125 60.4296875] ; [12.4296875 24.5703125],0
a5,1,0.087288,2.923692,[58 35] ; [17 20],[53.65384615 39.34615385] ; [21.34615385 15.65384615],0
v1,1,0.099803,2.708687,[48 41] ; [14 23],[43.79365079 45.20634921] ; [18.20634921 18.79365079],0
a6,1,0.103966,2.643619,[62 31] ; [19 18],[57.94615385 35.05384615] ; [23.05384615 13.94615385],0
p2,1,0.112158,2.523552,[77 16] ; [26 11],[73.68461538 19.31538462] ; [29.31538462  7.68461538],0
d3,1,0.112187,2.523134,[29 64] ; [ 6 29],[25.4296875 67.5703125] ; [ 9.5703125 25.4296875],0
p9,1,0.12069,2.408344,[87  5] ; [32  5],[84.86821705  7.13178295] ; [34.13178295  2.86821705],0
b1,1,0.165391,1.924234,[33 60] ; [18 19],[36.48461538 56.51538462] ; [14.51538462 22.48461538],0
p1,1,0.185253,1.754974,[16 77] ; [ 3 34],[13.59230769 79.40769231] ; [ 5.40769231 31.59230769],0
r3,1,0.198444,1.653786,[86  6] ; [32  5],[84.15503876  7.84496124] ; [33.84496124  3.15503876],0
b5,1,0.210459,1.568269,[54 39] ; [17 20],[50.79230769 42.20769231] ; [20.20769231 16.79230769],0
v2,1,0.215675,1.532915,[44 42] ; [14 22],[40.8852459 45.1147541] ; [17.1147541 18.8852459],0
p12,1,0.231825,1.429627,[ 8 85] ; [ 1 36],[ 6.43846154 86.56153846] ; [ 2.56153846 34.43846154],0
