Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.8e-05,15.380466,[3 4] ; [114  11],[6.20454545 0.79545455] ; [110.79545455  14.20454545],1
v4,1,0.004404,8.109393,[4 3] ; [114  11],[6.25757576 0.74242424] ; [111.74242424  13.25757576],0
r3,1,0.006976,7.279051,[4 3] ; [113  12],[6.20454545 0.79545455] ; [110.79545455  14.20454545],0
p9,1,0.009076,6.807788,[1 6] ; [79 45],[4.27480916 2.72519084] ; [75.72519084 48.27480916],0
a8,1,0.009717,6.68611,[3 4] ; [ 12 106],[0.84 6.16] ; [ 14.16 103.84],0
n6,1,0.011019,6.462257,[2 5] ; [91 33],[4.96946565 2.03053435] ; [88.03053435 35.96946565],0
d4,1,0.033564,4.516776,[3 4] ; [96 27],[5.33076923 1.66923077] ; [93.66923077 29.33076923],0
d1,1,0.038665,4.275535,[1 6] ; [68 57],[3.65909091 3.34090909] ; [65.34090909 59.65909091],0
p10,1,0.08969,2.879931,[2 5] ; [75 48],[4.14615385 2.85384615] ; [72.85384615 50.14615385],0
p11,1,0.091474,2.848234,[2 5] ; [76 49],[4.13636364 2.86363636] ; [73.86363636 51.13636364],0
d3,1,0.119393,2.425269,[2 5] ; [72 51],[3.98461538 3.01538462] ; [70.01538462 52.98461538],0
n2,1,0.152885,2.043229,[1 2] ; [34 13],[2.1 0.9] ; [32.9 14.1],0
s7,1,0.180218,1.795822,[1 5] ; [52 65],[2.58536585 3.41463415] ; [50.41463415 66.58536585],0
a5,1,0.186102,1.748209,[3 4] ; [84 41],[4.61363636 2.38636364] ; [82.38636364 42.61363636],0
n3,1,0.193076,1.69399,[1 2] ; [30 13],[2.02173913 0.97826087] ; [28.97826087 14.02173913],0
p1,1,0.203605,1.616327,[1 6] ; [  5 120],[0.31818182 6.68181818] ; [  5.68181818 119.31818182],0
b1,1,0.211968,1.557933,[5 2] ; [59 66],[3.39393939 3.60606061] ; [60.60606061 64.39393939],0
s6,1,0.304638,1.053782,[3 4] ; [76 46],[4.28682171 2.71317829] ; [74.71317829 47.28682171],0
a4,1,0.326619,0.962258,[2 5] ; [59 65],[3.25954198 3.74045802] ; [57.74045802 66.25954198],0
s2,1,0.337395,0.920303,[2 5] ; [58 65],[3.23076923 3.76923077] ; [56.76923077 66.23076923],0
a6,1,0.341198,0.905923,[3 4] ; [75 48],[4.2 2.8] ; [73.8 49.2],0
v2,1,0.359245,0.84053,[2 4] ; [63 57],[3.0952381 2.9047619] ; [61.9047619 58.0952381],0
a1,1,0.420539,0.648808,[1 6] ; [  8 117],[0.47727273 6.52272727] ; [  8.52272727 116.47727273],0
d5,1,0.445381,0.582379,[4 3] ; [87 36],[4.9 2.1] ; [86.1 36.9],0
a3,1,0.496753,0.461866,[3 3] ; [79 45],[3.78461538 2.21538462] ; [78.21538462 45.78461538],0
n4,1,0.519334,0.415216,[4 3] ; [86 39],[4.77272727 2.22727273] ; [85.22727273 39.77272727],0
u3,1,0.543077,0.369867,[2 2] ; [30 16],[2.56 1.44] ; [29.44 16.56],0
v3,1,0.559353,0.340825,[2 5] ; [46 70],[2.73170732 4.26829268] ; [45.26829268 70.73170732],0
p7,1,0.571278,0.320549,[3 4] ; [39 81],[2.31496063 4.68503937] ; [39.68503937 80.31496063],0
p5,1,0.574825,0.314676,[1 6] ; [ 10 112],[0.59689922 6.40310078] ; [ 10.40310078 111.59689922],0
n1,1,0.575811,0.313056,[1 2] ; [23 23],[1.46938776 1.53061224] ; [22.53061224 23.46938776],0
s1,1,0.634785,0.225628,[1 6] ; [ 11 112],[0.64615385 6.35384615] ; [ 11.35384615 111.64615385],0
a2,1,0.645053,0.212195,[1 6] ; [27 98],[1.48484848 5.51515152] ; [26.51515152 98.48484848],0
s3,1,0.651234,0.204348,[3 4] ; [63 59],[3.58139535 3.41860465] ; [62.41860465 59.58139535],0
n5,1,0.678691,0.171603,[5 2] ; [79 45],[4.48854962 2.51145038] ; [79.51145038 44.48854962],0
u2,1,0.696566,0.152069,[2 2] ; [27 18],[2.36734694 1.63265306] ; [26.63265306 18.36734694],0
s4,1,0.697594,0.150987,[1 6] ; [25 98],[1.4 5.6] ; [24.6 98.4],0
p6,1,0.704542,0.14379,[1 6] ; [25 99],[1.38931298 5.61068702] ; [24.61068702 99.38931298],0
p8,1,0.704573,0.143758,[2 5] ; [28 97],[1.59090909 5.40909091] ; [28.40909091 96.59090909],0
b2,1,0.704886,0.143439,[1 3] ; [27 52],[1.34939759 2.65060241] ; [26.65060241 52.34939759],0
b3,1,0.704886,0.143439,[1 3] ; [27 52],[1.34939759 2.65060241] ; [26.65060241 52.34939759],0
a7,1,0.72022,0.128282,[5 2] ; [81 44],[4.56060606 2.43939394] ; [81.43939394 43.56060606],0
p3,1,0.80545,0.060664,[2 5] ; [41 83],[2.29770992 4.70229008] ; [40.70229008 83.29770992],0
p4,1,0.816954,0.053576,[2 5] ; [40 82],[2.27906977 4.72093023] ; [39.72093023 82.27906977],0
b5,1,0.947655,0.00431,[4 3] ; [73 52],[4.08333333 2.91666667] ; [72.91666667 52.08333333],0
b4,1,0.985782,0.000318,[4 3] ; [71 54],[3.97727273 3.02272727] ; [71.02272727 53.97727273],0
