Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,81.008373,[ 5 32] ; [120  16],[26.73410405 10.26589595] ; [98.26589595 37.73410405],1
p2,1,0.000239,13.493223,[19 20] ; [107  29],[28.08 10.92] ; [97.92 38.08],1
s7,1,0.001189,10.507662,[ 6 30] ; [61 70],[14.44311377 21.55688623] ; [52.55688623 78.44311377],0
p11,1,0.001423,10.175883,[23 16] ; [113  23],[30.30857143  8.69142857] ; [105.69142857  30.30857143],0
n5,1,0.002035,9.517949,[18 21] ; [98 37],[26. 13.] ; [90. 45.],0
s8,1,0.00283,8.913689,[ 5 34] ; [52 84],[12.70285714 26.29714286] ; [44.29714286 91.70285714],0
p4,1,0.015491,5.859718,[11 27] ; [69 66],[17.57225434 20.42774566] ; [62.42774566 72.57225434],0
s5,1,0.01553,5.855365,[ 4 34] ; [39 91],[ 9.72619048 28.27380952] ; [33.27380952 96.72619048],0
a5,1,0.016311,5.768984,[13 26] ; [75 61],[19.61142857 19.38857143] ; [68.38857143 67.61142857],0
s6,1,0.025297,5.003462,[16 23] ; [82 52],[22.09248555 16.90751445] ; [75.90751445 58.09248555],0
a3,1,0.027743,4.843939,[13 26] ; [72 63],[19.05172414 19.94827586] ; [65.94827586 69.05172414],0
p8,1,0.033999,4.494744,[13 26] ; [71 64],[18.82758621 20.17241379] ; [65.17241379 69.82758621],0
n6,1,0.036509,4.37317,[26 13] ; [111  24],[30.70689655  8.29310345] ; [106.29310345  28.70689655],0
a6,1,0.055475,3.667746,[18 21] ; [86 50],[23.17714286 15.82285714] ; [80.82285714 55.17714286],0
s4,1,0.075673,3.155475,[ 3 36] ; [ 27 109],[ 6.68571429 32.31428571] ; [ 23.31428571 112.68571429],0
s2,1,0.078796,3.08957,[12 27] ; [62 71],[16.77906977 22.22093023] ; [57.22093023 75.77906977],0
s1,1,0.096858,2.756526,[ 4 34] ; [  5 129],[ 1.98837209 36.01162791] ; [  7.01162791 126.98837209],0
p5,1,0.130898,2.281823,[ 2 37] ; [ 19 116],[ 4.70689655 34.29310345] ; [ 16.29310345 118.70689655],0
b1,1,0.169263,1.889461,[20 19] ; [53 83],[16.26857143 22.73142857] ; [56.73142857 79.26857143],0
a2,1,0.188815,1.726841,[ 1 38] ; [ 12 124],[ 2.89714286 36.10285714] ; [ 10.10285714 125.89714286],0
n3,1,0.191779,1.703896,[12  2] ; [18  9],[10.24390244  3.75609756] ; [19.75609756  7.24390244],0
a4,1,0.194824,1.680753,[ 5 33] ; [ 31 105],[ 7.86206897 30.13793103] ; [ 28.13793103 107.86206897],0
r4,1,0.207439,1.589209,[31  8] ; [119  17],[33.42857143  5.57142857] ; [116.57142857  19.42857143],0
v1,1,0.22148,1.494755,[14 25] ; [62 70],[17.33333333 21.66666667] ; [58.66666667 73.33333333],0
n4,1,0.226758,1.461083,[22 17] ; [91 45],[25.18285714 13.81714286] ; [87.81714286 48.18285714],0
v4,1,0.233278,1.420765,[34  4] ; [128   7],[35.58381503  2.41618497] ; [126.41618497   8.58381503],0
p3,1,0.239808,1.38172,[12 27] ; [56 80],[15.15428571 23.84571429] ; [52.84571429 83.15428571],0
b5,1,0.275496,1.189175,[20 19] ; [83 53],[22.95428571 16.04571429] ; [80.04571429 55.95428571],0
a7,1,0.329618,0.950397,[21 18] ; [85 51],[23.62285714 15.37714286] ; [82.37714286 53.62285714],0
n2,1,0.340594,0.908193,[13  2] ; [20  7],[11.78571429  3.21428571] ; [21.21428571  5.78571429],0
p1,1,0.347699,0.881839,[ 3 36] ; [ 18 118],[ 4.68 34.32] ; [ 16.32 119.68],0
p7,1,0.477431,0.504725,[24 14] ; [76 58],[22.09302326 15.90697674] ; [77.90697674 56.09302326],0
u3,1,0.502307,0.450059,[12 14] ; [34 29],[13.43820225 12.56179775] ; [32.56179775 30.43820225],0
s3,1,0.523888,0.406232,[20 19] ; [77 58],[21.74137931 17.25862069] ; [75.25862069 59.74137931],0
a1,1,0.6037,0.269451,[ 1 38] ; [  6 130],[ 1.56 37.44] ; [  5.44 130.56],0
u2,1,0.659233,0.194457,[14 11] ; [32 31],[13.06818182 11.93181818] ; [32.93181818 30.06818182],0
d1,1,0.6814,0.168555,[ 3 36] ; [  8 128],[ 2.45142857 36.54857143] ; [  8.54857143 127.45142857],0
