Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.005012,7.875,[6 3] ; [ 1 11],[3. 6.] ; [4. 8.],0
p10,1,0.040391,4.201389,[7 1] ; [5 7],[4.8 3.2] ; [7.2 4.8],0
p7,1,0.061369,3.5,[5 4] ; [ 2 10],[3. 6.] ; [4. 8.],0
r4,1,0.061369,3.5,[5 4] ; [ 2 10],[3. 6.] ; [4. 8.],0
d2,1,0.061369,3.5,[8 1] ; [6 6],[6. 3.] ; [8. 4.],0
v2,1,0.061369,3.5,[8 1] ; [6 6],[6. 3.] ; [8. 4.],0
n4,1,0.097961,2.738426,[7 2] ; [5 7],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
p11,1,0.12506,2.352778,[8 1] ; [7 5],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
p2,1,0.12506,2.352778,[8 1] ; [7 5],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
a2,1,0.148795,2.084559,[3 6] ; [ 1 11],[1.71428571 7.28571429] ; [2.28571429 9.71428571],0
r1,1,0.153607,2.036058,[5 4] ; [3 9],[3.42857143 5.57142857] ; [4.57142857 7.42857143],0
p6,1,0.17753,1.818182,[3 6] ; [ 1 10],[1.8 7.2] ; [2.2 8.8],0
p9,1,0.197796,1.658574,[6 2] ; [5 6],[4.63157895 3.36842105] ; [6.36842105 4.63157895],0
s6,1,0.256299,1.288636,[6 3] ; [5 7],[4.71428571 4.28571429] ; [6.28571429 5.71428571],0
u2,1,0.270289,1.215278,[2 1] ; [1 3],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
u3,1,0.270289,1.215278,[2 1] ; [1 3],[1.28571429 1.71428571] ; [1.71428571 2.28571429],0
s3,1,0.291841,1.111111,[3 5] ; [ 2 10],[2. 6.] ; [3. 9.],0
a6,1,0.349575,0.875,[5 4] ; [9 3],[6. 3.] ; [8. 4.],0
p5,1,0.374857,0.7875,[3 6] ; [ 2 10],[2.14285714 6.85714286] ; [2.85714286 9.14285714],0
p4,1,0.445009,0.583333,[6 3] ; [6 6],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
n5,1,0.445009,0.583333,[6 3] ; [6 6],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
n3,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
n2,1,0.465209,0.533333,[2 1] ; [2 3],[1.5 1.5] ; [2.5 2.5],0
v1,1,0.528265,0.397727,[5 4] ; [5 7],[4.28571429 4.71428571] ; [5.71428571 6.28571429],0
b5,1,0.528265,0.397727,[4 5] ; [7 5],[4.71428571 4.28571429] ; [6.28571429 5.71428571],0
a4,1,0.528265,0.397727,[5 4] ; [5 7],[4.28571429 4.71428571] ; [5.71428571 6.28571429],0
r3,1,0.576999,0.311111,[7 2] ; [8 4],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
a5,1,0.603848,0.269231,[5 4] ; [8 4],[5.57142857 3.42857143] ; [7.42857143 4.57142857],0
a7,1,0.603848,0.269231,[5 4] ; [8 4],[5.57142857 3.42857143] ; [7.42857143 4.57142857],0
n6,1,0.675706,0.175,[6 3] ; [9 3],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
s5,1,0.718816,0.12963,[1 8] ; [ 2 10],[1.28571429 7.71428571] ; [ 1.71428571 10.28571429],0
p1,1,0.718816,0.12963,[1 8] ; [ 2 10],[1.28571429 7.71428571] ; [ 1.71428571 10.28571429],0
b1,1,0.800838,0.063636,[5 4] ; [6 6],[4.71428571 4.28571429] ; [6.28571429 5.71428571],0
s4,1,0.83008,0.046053,[1 8] ; [ 1 11],[0.85714286 8.14285714] ; [ 1.14285714 10.85714286],0
s1,1,0.83008,0.046053,[1 8] ; [ 1 11],[0.85714286 8.14285714] ; [ 1.14285714 10.85714286],0
s2,1,0.84822,0.03663,[3 5] ; [4 8],[2.8 5.2] ; [4.2 7.8],0
b3,1,0.875996,0.024351,[2 5] ; [2 6],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
b2,1,0.875996,0.024351,[2 5] ; [2 6],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
p3,1,0.887593,0.01998,[3 6] ; [4 7],[3.15 5.85] ; [3.85 7.15],0
b4,1,0.898708,0.016204,[5 4] ; [7 5],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
v4,1,1.0,0.0,[6 3] ; [8 4],[6. 3.] ; [8. 4.],0
a3,1,1.0,0.0,[6 3] ; [8 4],[6. 3.] ; [8. 4.],0
