Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.993071,[337  22] ; [61 19],[325.4715262  33.5284738] ; [72.5284738  7.4715262],1
p8,1,1.3e-05,18.975435,[210 147] ; [26 55],[192.35616438 164.64383562] ; [43.64383562 37.35616438],1
v3,1,0.003036,8.785668,[153 192] ; [20 57],[141.43364929 203.56635071] ; [31.56635071 45.43364929],0
n6,1,0.003232,8.671822,[317  41] ; [60 19],[308.84668192  49.15331808] ; [68.15331808 10.84668192],0
n4,1,0.005283,7.780069,[297  64] ; [54 25],[287.97954545  73.02045455] ; [63.02045455 15.97954545],0
p7,1,0.005377,7.748131,[246 100] ; [44 36],[235.5399061 110.4600939] ; [54.4600939 25.5399061],0
n5,1,0.008453,6.934994,[294  65] ; [55 25],[285.40091116  73.59908884] ; [63.59908884 16.40091116],0
b1,1,0.013083,6.157833,[125 236] ; [40 41],[134.76244344 226.23755656] ; [30.23755656 50.76244344],0
p3,1,0.014563,5.96857,[205 155] ; [34 47],[195.10204082 164.89795918] ; [43.89795918 37.10204082],0
r3,1,0.014983,5.918474,[352   8] ; [74  6],[348.54545455  11.45454545] ; [77.45454545  2.54545455],0
p2,1,0.021502,5.285622,[318  41] ; [64 17],[311.67727273  47.32272727] ; [70.32272727 10.67727273],0
u2,1,0.032935,4.549155,[53 33] ; [ 8 14],[48.57407407 37.42592593] ; [12.42592593  9.57407407],0
p12,1,0.033717,4.508988,[ 48 311] ; [ 4 77],[ 42.42727273 316.57272727] ; [ 9.57272727 71.42727273],0
v1,1,0.053706,3.721809,[200 144] ; [37 43],[192.28301887 151.71698113] ; [44.71698113 35.28301887],0
s1,1,0.063804,3.435647,[ 11 347] ; [ 6 74],[ 13.89497717 344.10502283] ; [ 3.10502283 76.89497717],0
v4,1,0.096477,2.762845,[346  12] ; [75  6],[343.32118451  14.67881549] ; [77.67881549  3.32118451],0
v2,1,0.125333,2.349377,[205 139] ; [38 38],[199.02857143 144.97142857] ; [43.97142857 32.02857143],0
p4,1,0.131342,2.276567,[231 127] ; [45 36],[225.07517084 132.92482916] ; [50.92482916 30.07517084],0
p1,1,0.133823,2.247584,[ 30 329] ; [11 69],[ 33.5284738 325.4715262] ; [ 7.4715262 72.5284738],0
d4,1,0.14808,2.091919,[310  49] ; [64 16],[305.84510251  53.15489749] ; [68.15489749 11.84510251],0
r4,1,0.152948,2.042599,[334  27] ; [71 10],[330.78054299  30.21945701] ; [74.21945701  6.78054299],0
b5,1,0.158889,1.984766,[210 151] ; [54 27],[215.6199095 145.3800905] ; [48.3800905 32.6199095],0
s8,1,0.163582,1.940796,[225 134] ; [44 37],[219.47954545 139.52045455] ; [49.52045455 31.47954545],0
s6,1,0.195348,1.67682,[307  48] ; [63 15],[303.34872979  51.65127021] ; [66.65127021 11.34872979],0
b3,1,0.197286,1.662349,[ 95 138] ; [12 28],[ 91.32234432 141.67765568] ; [15.67765568 24.32234432],0
b2,1,0.197286,1.662349,[ 95 138] ; [12 28],[ 91.32234432 141.67765568] ; [15.67765568 24.32234432],0
a7,1,0.225572,1.468565,[256 104] ; [63 18],[260.40816327  99.59183673] ; [58.59183673 22.40816327],0
n3,1,0.227136,1.458707,[45 17] ; [26  5],[47.33333333 14.66666667] ; [23.66666667  7.33333333],0
d2,1,0.260839,1.264298,[182 178] ; [46 34],[186.54545455 173.45454545] ; [41.45454545 38.54545455],0
r1,1,0.301876,1.065887,[296  63] ; [62 18],[292.76082005  66.23917995] ; [65.23917995 14.76082005],0
a3,1,0.362282,0.829969,[274  86] ; [57 23],[270.81818182  89.18181818] ; [60.18181818 19.81818182],0
n2,1,0.437095,0.603896,[50 12] ; [27  4],[51.33333333 10.66666667] ; [25.66666667  5.33333333],0
a8,1,0.440156,0.595876,[ 52 288] ; [14 60],[ 54.20289855 285.79710145] ; [11.79710145 62.20289855],0
a1,1,0.448095,0.575466,[ 21 340] ; [ 3 78],[ 19.60180995 341.39819005] ; [ 4.39819005 76.60180995],0
u3,1,0.455201,0.557669,[55 32] ; [12 10],[53.47706422 33.52293578] ; [13.52293578  8.47706422],0
p5,1,0.480237,0.498324,[ 50 305] ; [ 9 72],[ 48.03899083 306.96100917] ; [10.96100917 70.03899083],0
a5,1,0.48416,0.489477,[272  89] ; [58 23],[269.52488688  91.47511312] ; [60.47511312 20.52488688],0
s4,1,0.488221,0.480445,[ 76 283] ; [20 61],[ 78.32727273 280.67272727] ; [17.67272727 63.32727273],0
b4,1,0.508439,0.437277,[215 146] ; [45 36],[212.35294118 148.64705882] ; [47.64705882 33.35294118],0
n1,1,0.554698,0.348968,[26 36] ; [15 16],[27.33333333 34.66666667] ; [13.66666667 17.33333333],0
s5,1,0.577852,0.30972,[151 195] ; [34 38],[153.13397129 192.86602871] ; [31.86602871 40.13397129],0
p6,1,0.585514,0.297405,[148 208] ; [31 50],[145.8215103 210.1784897] ; [33.1784897 47.8215103],0
a4,1,0.601937,0.272084,[172 189] ; [36 45],[169.88235294 191.11764706] ; [38.11764706 42.88235294],0
