Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,56.177607,[99 46] ; [ 77 182],[63.16831683 81.83168317] ; [112.83168317 146.16831683],1
p4,1,0.0,31.404843,[84 62] ; [ 77 186],[57.47188264 88.52811736] ; [103.52811736 159.47188264],1
p10,1,3e-06,21.875041,[119  27] ; [154 108],[97.69117647 48.30882353] ; [175.30882353  86.69117647],1
p2,1,1.1e-05,19.384991,[123  23] ; [168  96],[103.62439024  42.37560976] ; [187.37560976  76.62439024],1
p3,1,1.3e-05,19.021465,[67 80] ; [ 65 199],[47.21167883 99.78832117] ; [ 84.78832117 179.21167883],1
r4,1,0.000244,13.455333,[129  19] ; [189  76],[113.95641646  34.04358354] ; [204.04358354  60.95641646],1
p9,1,0.000265,13.303657,[118  27] ; [166  93],[101.93069307  43.06930693] ; [182.06930693  76.93069307],1
v4,1,0.000371,12.671143,[140   7] ; [216  44],[128.57985258  18.42014742] ; [227.42014742  32.57985258],1
p11,1,0.000747,11.368354,[117  31] ; [167  98],[101.77239709  46.22760291] ; [182.22760291  82.77239709],1
a7,1,0.001064,10.713317,[116  32] ; [165  98],[101.18734793  46.81265207] ; [179.81265207  83.18734793],0
r3,1,0.006463,7.416534,[138  10] ; [219  42],[129.18337408  18.81662592] ; [227.81662592  33.18337408],0
n6,1,0.007084,7.25144,[121  26] ; [184  78],[109.62102689  37.37897311] ; [195.37897311  66.62102689],0
v2,1,0.021952,5.249601,[75 64] ; [106 147],[64.18112245 74.81887755] ; [116.81887755 136.18112245],0
b3,1,0.028381,4.804752,[14 63] ; [46 98],[20.90497738 56.09502262] ; [ 39.09502262 104.90497738],0
b2,1,0.028381,4.804752,[14 63] ; [46 98],[20.90497738 56.09502262] ; [ 39.09502262 104.90497738],0
r2,1,0.031792,4.609676,[136  10] ; [223  36],[129.41728395  16.58271605] ; [229.58271605  29.41728395],0
a5,1,0.032227,4.586361,[106  42] ; [162 103],[96.03874092 51.96125908] ; [171.96125908  93.03874092],0
a3,1,0.036707,4.363941,[79 68] ; [169  94],[88.91707317 58.08292683] ; [159.08292683 103.91707317],0
s4,1,0.047324,3.93382,[ 14 132] ; [ 44 219],[ 20.70415648 125.29584352] ; [ 37.29584352 225.70415648],0
a1,1,0.062093,3.480568,[  3 145] ; [ 16 249],[  6.80871671 141.19128329] ; [ 12.19128329 252.80871671],0
p1,1,0.07426,3.186257,[ 13 132] ; [ 12 252],[  8.86308068 136.13691932] ; [ 16.13691932 247.86308068],0
r1,1,0.080349,3.05782,[110  37] ; [175  88],[102.18292683  44.81707317] ; [182.81707317  80.18292683],0
d5,1,0.095764,2.774709,[116  32] ; [187  77],[108.84466019  39.15533981] ; [194.15533981  69.84466019],0
