Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.9e-05,17.503372,[238  41] ; [92 44],[221.85542169  57.14457831] ; [108.14457831  27.85542169],1
p6,1,0.000118,14.820429,[135 143] ; [39 97],[116.84057971 161.15942029] ; [57.15942029 78.84057971],1
p4,1,0.000502,12.106826,[197  82] ; [73 64],[181.08173077  97.91826923] ; [88.91826923 48.08173077],1
p8,1,0.002958,8.832914,[174 103] ; [64 71],[160.01456311 116.98543689] ; [77.98543689 57.01456311],0
p2,1,0.008957,6.83144,[252  29] ; [111  27],[243.44391408  37.55608592] ; [119.55608592  18.44391408],0
p3,1,0.012342,6.261076,[172 108] ; [67 71],[160.09569378 119.90430622] ; [78.90430622 59.09569378],0
s8,1,0.01642,5.757371,[151 128] ; [57 80],[139.5 139.5] ; [68.5 68.5],0
b5,1,0.022213,5.229015,[178 104] ; [71 67],[167.18571429 114.81428571] ; [81.81428571 56.18571429],0
v3,1,0.027228,4.876274,[167 108] ; [67 69],[156.56934307 118.43065693] ; [77.43065693 58.56934307],0
p5,1,0.041251,4.165661,[ 45 237] ; [ 12 126],[ 38.27142857 243.72857143] ; [ 18.72857143 119.27142857],0
s4,1,0.047194,3.938445,[ 36 244] ; [ 28 110],[ 42.8708134 237.1291866] ; [ 21.1291866 116.8708134],0
p7,1,0.049517,3.857724,[203  72] ; [89 49],[194.43099274  80.56900726] ; [97.56900726 40.43099274],0
p11,1,0.056382,3.640724,[245  37] ; [110  28],[238.35714286  43.64285714] ; [116.64285714  21.35714286],0
v4,1,0.070417,3.273277,[271   8] ; [127   9],[267.57108434  11.42891566] ; [130.42891566   5.57108434],0
p1,1,0.088959,2.893104,[ 28 253] ; [  7 131],[ 23.4725537 257.5274463] ; [ 11.5274463 126.4725537],0
p10,1,0.113323,2.507258,[262  18] ; [123  15],[257.89473684  22.10526316] ; [127.10526316  10.89473684],0
a7,1,0.127873,2.318135,[207  74] ; [111  27],[213.26491647  67.73508353] ; [104.73508353  33.26491647],0
n6,1,0.149561,2.076718,[249  29] ; [116  21],[244.5060241  33.4939759] ; [120.4939759  16.5060241],0
d4,1,0.20844,1.582227,[245  36] ; [114  24],[240.76133652  40.23866348] ; [118.23866348  19.76133652],0
n1,1,0.209362,1.57583,[18 27] ; [ 9 25],[15.37974684 29.62025316] ; [11.62025316 22.37974684],0
s1,1,0.214346,1.541829,[  7 272] ; [  1 136],[  5.36538462 273.63461538] ; [  2.63461538 134.36538462],0
a8,1,0.217034,1.523878,[ 42 209] ; [ 15 111],[ 37.94960212 213.05039788] ; [ 19.05039788 106.94960212],0
u4,1,0.225697,1.467777,[ 10 272] ; [  2 136],[  8.05714286 273.94285714] ; [  3.94285714 134.05714286],0
s6,1,0.244608,1.353837,[200  76] ; [91 45],[194.94174757  81.05825243] ; [96.05825243 39.94174757],0
p12,1,0.251722,1.31372,[ 35 246] ; [ 12 126],[ 31.5202864 249.4797136] ; [ 15.4797136 122.5202864],0
n4,1,0.255241,1.294386,[231  50] ; [107  31],[226.6778043  54.3221957] ; [111.3221957  26.6778043],0
u2,1,0.26745,1.22978,[36 29] ; [12 16],[33.5483871 31.4516129] ; [14.4516129 13.5483871],0
b4,1,0.276353,1.184936,[171 111] ; [76 62],[165.84285714 116.15714286] ; [81.15714286 56.84285714],0
b2,1,0.277695,1.178337,[ 75 105] ; [28 53],[ 71.03448276 108.96551724] ; [31.96551724 49.03448276],0
b3,1,0.277695,1.178337,[ 75 105] ; [28 53],[ 71.03448276 108.96551724] ; [31.96551724 49.03448276],0
n3,1,0.343977,0.895553,[33 12] ; [28  6],[34.74683544 10.25316456] ; [26.25316456  7.74683544],0
u3,1,0.372391,0.795669,[40 25] ; [15 14],[38.03191489 26.96808511] ; [16.96808511 12.03191489],0
s3,1,0.38327,0.760187,[153 125] ; [81 55],[157.13043478 120.86956522] ; [76.86956522 59.13043478],0
s7,1,0.394196,0.725959,[154 117] ; [68 62],[150.02992519 120.97007481] ; [71.97007481 58.02992519],0
s5,1,0.395922,0.720676,[109 165] ; [46 84],[105.12376238 168.87623762] ; [49.87623762 80.12376238],0
r3,1,0.440775,0.594263,[277   5] ; [132   4],[275.92822967   6.07177033] ; [133.07177033   2.92822967],0
a4,1,0.462762,0.539205,[139 142] ; [63 75],[135.47016706 145.52983294] ; [66.52983294 71.47016706],0
u1,1,0.464602,0.534784,[ 64 218] ; [ 27 111],[ 61.1 220.9] ; [ 29.9 108.1],0
n2,1,0.466665,0.529861,[34 11] ; [28  6],[35.3164557  9.6835443] ; [26.6835443  7.3164557],0
