Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5e-06,20.872969,[ 1 23] ; [20 11],[ 9.16363636 14.83636364] ; [11.83636364 19.16363636],1
s6,1,0.000721,11.433579,[ 8 16] ; [23  6],[14.03773585  9.96226415] ; [16.96226415 12.03773585],1
s7,1,0.007382,7.177496,[ 5 16] ; [18 11],[ 9.66 11.34] ; [13.34 15.66],0
a6,1,0.019799,5.429533,[19  5] ; [15 16],[14.83636364  9.16363636] ; [19.16363636 11.83636364],0
p1,1,0.029621,4.731183,[ 8 16] ; [ 3 28],[ 4.8 19.2] ; [ 6.2 24.8],0
n6,1,0.029621,4.731183,[16  8] ; [28  3],[19.2  4.8] ; [24.8  6.2],0
p2,1,0.035084,4.441091,[13 11] ; [25  6],[16.58181818  7.41818182] ; [21.41818182  9.58181818],0
s8,1,0.05988,3.540714,[ 5 19] ; [14 17],[ 8.29090909 15.70909091] ; [10.70909091 20.29090909],0
u2,1,0.073691,3.198832,[5 2] ; [ 5 11],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
r4,1,0.085507,2.956989,[20  4] ; [30  1],[21.81818182  2.18181818] ; [28.18181818  2.81818182],0
p12,1,0.085507,2.956989,[ 4 20] ; [ 1 30],[ 2.18181818 21.81818182] ; [ 2.81818182 28.18181818],0
a3,1,0.094193,2.801205,[17  7] ; [15 16],[13.96363636 10.03636364] ; [18.03636364 12.96363636],0
r3,1,0.112486,2.518941,[19  5] ; [29  2],[20.94545455  3.05454545] ; [27.05454545  3.94545455],0
a4,1,0.136385,2.218284,[ 8 16] ; [ 5 26],[ 5.67272727 18.32727273] ; [ 7.32727273 23.67272727],0
p9,1,0.140959,2.167456,[21  3] ; [22  9],[18.76363636  5.23636364] ; [24.23636364  6.76363636],0
v4,1,0.189016,1.725273,[21  3] ; [30  1],[22.25454545  1.74545455] ; [28.74545455  2.25454545],0
a2,1,0.228152,1.452344,[ 4 20] ; [ 2 29],[ 2.61818182 21.38181818] ; [ 3.38181818 27.61818182],0
p7,1,0.231213,1.433382,[13 11] ; [21  9],[15.11111111  8.88888889] ; [18.88888889 11.11111111],0
p11,1,0.235467,1.407532,[19  5] ; [20 11],[17.01818182  6.98181818] ; [21.98181818  9.01818182],0
n4,1,0.244504,1.354435,[19  5] ; [28  3],[20.50909091  3.49090909] ; [26.49090909  4.50909091],0
s4,1,0.263681,1.249328,[ 1 23] ; [ 4 27],[ 2.18181818 21.81818182] ; [ 2.81818182 28.18181818],0
a7,1,0.460443,0.544817,[17  7] ; [19 12],[15.70909091  8.29090909] ; [20.29090909 10.70909091],0
p8,1,0.463726,0.536886,[14 10] ; [15 16],[12.65454545 11.34545455] ; [16.34545455 14.65454545],0
b3,1,0.477897,0.503658,[ 7 10] ; [ 6 14],[ 5.97297297 11.02702703] ; [ 7.02702703 12.97297297],0
b2,1,0.477897,0.503658,[ 7 10] ; [ 6 14],[ 5.97297297 11.02702703] ; [ 7.02702703 12.97297297],0
b4,1,0.551387,0.354839,[12 12] ; [18 13],[13.09090909 10.90909091] ; [16.90909091 14.09090909],0
p4,1,0.567826,0.326333,[15  9] ; [17 14],[13.96363636 10.03636364] ; [18.03636364 12.96363636],0
p3,1,0.61961,0.246416,[14 10] ; [16 15],[13.09090909 10.90909091] ; [16.90909091 14.09090909],0
r1,1,0.653722,0.20124,[19  5] ; [26  5],[19.63636364  4.36363636] ; [25.36363636  5.63636364],0
n5,1,0.653722,0.20124,[19  5] ; [26  5],[19.63636364  4.36363636] ; [25.36363636  5.63636364],0
p10,1,0.666812,0.185353,[19  5] ; [23  8],[18.32727273  5.67272727] ; [23.67272727  7.32727273],0
d3,1,0.681028,0.168971,[ 8 16] ; [12 19],[ 8.72727273 15.27272727] ; [11.27272727 19.72727273],0
p5,1,0.694609,0.154141,[ 4 20] ; [ 4 27],[ 3.49090909 20.50909091] ; [ 4.50909091 26.49090909],0
s1,1,0.711332,0.13695,[ 1 23] ; [ 2 29],[ 1.30909091 22.69090909] ; [ 1.69090909 29.30909091],0
u3,1,0.75235,0.099567,[3 4] ; [8 8],[3.34782609 3.65217391] ; [7.65217391 8.34782609],0
b5,1,0.795505,0.067168,[14 10] ; [17 14],[13.52727273 10.47272727] ; [17.47272727 13.52727273],0
v2,1,0.845708,0.037868,[15  8] ; [21 10],[15.33333333  7.66666667] ; [20.66666667 10.33333333],0
d1,1,0.85334,0.034173,[ 1 23] ; [ 1 30],[ 0.87272727 23.12727273] ; [ 1.12727273 29.87272727],0
r2,1,0.85334,0.034173,[23  1] ; [30  1],[23.12727273  0.87272727] ; [29.87272727  1.12727273],0
p6,1,0.877493,0.023762,[ 9 15] ; [11 20],[ 8.72727273 15.27272727] ; [11.27272727 19.72727273],0
a5,1,0.877493,0.023762,[15  9] ; [20 11],[15.27272727  8.72727273] ; [19.72727273 11.27272727],0
d2,1,0.891864,0.018481,[ 5 19] ; [ 6 25],[ 4.8 19.2] ; [ 6.2 24.8],0
v1,1,0.902048,0.015147,[13 10] ; [17 14],[12.77777778 10.22222222] ; [17.22222222 13.77777778],0
s5,1,0.946869,0.004441,[ 7 17] ; [ 9 21],[ 7.11111111 16.88888889] ; [ 8.88888889 21.11111111],0
d5,1,0.960409,0.002464,[11 13] ; [14 17],[10.90909091 13.09090909] ; [14.09090909 16.90909091],0
b1,1,0.984008,0.000402,[10 14] ; [13 18],[10.03636364 13.96363636] ; [12.96363636 18.03636364],0
