Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,33.23904,[ 9 23] ; [57  9],[21.55102041 10.44897959] ; [44.44897959 21.55102041],1
n6,1,0.000236,13.52327,[14 17] ; [54 12],[21.73195876  9.26804124] ; [46.26804124 19.73195876],1
r4,1,0.003052,8.77636,[20 12] ; [59  8],[25.53535354  6.46464646] ; [53.46464646 13.53535354],0
r2,1,0.005845,7.597338,[27  5] ; [66  1],[30.06060606  1.93939394] ; [62.93939394  4.06060606],0
n2,1,0.011412,6.4,[6 6] ; [18  2],[9. 3.] ; [15.  5.],0
u2,1,0.034562,4.466705,[7 3] ; [ 7 16],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
p7,1,0.041259,4.165338,[11 20] ; [37 27],[15.66315789 15.33684211] ; [32.33684211 31.66315789],0
p10,1,0.05076,3.816164,[14 16] ; [44 21],[18.31578947 11.68421053] ; [39.68421053 25.31578947],0
s8,1,0.051956,3.777189,[ 9 22] ; [33 33],[13.42268041 17.57731959] ; [28.57731959 37.42268041],0
a4,1,0.062273,3.475783,[20 12] ; [28 38],[15.67346939 16.32653061] ; [32.32653061 33.67346939],0
r3,1,0.08018,3.06124,[25  7] ; [60  6],[27.75510204  4.24489796] ; [57.24489796  8.75510204],0
p9,1,0.094042,2.80378,[17 13] ; [48 17],[20.52631579  9.47368421] ; [44.47368421 20.52631579],0
n1,1,0.09769,2.742857,[3 9] ; [11  9],[5.25 6.75] ; [ 8.75 11.25],0
p5,1,0.115866,2.472328,[ 1 30] ; [ 9 57],[ 3.19587629 27.80412371] ; [ 6.80412371 59.19587629],0
p4,1,0.12838,2.311988,[12 19] ; [37 30],[15.5 15.5] ; [33.5 33.5],0
p2,1,0.133983,2.245739,[20 11] ; [52 14],[23.01030928  7.98969072] ; [48.98969072 17.01030928],0
v4,1,0.162532,1.950511,[26  6] ; [61  6],[28.12121212  3.87878788] ; [58.87878788  8.12121212],0
s7,1,0.180646,1.792298,[12 16] ; [36 26],[14.93333333 13.06666667] ; [33.06666667 28.93333333],0
d4,1,0.187147,1.739935,[28  4] ; [51 16],[25.53535354  6.46464646] ; [53.46464646 13.53535354],0
