Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,43.905052,[79 64] ; [ 19 102],[53.08333333 89.91666667] ; [44.91666667 76.08333333],1
r3,1,3.3e-05,17.225546,[142   1] ; [104  16],[133.75665399   9.24334601] ; [112.24334601   7.75665399],1
r1,1,0.000149,14.38096,[120  24] ; [76 45],[106.50566038  37.49433962] ; [89.49433962 31.50566038],1
p7,1,0.002265,9.321371,[84 57] ; [46 68],[71.88235294 69.11764706] ; [58.11764706 55.88235294],0
v1,1,0.004617,8.023787,[74 66] ; [42 77],[62.7027027 77.2972973] ; [53.2972973 65.7027027],0
r2,1,0.009077,6.807646,[137   4] ; [107  13],[131.81609195   9.18390805] ; [112.18390805   7.81609195],0
s8,1,0.016576,5.740759,[66 78] ; [38 83],[56.51320755 87.48679245] ; [47.48679245 73.51320755],0
n1,1,0.019577,5.449249,[ 7 26] ; [19 21],[11.75342466 21.24657534] ; [14.24657534 25.75342466],0
r4,1,0.020318,5.384333,[129  15] ; [96 25],[122.26415094  21.73584906] ; [102.73584906  18.26415094],0
n6,1,0.022893,5.176633,[124  19] ; [91 29],[116.90114068  26.09885932] ; [98.09885932 21.90114068],0
d5,1,0.032737,4.559488,[117  27] ; [84 36],[109.63636364  34.36363636] ; [91.36363636 28.63636364],0
p5,1,0.035391,4.42619,[  3 141] ; [  9 111],[  6.54545455 137.45454545] ; [  5.45454545 114.54545455],0
d4,1,0.036037,4.395374,[122  22] ; [90 31],[115.2  28.8] ; [96.8 24.2],0
a5,1,0.042731,4.106001,[106  38] ; [75 46],[98.35471698 45.64528302] ; [82.64528302 38.35471698],0
s7,1,0.057163,3.617848,[67 73] ; [43 76],[59.45945946 80.54054054] ; [50.54054054 68.45945946],0
v4,1,0.065605,3.389687,[136   6] ; [108  12],[132.24427481   9.75572519] ; [111.75572519   8.24427481],0
a4,1,0.066289,3.372614,[61 83] ; [38 83],[53.79622642 90.20377358] ; [45.20377358 75.79622642],0
d1,1,0.076351,3.140912,[80 64] ; [54 67],[72.81509434 71.18490566] ; [61.18490566 59.81509434],0
s2,1,0.086596,2.93654,[73 70] ; [49 72],[66.08333333 76.91666667] ; [55.91666667 65.08333333],0
s1,1,0.094737,2.791975,[  2 140] ; [  6 115],[  4.31939163 137.68060837] ; [  3.68060837 117.31939163],0
a7,1,0.097551,2.745139,[106  38] ; [77 43],[99.81818182 44.18181818] ; [83.18181818 36.81818182],0
n4,1,0.104697,2.632501,[105  39] ; [77 44],[98.89811321 45.10188679] ; [83.10188679 37.89811321],0
a3,1,0.112915,2.512947,[104  39] ; [77 44],[98.04166667 44.95833333] ; [82.95833333 38.04166667],0
d3,1,0.116668,2.461491,[97 47] ; [69 50],[90.88973384 53.11026616] ; [75.11026616 43.88973384],0
p3,1,0.192182,1.700812,[ 40 104] ; [25 95],[ 35.45454545 108.54545455] ; [29.54545455 90.45454545],0
a6,1,0.204685,1.608626,[97 46] ; [73 48],[92.08333333 50.91666667] ; [77.91666667 43.08333333],0
s3,1,0.226125,1.465071,[81 62] ; [59 61],[76.121673 66.878327] ; [63.878327 56.121673],0
p11,1,0.228723,1.448783,[116  28] ; [90 31],[111.93962264  32.06037736] ; [94.06037736 26.93962264],0
a8,1,0.268419,1.22481,[ 22 113] ; [ 13 101],[ 18.97590361 116.02409639] ; [16.02409639 97.97590361],0
a1,1,0.310818,1.027198,[  7 137] ; [  3 118],[  5.43396226 138.56603774] ; [  4.56603774 116.43396226],0
u2,1,0.319069,0.992758,[17 22] ; [24 20],[19.26506024 19.73493976] ; [21.73493976 22.26506024],0
p6,1,0.345391,0.890318,[ 28 115] ; [ 18 101],[ 25.10687023 117.89312977] ; [20.89312977 98.10687023],0
p9,1,0.368655,0.808194,[133  11] ; [107  13],[130.90909091  13.09090909] ; [109.09090909  10.90909091],0
n5,1,0.373517,0.79193,[100  42] ; [79 42],[96.64638783 45.35361217] ; [82.35361217 38.64638783],0
d2,1,0.407739,0.685385,[60 84] ; [44 76],[56.72727273 87.27272727] ; [47.27272727 72.72727273],0
b4,1,0.418195,0.655382,[88 56] ; [68 53],[84.76981132 59.23018868] ; [71.23018868 49.76981132],0
p2,1,0.423861,0.639587,[108  36] ; [95 25],[110.72727273  33.27272727] ; [92.27272727 27.72727273],0
b5,1,0.428657,0.626459,[86 58] ; [78 43],[89.11698113 54.88301887] ; [74.88301887 46.11698113],0
n2,1,0.489902,0.47674,[26  7] ; [34  6],[27.12328767  5.87671233] ; [32.87671233  7.12328767],0
s5,1,0.495749,0.464024,[43 94] ; [33 87],[40.51361868 96.48638132] ; [35.48638132 84.51361868],0
s6,1,0.499169,0.456702,[87 55] ; [68 51],[84.32950192 57.67049808] ; [70.67049808 48.32950192],0
b3,1,0.54256,0.370815,[32 47] ; [22 40],[30.25531915 48.74468085] ; [23.74468085 38.25531915],0
b2,1,0.54256,0.370815,[32 47] ; [22 40],[30.25531915 48.74468085] ; [23.74468085 38.25531915],0
n3,1,0.58879,0.292239,[22 11] ; [29 11],[23.05479452  9.94520548] ; [27.94520548 12.05479452],0
u1,1,0.604812,0.2678,[ 21 123] ; [ 15 106],[ 19.56226415 124.43773585] ; [ 16.43773585 104.56226415],0
p8,1,0.655788,0.198681,[51 90] ; [47 74],[52.74045802 88.25954198] ; [45.25954198 75.74045802],0
p12,1,0.734911,0.11465,[  6 138] ; [  6 113],[  6.57034221 137.42965779] ; [  5.42965779 113.57034221],0
u3,1,0.802344,0.062657,[22 18] ; [23 21],[21.42857143 18.57142857] ; [23.57142857 20.42857143],0
s4,1,0.83709,0.042279,[ 25 119] ; [22 98],[ 25.63636364 118.36363636] ; [21.36363636 98.63636364],0
a2,1,0.857371,0.0323,[ 25 119] ; [ 20 101],[ 24.45283019 119.54716981] ; [ 20.54716981 100.45283019],0
b1,1,0.867742,0.027731,[49 95] ; [40 81],[48.36226415 95.63773585] ; [40.63773585 80.36226415],0
p1,1,0.904755,0.014318,[  9 135] ; [  8 113],[  9.23773585 134.76226415] ; [  7.76226415 113.23773585],0
