Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.00056,11.904574,[ 9 16] ; [37 11],[15.75342466  9.24657534] ; [30.24657534 17.75342466],1
p9,1,0.000939,10.944589,[11 14] ; [40  9],[17.22972973  7.77027027] ; [33.77027027 15.22972973],1
s4,1,0.006769,7.333333,[ 8 20] ; [ 3 46],[ 4. 24.] ; [ 7. 42.],0
a2,1,0.017766,5.61903,[ 7 21] ; [ 3 46],[ 3.63636364 24.36363636] ; [ 6.36363636 42.63636364],0
p2,1,0.031102,4.647298,[15 12] ; [38 10],[19.08  7.92] ; [33.92 14.08],0
d2,1,0.071783,3.24176,[15 13] ; [16 33],[11.27272727 16.72727273] ; [19.72727273 29.27272727],0
a4,1,0.094153,2.801887,[12 16] ; [12 37],[ 8.72727273 19.27272727] ; [15.27272727 33.72727273],0
n5,1,0.098665,2.726986,[ 9 18] ; [26 23],[12.43421053 14.56578947] ; [22.56578947 26.43421053],0
n1,1,0.11259,2.517483,[ 3 10] ; [6 5],[4.875 8.125] ; [4.125 6.875],0
b5,1,0.150962,2.0625,[13 15] ; [31 18],[16. 12.] ; [28. 21.],0
s2,1,0.150962,2.0625,[15 13] ; [18 31],[12. 16.] ; [21. 28.],0
d5,1,0.175734,1.833333,[26  2] ; [40  9],[24.  4.] ; [42.  7.],0
s6,1,0.187818,1.734651,[18  9] ; [25 24],[15.27631579 11.72368421] ; [27.72368421 21.27631579],0
p6,1,0.194831,1.680704,[ 9 16] ; [10 36],[ 6.69014085 18.30985915] ; [12.30985915 33.69014085],0
d4,1,0.199044,1.649376,[25  3] ; [38 11],[22.90909091  5.09090909] ; [40.09090909  8.90909091],0
v4,1,0.215148,1.536445,[23  5] ; [44  4],[24.68421053  3.31578947] ; [42.31578947  5.68421053],0
n4,1,0.227447,1.456757,[12 16] ; [28 21],[14.54545455 13.45454545] ; [25.45454545 23.54545455],0
p7,1,0.238651,1.388543,[12 14] ; [29 19],[14.40540541 11.59459459] ; [26.59459459 21.40540541],0
a3,1,0.250574,1.3201,[19  9] ; [39 10],[21.09090909  6.90909091] ; [36.90909091 12.09090909],0
d1,1,0.259477,1.271546,[18 10] ; [25 24],[15.63636364 12.36363636] ; [27.36363636 21.63636364],0
d3,1,0.290126,1.119038,[21  7] ; [31 18],[18.90909091  9.09090909] ; [33.09090909 15.90909091],0
n3,1,0.35188,0.866667,[9 4] ; [11  2],[10.  3.] ; [10.  3.],0
b4,1,0.364699,0.821646,[13 15] ; [28 21],[14.90909091 13.09090909] ; [26.09090909 22.90909091],0
s8,1,0.376999,0.780464,[ 7 21] ; [17 32],[ 8.72727273 19.27272727] ; [15.27272727 33.72727273],0
p5,1,0.452939,0.563287,[ 1 26] ; [ 4 45],[ 1.77631579 25.22368421] ; [ 3.22368421 45.77631579],0
u1,1,0.469613,0.522887,[ 3 25] ; [ 3 46],[ 2.18181818 25.81818182] ; [ 3.81818182 45.18181818],0
p8,1,0.491283,0.473716,[10 16] ; [22 25],[11.39726027 14.60273973] ; [20.60273973 26.39726027],0
s5,1,0.49179,0.472609,[ 7 18] ; [10 38],[ 5.82191781 19.17808219] ; [11.17808219 36.82191781],0
