Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,218.482702,[  7 140] ; [494 205],[87.05319149 59.94680851] ; [413.94680851 285.05319149],1
d3,1,0.0,128.406325,[ 43 102] ; [541 158],[100.33175355  44.66824645] ; [483.66824645 215.33175355],1
d5,1,0.0,113.031623,[74 72] ; [616  83],[119.21893491  26.78106509] ; [570.78106509 128.21893491],1
d2,1,0.0,47.002503,[ 34 113] ; [378 319],[71.75829384 75.24170616] ; [340.24170616 356.75829384],1
a3,1,0.0,32.431258,[76 71] ; [523 173],[104.4519573  42.5480427] ; [494.5480427 201.4519573],1
a4,1,0.0,31.947964,[ 35 111] ; [346 352],[65.90758294 80.09241706] ; [315.09241706 382.90758294],1
a5,1,0.0,31.358453,[80 67] ; [538 161],[107.38297872  39.61702128] ; [510.61702128 188.38297872],1
u1,1,0.0,28.057532,[  4 143] ; [148 551],[ 26.41134752 120.58865248] ; [125.58865248 573.41134752],1
a2,1,5e-06,20.695539,[ 14 133] ; [190 509],[ 35.44680851 111.55319149] ; [168.55319149 530.44680851],1
b2,1,0.000688,11.520364,[19 68] ; [172 245],[32.9702381 54.0297619] ; [158.0297619 258.9702381],1
b3,1,0.000688,11.520364,[19 68] ; [172 245],[32.9702381 54.0297619] ; [158.0297619 258.9702381],1
u2,1,0.001561,10.005223,[28 43] ; [106  66],[39.15226337 31.84773663] ; [94.84773663 77.15226337],0
r1,1,0.00168,9.870069,[107  38] ; [589 107],[120.  25.] ; [576. 120.],0
s2,1,0.003321,8.622206,[58 85] ; [375 319],[73.97729988 69.02270012] ; [359.02270012 334.97729988],0
v2,1,0.005526,7.698716,[65 74] ; [399 271],[79.72311496 59.27688504] ; [384.27688504 285.72311496],0
a7,1,0.008972,6.828366,[94 52] ; [523 175],[106.73222749  39.26777251] ; [510.26777251 187.73222749],0
p1,1,0.009074,6.808276,[ 20 125] ; [ 50 644],[ 12.0977354 132.9022646] ; [ 57.9022646 636.0977354],0
n3,1,0.01411,6.024294,[30  3] ; [106  45],[24.39130435  8.60869565] ; [111.60869565  39.39130435],0
s5,1,0.0205,5.36877,[ 36 104] ; [240 428],[47.82178218 92.17821782] ; [228.17821782 439.82178218],0
s8,1,0.022918,5.174736,[52 94] ; [319 376],[64.40665874 81.59334126] ; [306.59334126 388.40665874],0
p9,1,0.031857,4.606154,[112  32] ; [585 103],[120.63461538  23.36538462] ; [576.36538462 111.63461538],0
a1,1,0.049396,3.861829,[  2 145] ; [ 35 664],[  6.42907801 140.57092199] ; [ 30.57092199 668.42907801],0
p2,1,0.050366,3.829228,[112  33] ; [582 111],[120.08353222  24.91646778] ; [573.91646778 119.08353222],0
v1,1,0.052651,3.754953,[67 76] ; [379 301],[77.4945322 65.5054678] ; [368.5054678 311.4945322],0
s6,1,0.056346,3.64179,[86 56] ; [470 213],[95.69939394 46.30060606] ; [460.30060606 222.69939394],0
s7,1,0.057126,3.618927,[57 80] ; [339 332],[67.14356436 69.85643564] ; [328.85643564 342.14356436],0
b4,1,0.070165,3.279153,[76 71] ; [418 281],[85.83687943 61.16312057] ; [408.16312057 290.83687943],0
v3,1,0.083525,2.994936,[48 95] ; [276 391],[57.2 85.8] ; [266.8 400.2],0
n2,1,0.116907,2.458276,[29  5] ; [110  42],[25.40860215  8.59139785] ; [113.59139785  38.40860215],0
a6,1,0.122322,2.387331,[93 54] ; [487 211],[100.89940828  46.10059172] ; [479.10059172 218.89940828],0
p8,1,0.126375,2.336482,[65 78] ; [360 326],[73.31121834 69.68878166] ; [351.68878166 334.31121834],0
u3,1,0.127528,2.322336,[37 34] ; [109  65],[42.31020408 28.68979592] ; [103.68979592  70.31020408],0
n4,1,0.134684,2.237666,[104  42] ; [537 160],[111.01542112  34.98457888] ; [529.98457888 167.01542112],0
p4,1,0.138838,2.190792,[78 68] ; [415 276],[85.99522103 60.00477897] ; [407.00477897 283.99522103],0
u4,1,0.13933,2.185341,[  1 146] ; [ 19 680],[  3.4751773 143.5248227] ; [ 16.5248227 682.4751773],0
s1,1,0.140135,2.176473,[  7 135] ; [ 18 672],[  4.26682692 137.73317308] ; [ 20.73317308 669.26682692],0
p6,1,0.142973,2.145662,[45 99] ; [258 426],[52.69565217 91.30434783] ; [250.30434783 433.69565217],0
p10,1,0.210674,1.566788,[108  33] ; [561 130],[113.37620192  27.62379808] ; [555.62379808 135.37620192],0
p11,1,0.219473,1.507811,[110  37] ; [555 144],[115.54964539  31.45035461] ; [549.45035461 149.54964539],0
s4,1,0.294582,1.09856,[ 29 116] ; [113 576],[ 24.6882494 120.3117506] ; [117.3117506 571.6882494],0
s3,1,0.337002,0.921802,[77 67] ; [399 291],[82.18705036 61.81294964] ; [393.81294964 296.18705036],0
p3,1,0.371314,0.799263,[67 78] ; [350 346],[71.89655172 73.10344828] ; [345.10344828 350.89655172],0
n6,1,0.464964,0.533919,[121  26] ; [588 106],[123.9274673  23.0725327] ; [585.0725327 108.9274673],0
p5,1,0.519549,0.414788,[ 13 131] ; [ 75 617],[ 15.15789474 128.84210526] ; [ 72.84210526 619.15789474],0
p12,1,0.53542,0.384094,[  9 136] ; [ 53 636],[ 10.7793765 134.2206235] ; [ 51.2206235 637.7793765],0
a8,1,0.563697,0.333343,[ 16 118] ; [ 88 549],[ 18.07522698 115.92477302] ; [ 85.92477302 551.07522698],0
p7,1,0.588126,0.293281,[87 55] ; [433 247],[89.8296837 52.1703163] ; [430.1703163 249.8296837],0
n1,1,0.615482,0.252269,[11 22] ; [57 93],[12.26229508 20.73770492] ; [55.73770492 94.26229508],0
b5,1,0.691263,0.157722,[87 60] ; [426 273],[89.13829787 57.86170213] ; [423.86170213 275.13829787],0
b1,1,0.769484,0.085878,[53 94] ; [261 438],[54.56028369 92.43971631] ; [259.43971631 439.56028369],0
r4,1,0.827215,0.047644,[139   8] ; [664  35],[139.52836879   7.47163121] ; [663.47163121  35.52836879],0
n5,1,0.833656,0.044106,[106  40] ; [509 184],[107.02026222  38.97973778] ; [507.97973778 185.02026222],0
v4,1,0.925393,0.008769,[140   5] ; [675  23],[140.18386714   4.81613286] ; [674.81613286  23.18386714],0
