Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.2e-05,19.220555,[ 1 27] ; [38 37],[10.60194175 17.39805825] ; [28.39805825 46.60194175],1
d3,1,1.3e-05,19.018374,[ 6 22] ; [52 23],[15.76699029 12.23300971] ; [42.23300971 32.76699029],1
d4,1,0.000476,12.208021,[12 16] ; [59 16],[19.30097087  8.69902913] ; [51.69902913 23.30097087],1
a7,1,0.001695,9.853543,[14 14] ; [60 14],[20.31372549  7.68627451] ; [53.68627451 20.31372549],0
r3,1,0.0069,7.298743,[23  5] ; [72  2],[26.07843137  1.92156863] ; [68.92156863  5.07843137],0
a3,1,0.022902,5.17594,[ 7 21] ; [37 37],[12.07843137 15.92156863] ; [31.92156863 42.07843137],0
p10,1,0.023347,5.142505,[16 12] ; [58 15],[20.51485149  7.48514851] ; [53.48514851 19.51485149],0
p2,1,0.025621,4.981434,[20  8] ; [67  8],[23.65048544  4.34951456] ; [63.34951456 11.65048544],0
a6,1,0.027931,4.832305,[10 18] ; [45 30],[14.95145631 13.04854369] ; [40.04854369 34.95145631],0
v4,1,0.028348,4.806791,[25  3] ; [74  1],[26.91262136  1.08737864] ; [72.08737864  2.91262136],0
p4,1,0.029886,4.715841,[17 11] ; [61 14],[21.2038835  6.7961165] ; [56.7961165 18.2038835],0
r4,1,0.039001,4.260805,[21  7] ; [68  7],[24.19417476  3.80582524] ; [64.80582524 10.19417476],0
p9,1,0.050334,3.830286,[18 10] ; [61 13],[21.68627451  6.31372549] ; [57.31372549 16.68627451],0
s2,1,0.051762,3.783459,[ 8 20] ; [37 37],[12.35294118 15.64705882] ; [32.64705882 41.35294118],0
a4,1,0.054325,3.702682,[ 2 26] ; [18 57],[ 5.4368932 22.5631068] ; [14.5631068 60.4368932],0
r1,1,0.061599,3.493812,[15 13] ; [54 20],[18.94117647  9.05882353] ; [50.05882353 23.94117647],0
s7,1,0.09674,2.75848,[ 9 19] ; [34 33],[12.67368421 15.32631579] ; [30.32631579 36.67368421],0
v3,1,0.1239,2.36732,[ 7 20] ; [30 40],[10.29896907 16.70103093] ; [26.70103093 43.29896907],0
u3,1,0.132628,2.261475,[ 9 12] ; [24 14],[11.74576271  9.25423729] ; [21.25423729 16.74576271],0
n5,1,0.134966,2.234435,[18 10] ; [59 16],[20.93203883  7.06796117] ; [56.06796117 18.93203883],0
v2,1,0.173058,1.85625,[ 9 18] ; [35 37],[12. 15.] ; [32. 40.],0
v1,1,0.205041,1.606099,[12 16] ; [41 31],[14.84 13.16] ; [38.16 33.84],0
n2,1,0.226023,1.465714,[3 2] ; [12  2],[3.94736842 1.05263158] ; [11.05263158  2.94736842],0
s8,1,0.234828,1.411377,[ 8 20] ; [31 44],[10.60194175 17.39805825] ; [28.39805825 46.60194175],0
b1,1,0.24448,1.354572,[14 14] ; [28 47],[11.41747573 16.58252427] ; [30.58252427 44.41747573],0
n4,1,0.254929,1.29609,[19  9] ; [59 16],[21.2038835  6.7961165] ; [56.7961165 18.2038835],0
b4,1,0.275943,1.186964,[19  9] ; [42 33],[16.58252427 11.41747573] ; [44.41747573 30.58252427],0
s3,1,0.310282,1.029474,[13 14] ; [44 30],[15.23762376 11.76237624] ; [41.76237624 32.23762376],0
n6,1,0.312922,1.018302,[22  6] ; [65 10],[23.65048544  4.34951456] ; [63.34951456 11.65048544],0
p7,1,0.334826,0.930143,[22  6] ; [51 23],[20.03921569  7.96078431] ; [52.96078431 21.03921569],0
b5,1,0.361347,0.833205,[14 14] ; [45 30],[16.03883495 11.96116505] ; [42.96116505 32.03883495],0
p6,1,0.38383,0.758398,[ 9 17] ; [32 40],[10.87755102 15.12244898] ; [30.12244898 41.87755102],0
p5,1,0.488432,0.479979,[ 4 24] ; [15 59],[ 5.21568627 22.78431373] ; [13.78431373 60.21568627],0
p1,1,0.51863,0.416616,[ 6 22] ; [12 63],[ 4.89320388 23.10679612] ; [13.10679612 61.89320388],0
s1,1,0.519067,0.415747,[ 2 26] ; [ 3 71],[ 1.37254902 26.62745098] ; [ 3.62745098 70.37254902],0
s6,1,0.54403,0.368122,[17 10] ; [52 23],[18.26470588  8.73529412] ; [50.73529412 24.26470588],0
r2,1,0.578255,0.309065,[26  2] ; [66  8],[25.25490196  2.74509804] ; [66.74509804  7.25490196],0
p11,1,0.582468,0.302262,[19  9] ; [55 20],[20.11650485  7.88349515] ; [53.88349515 21.11650485],0
s5,1,0.593746,0.284532,[ 6 19] ; [21 50],[ 7.03125 17.96875] ; [19.96875 51.03125],0
a8,1,0.616023,0.251497,[ 2 26] ; [ 7 60],[ 2.65263158 25.34736842] ; [ 6.34736842 60.65263158],0
n1,1,0.700668,0.147778,[2 3] ; [7 7],[2.36842105 2.63157895] ; [6.63157895 7.36842105],0
s4,1,0.784132,0.075042,[ 5 23] ; [15 59],[ 5.49019608 22.50980392] ; [14.50980392 59.49019608],0
a1,1,0.808051,0.059021,[ 1 27] ; [ 2 73],[ 0.81553398 27.18446602] ; [ 2.18446602 72.81553398],0
b2,1,0.856428,0.032733,[ 3 10] ; [12 35],[3.25 9.75] ; [11.75 35.25],0
b3,1,0.856428,0.032733,[ 3 10] ; [12 35],[3.25 9.75] ; [11.75 35.25],0
p8,1,0.889036,0.019467,[16 12] ; [44 31],[16.31067961 11.68932039] ; [43.68932039 31.31067961],0
p12,1,0.931917,0.007299,[ 2 26] ; [ 5 70],[ 1.90291262 26.09708738] ; [ 5.09708738 69.90291262],0
u2,1,0.945443,0.004683,[11  9] ; [20 17],[10.87719298  9.12280702] ; [20.12280702 16.87719298],0
n3,1,0.946375,0.004524,[4 1] ; [11  3],[3.94736842 1.05263158] ; [11.05263158  2.94736842],0
d2,1,0.972361,0.0012,[ 7 21] ; [19 56],[ 7.06796117 20.93203883] ; [18.93203883 56.06796117],0
