Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,49.678209,[292  40] ; [20 24],[275.4893617  56.5106383] ; [36.5106383  7.4893617],1
n5,1,0.0,47.817075,[283  49] ; [18 26],[265.77659574  66.22340426] ; [35.22340426  8.77659574],1
s7,1,0.000359,12.733072,[251  67] ; [22 19],[241.82172702  76.17827298] ; [31.17827298  9.82172702],1
a3,1,0.007806,7.077518,[269  63] ; [28 16],[262.24468085  69.75531915] ; [34.75531915  9.24468085],0
r2,1,0.009795,6.67189,[327   4] ; [41  3],[324.82133333   6.17866667] ; [43.17866667  0.82133333],0
p10,1,0.016601,5.738112,[295  35] ; [33 10],[290.18766756  39.81233244] ; [37.81233244  5.18766756],0
b1,1,0.024283,5.074289,[130 203] ; [25 19],[136.90981432 196.09018568] ; [18.09018568 25.90981432],0
a4,1,0.024415,5.064905,[166 167] ; [14 30],[158.99204244 174.00795756] ; [21.00795756 22.99204244],0
u3,1,0.0262,4.942792,[42 22] ; [15  1],[45.6 18.4] ; [11.4  4.6],0
p8,1,0.061588,3.494108,[197 130] ; [20 24],[191.26415094 135.73584906] ; [25.73584906 18.26415094],0
a2,1,0.070684,3.267066,[ 96 237] ; [ 7 37],[ 90.97877984 242.02122016] ; [12.02122016 31.97877984],0
p6,1,0.081754,3.029674,[158 171] ; [15 29],[152.5924933 176.4075067] ; [20.4075067 23.5924933],0
s2,1,0.083421,2.99695,[242  89] ; [26 17],[237.18716578  93.81283422] ; [30.81283422 12.18716578],0
u2,1,0.090223,2.870394,[41 23] ; [13  2],[43.74683544 20.25316456] ; [10.25316456  4.74683544],0
v3,1,0.096159,2.768116,[160 160] ; [14 25],[155.09749304 164.90250696] ; [18.90250696 20.09749304],0
p9,1,0.097653,2.743454,[303  28] ; [36  7],[300.02406417  30.97593583] ; [38.97593583  4.02406417],0
u1,1,0.105358,2.622501,[ 82 251] ; [ 6 38],[ 77.72944297 255.27055703] ; [10.27055703 33.72944297],0
p4,1,0.115212,2.481231,[228 104] ; [25 19],[223.39361702 108.60638298] ; [29.60638298 14.39361702],0
s3,1,0.127842,2.318511,[249  82] ; [27 15],[244.92225201  86.07774799] ; [31.07774799 10.92225201],0
p7,1,0.133075,2.256264,[232  92] ; [26 17],[227.77111717  96.22888283] ; [30.22888283 12.77111717],0
p12,1,0.133296,2.253695,[ 41 289] ; [ 2 41],[ 38.04289544 291.95710456] ; [ 4.95710456 38.04289544],0
d2,1,0.1603,1.97139,[196 137] ; [21 23],[191.67374005 141.32625995] ; [25.32625995 18.67374005],0
n2,1,0.168491,1.896323,[43 21] ; [12  2],[45.12820513 18.87179487] ; [9.87179487 4.12820513],0
