Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.652216,[51 10] ; [17 27],[39.5047619 21.4952381] ; [28.4952381 15.5047619],1
v4,1,3.7e-05,17.040984,[53  8] ; [22 22],[43.57142857 17.42857143] ; [31.42857143 12.57142857],1
r2,1,0.000437,12.365592,[57  4] ; [28 14],[50.33980583 10.66019417] ; [34.66019417  7.33980583],1
u3,1,0.001821,9.722222,[17  7] ; [ 4 14],[12. 12.] ; [9. 9.],0
s6,1,0.003772,8.390304,[30 29] ; [10 34],[22.91262136 36.08737864] ; [17.08737864 26.91262136],0
s8,1,0.005956,7.563636,[21 39] ; [ 5 39],[15. 45.] ; [11. 33.],0
a2,1,0.010795,6.498755,[16 45] ; [ 3 41],[11.03809524 49.96190476] ; [ 7.96190476 36.03809524],0
r3,1,0.015037,5.912122,[47 14] ; [24 20],[41.24761905 19.75238095] ; [29.75238095 14.24761905],0
s2,1,0.017231,5.672727,[24 36] ; [ 8 36],[18.46153846 41.53846154] ; [13.53846154 30.46153846],0
v1,1,0.027131,4.882483,[23 36] ; [ 8 35],[17.93137255 41.06862745] ; [13.06862745 29.93137255],0
s3,1,0.037366,4.333672,[27 32] ; [11 32],[21.98039216 37.01960784] ; [16.01960784 26.98039216],0
s7,1,0.037577,4.324046,[20 35] ; [ 7 34],[15.46875 39.53125] ; [11.53125 29.46875],0
n3,1,0.045761,3.990378,[18  7] ; [ 7 10],[14.88095238 10.11904762] ; [10.11904762  6.88095238],0
a1,1,0.05835,3.583663,[ 3 58] ; [ 7 37],[ 5.80952381 55.19047619] ; [ 4.19047619 39.80952381],0
p1,1,0.064711,3.412336,[ 4 57] ; [ 8 36],[ 6.97142857 54.02857143] ; [ 5.02857143 38.97142857],0
a4,1,0.06526,3.398382,[29 31] ; [13 30],[24.46601942 35.53398058] ; [17.53398058 25.46601942],0
a7,1,0.076584,3.135944,[37 24] ; [19 25],[32.53333333 28.46666667] ; [23.46666667 20.53333333],0
p11,1,0.102356,2.668445,[32 29] ; [16 28],[27.88571429 33.11428571] ; [20.11428571 23.88571429],0
p4,1,0.109469,2.561875,[19 40] ; [ 8 36],[15.46601942 43.53398058] ; [11.53398058 32.46601942],0
n4,1,0.134386,2.241097,[42 19] ; [24 20],[38.34285714 22.65714286] ; [27.65714286 16.34285714],0
u1,1,0.141604,2.160438,[10 51] ; [ 3 41],[ 7.55238095 53.44761905] ; [ 5.44761905 38.55238095],0
d1,1,0.168135,1.899497,[29 32] ; [15 29],[25.56190476 35.43809524] ; [18.43809524 25.56190476],0
n6,1,0.173888,1.849097,[42 19] ; [24 19],[38.71153846 22.28846154] ; [27.28846154 15.71153846],0
u2,1,0.179464,1.802059,[13 11] ; [ 6 12],[10.85714286 13.14285714] ; [8.14285714 9.85714286],0
d5,1,0.191256,1.707918,[39 21] ; [23 21],[35.76923077 24.23076923] ; [26.23076923 17.76923077],0
b2,1,0.193864,1.688004,[14 28] ; [15 16],[16.68493151 25.31506849] ; [12.31506849 18.68493151],0
b3,1,0.193864,1.688004,[14 28] ; [15 16],[16.68493151 25.31506849] ; [12.31506849 18.68493151],0
s5,1,0.199965,1.642631,[12 44] ; [ 5 38],[ 9.61616162 46.38383838] ; [ 7.38383838 35.61616162],0
