Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7.4e-05,15.703626,[ 3 46] ; [10 12],[ 8.97183099 40.02816901] ; [ 4.02816901 17.97183099],1
p8,1,0.001576,9.987087,[ 8 42] ; [11 10],[13.38028169 36.61971831] ; [ 5.61971831 15.38028169],0
p4,1,0.002102,9.458182,[11 39] ; [13  9],[16.66666667 33.33333333] ; [ 7.33333333 14.66666667],0
p3,1,0.006216,7.486473,[ 6 43] ; [ 9 13],[10.35211268 38.64788732] ; [ 4.64788732 17.35211268],0
s2,1,0.019676,5.440378,[15 35] ; [13  9],[19.44444444 30.55555556] ; [ 8.55555556 13.44444444],0
d3,1,0.082438,3.016178,[27 23] ; [ 7 15],[23.61111111 26.38888889] ; [10.38888889 11.61111111],0
d1,1,0.100319,2.700468,[24 26] ; [ 6 16],[20.83333333 29.16666667] ; [ 9.16666667 12.83333333],0
n2,1,0.104756,2.631595,[14 13] ; [6 1],[15.88235294 11.11764706] ; [4.11764706 2.88235294],0
b3,1,0.121458,2.398422,[10 15] ; [ 2 11],[ 7.89473684 17.10526316] ; [4.10526316 8.89473684],0
b2,1,0.121458,2.398422,[10 15] ; [ 2 11],[ 7.89473684 17.10526316] ; [4.10526316 8.89473684],0
n5,1,0.147826,2.094545,[14 36] ; [10 12],[16.66666667 33.33333333] ; [ 7.33333333 14.66666667],0
b1,1,0.180856,1.790577,[21 29] ; [13  9],[23.61111111 26.38888889] ; [10.38888889 11.61111111],0
b4,1,0.191527,1.705835,[31 19] ; [10 12],[28.47222222 21.52777778] ; [12.52777778  9.47222222],0
d4,1,0.202723,1.622649,[39 11] ; [14  8],[36.80555556 13.19444444] ; [16.19444444  5.80555556],0
s3,1,0.26454,1.244844,[18 32] ; [11 11],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
a6,1,0.284743,1.14431,[25 25] ; [ 8 14],[22.91666667 27.08333333] ; [10.08333333 11.91666667],0
u3,1,0.304807,1.053044,[13  7] ; [3 4],[11.85185185  8.14814815] ; [4.14814815 2.85185185],0
n3,1,0.31218,1.021429,[13 13] ; [5 2],[14.18181818 11.81818182] ; [3.81818182 3.18181818],0
s8,1,0.319296,0.991827,[ 9 41] ; [ 6 15],[10.56338028 39.43661972] ; [ 4.43661972 16.56338028],0
s6,1,0.347558,0.882353,[22 27] ; [12  9],[23.8 25.2] ; [10.2 10.8],0
d5,1,0.372817,0.794255,[37 13] ; [14  8],[35.41666667 14.58333333] ; [15.58333333  6.41666667],0
p9,1,0.384564,0.75606,[24 22] ; [ 9 13],[22.32352941 23.67647059] ; [10.67647059 11.32352941],0
v3,1,0.448622,0.57413,[13 34] ; [ 4 17],[11.75 35.25] ; [ 5.25 15.75],0
a3,1,0.508883,0.436364,[30 20] ; [15  7],[31.25 18.75] ; [13.75  8.25],0
p5,1,0.531168,0.392157,[ 1 48] ; [ 1 20],[ 1.4 47.6] ; [ 0.6 20.4],0
p12,1,0.555289,0.347927,[ 1 48] ; [ 1 21],[ 1.38028169 47.61971831] ; [ 0.61971831 21.38028169],0
a8,1,0.555289,0.347927,[ 1 48] ; [ 1 21],[ 1.38028169 47.61971831] ; [ 0.61971831 21.38028169],0
v2,1,0.562497,0.335399,[21 25] ; [ 8 13],[19.91044776 26.08955224] ; [ 9.08955224 11.91044776],0
d2,1,0.578035,0.309421,[24 26] ; [ 9 13],[22.91666667 27.08333333] ; [10.08333333 11.91666667],0
s4,1,0.584371,0.299221,[12 38] ; [ 4 18],[11.11111111 38.88888889] ; [ 4.88888889 17.11111111],0
r2,1,0.640593,0.217967,[41  9] ; [17  5],[40.27777778  9.72222222] ; [17.72222222  4.27777778],0
r3,1,0.647195,0.209455,[41  9] ; [19  3],[41.66666667  8.33333333] ; [18.33333333  3.66666667],0
a4,1,0.653296,0.20177,[21 29] ; [ 8 14],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
p11,1,0.665414,0.187013,[20 30] ; [10 12],[20.83333333 29.16666667] ; [ 9.16666667 12.83333333],0
r4,1,0.68833,0.160899,[34 16] ; [16  6],[34.72222222 15.27777778] ; [15.27777778  6.72222222],0
s1,1,0.717491,0.130909,[ 6 44] ; [ 2 20],[ 5.55555556 44.44444444] ; [ 2.44444444 19.55555556],0
p10,1,0.72391,0.124777,[24 24] ; [10 12],[23.31428571 24.68571429] ; [10.68571429 11.31428571],0
u2,1,0.744785,0.105965,[10 10] ; [4 3],[10.37037037  9.62962963] ; [3.62962963 3.37037037],0
n6,1,0.754145,0.09808,[27 23] ; [11 11],[26.38888889 23.61111111] ; [11.61111111 10.38888889],0
a7,1,0.754145,0.09808,[27 23] ; [11 11],[26.38888889 23.61111111] ; [11.61111111 10.38888889],0
r1,1,0.785086,0.074364,[29 21] ; [12 10],[28.47222222 21.52777778] ; [12.52777778  9.47222222],0
s5,1,0.792952,0.068896,[12 35] ; [ 6 15],[12.44117647 34.55882353] ; [ 5.55882353 15.44117647],0
a1,1,0.803978,0.061604,[ 3 47] ; [ 1 21],[ 2.77777778 47.22222222] ; [ 1.22222222 20.77777778],0
a5,1,0.807237,0.059532,[28 22] ; [13  9],[28.47222222 21.52777778] ; [12.52777778  9.47222222],0
b5,1,0.846133,0.037657,[33 17] ; [14  8],[32.63888889 17.36111111] ; [14.36111111  7.63888889],0
v4,1,0.857494,0.032244,[40 10] ; [18  4],[40.27777778  9.72222222] ; [17.72222222  4.27777778],0
p1,1,0.877391,0.023802,[ 4 46] ; [ 2 20],[ 4.16666667 45.83333333] ; [ 1.83333333 20.16666667],0
v1,1,0.976393,0.000876,[18 32] ; [ 8 14],[18.05555556 31.94444444] ; [ 7.94444444 14.05555556],0
s7,1,0.984767,0.000365,[12 34] ; [ 5 14],[12.03076923 33.96923077] ; [ 4.96923077 14.03076923],0
n1,1,1.0,0.0,[ 9 18] ; [2 4],[ 9. 18.] ; [2. 4.],0
