Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3e-06,21.802171,[26 16] ; [ 4 33],[15.94936709 26.05063291] ; [14.05063291 22.94936709],1
d5,1,1.3e-05,18.966209,[39  4] ; [17 20],[30.1 12.9] ; [25.9 11.1],1
a3,1,0.000106,15.031094,[35  8] ; [14 22],[26.67088608 16.32911392] ; [22.32911392 13.67088608],1
d2,1,0.000121,14.783835,[30 12] ; [10 26],[21.53846154 20.46153846] ; [18.46153846 17.53846154],1
d1,1,0.001593,9.967543,[28 15] ; [11 26],[20.9625 22.0375] ; [18.0375 18.9625],0
n4,1,0.008963,6.830199,[31 12] ; [16 21],[25.2625 17.7375] ; [21.7375 15.2625],0
d4,1,0.045926,3.984324,[33 10] ; [20 16],[28.84810127 14.15189873] ; [24.15189873 11.84810127],0
s7,1,0.04986,3.846154,[17 22] ; [ 8 28],[13. 26.] ; [12. 24.],0
b1,1,0.070096,3.280775,[25 18] ; [14 23],[20.9625 22.0375] ; [18.0375 18.9625],0
d3,1,0.109646,2.559318,[28 15] ; [17 19],[24.49367089 18.50632911] ; [20.50632911 15.49367089],0
n6,1,0.12459,2.35865,[27 14] ; [18 19],[23.65384615 17.34615385] ; [21.34615385 15.65384615],0
a1,1,0.124873,2.35511,[ 7 36] ; [ 2 35],[ 4.8375 38.1625] ; [ 4.1625 32.8375],0
p4,1,0.127375,2.324204,[17 25] ; [ 9 28],[13.82278481 28.17721519] ; [12.17721519 24.82278481],0
s8,1,0.131095,2.279489,[10 32] ; [ 4 33],[ 7.44303797 34.55696203] ; [ 6.55696203 30.44303797],0
p2,1,0.141729,2.159091,[20 20] ; [24 12],[23.15789474 16.84210526] ; [20.84210526 15.15789474],0
p3,1,0.147835,2.094451,[15 26] ; [ 8 29],[12.08974359 28.91025641] ; [10.91025641 26.08974359],0
n5,1,0.173711,1.850621,[30 12] ; [21 16],[27.11392405 14.88607595] ; [23.88607595 13.11392405],0
a6,1,0.19407,1.68645,[26 17] ; [17 20],[23.1125 19.8875] ; [19.8875 17.1125],0
n1,1,0.204196,1.612103,[10 11] ; [ 5 13],[ 8.07692308 12.92307692] ; [ 6.92307692 11.07692308],0
p5,1,0.205182,1.605102,[ 6 36] ; [ 2 34],[ 4.30769231 37.69230769] ; [ 3.69230769 32.30769231],0
p7,1,0.210229,1.569849,[13 28] ; [16 19],[15.64473684 25.35526316] ; [13.35526316 21.64473684],0
b2,1,0.279932,1.167421,[ 8 18] ; [8 9],[ 9.6744186 16.3255814] ; [ 6.3255814 10.6744186],0
b3,1,0.279932,1.167421,[ 8 18] ; [8 9],[ 9.6744186 16.3255814] ; [ 6.3255814 10.6744186],0
b4,1,0.302737,1.062099,[23 20] ; [24 13],[25.2625 17.7375] ; [21.7375 15.2625],0
r3,1,0.325319,0.967442,[21 21] ; [22 14],[23.15384615 18.84615385] ; [19.84615385 16.15384615],0
r1,1,0.379106,0.7736,[14 28] ; [ 9 28],[12.2278481 29.7721519] ; [10.7721519 26.2278481],0
u1,1,0.381822,0.764828,[ 3 40] ; [ 1 36],[ 2.15 40.85] ; [ 1.85 35.15],0
u3,1,0.446576,0.579329,[4 4] ; [ 8 15],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
s3,1,0.468282,0.526028,[16 25] ; [17 19],[17.57142857 23.42857143] ; [15.42857143 20.57142857],0
s1,1,0.524204,0.405615,[ 2 41] ; [ 3 34],[ 2.6875 40.3125] ; [ 2.3125 34.6875],0
b5,1,0.54286,0.370265,[25 18] ; [19 18],[23.65 19.35] ; [20.35 16.65],0
s6,1,0.544498,0.367266,[16 25] ; [12 25],[14.71794872 26.28205128] ; [13.28205128 23.71794872],0
