Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000924,10.973762,[ 66 264] ; [8 6],[ 70.98837209 259.01162791] ; [ 3.01162791 10.98837209],1
s1,1,0.002176,9.394931,[ 12 322] ; [ 3 12],[ 14.35530086 319.64469914] ; [ 0.64469914 14.35530086],0
p8,1,0.009208,6.781947,[104 231] ; [9 5],[108.46704871 226.53295129] ; [4.53295129 9.46704871],0
s7,1,0.010501,6.54788,[102 222] ; [9 5],[106.40236686 217.59763314] ; [4.59763314 9.40236686],0
a5,1,0.014345,5.995202,[211 128] ; [14  1],[215.46610169 123.53389831] ; [9.53389831 5.46610169],0
r3,1,0.065677,3.387887,[298  37] ; [11  4],[295.75714286  39.24285714] ; [13.24285714  1.75714286],0
p9,1,0.067898,3.333118,[232  98] ; [13  1],[235.02906977  94.97093023] ; [9.97093023 4.02906977],0
s6,1,0.071461,3.249149,[157 178] ; [10  4],[160.3008596 174.6991404] ; [6.6991404 7.3008596],0
v2,1,0.079209,3.081052,[160 161] ; [ 4 11],[156.67857143 164.32142857] ; [7.32142857 7.67857143],0
p10,1,0.103349,2.653094,[217 119] ; [12  2],[219.84 116.16] ; [9.16 4.84],0
b4,1,0.104352,2.637732,[200 139] ; [12  3],[203.01694915 135.98305085] ; [8.98305085 6.01694915],0
p11,1,0.124181,2.363779,[230 109] ; [13  2],[232.70338983 106.29661017] ; [10.29661017  4.70338983],0
n4,1,0.136483,2.217169,[231 106] ; [13  2],[233.60227273 103.39772727] ; [10.39772727  4.60227273],0
u3,1,0.24302,1.362989,[54 62] ; [1 4],[52.72727273 63.27272727] ; [2.27272727 2.72727273],0
n6,1,0.252961,1.306875,[246  89] ; [13  2],[247.9  87.1] ; [11.1  3.9],0
v1,1,0.260017,1.268666,[138 191] ; [8 6],[140.04081633 188.95918367] ; [5.95918367 8.04081633],0
n1,1,0.29573,1.093349,[39 67] ; [3 2],[40.10810811 65.89189189] ; [1.89189189 3.10810811],0
p3,1,0.31307,1.017679,[ 75 263] ; [ 5 10],[ 76.60056657 261.39943343] ; [ 3.39943343 11.60056657],0
s8,1,0.313418,1.016218,[102 236] ; [6 8],[103.70454545 234.29545455] ; [4.29545455 9.70454545],0
n3,1,0.45967,0.546699,[67 38] ; [4 1],[67.77272727 37.22727273] ; [3.22727273 1.77272727],0
s3,1,0.463359,0.537769,[153 182] ; [5 9],[151.66189112 183.33810888] ; [6.33810888 7.66189112],0
v4,1,0.480758,0.497143,[292  43] ; [14  1],[292.88571429  42.11428571] ; [13.11428571  1.88571429],0
s2,1,0.535286,0.384348,[116 221] ; [ 4 11],[114.88636364 222.11363636] ; [5.11363636 9.88636364],0
d1,1,0.539682,0.37613,[163 176] ; [6 9],[161.83898305 177.16101695] ; [7.16101695 7.83898305],0
a2,1,0.554989,0.348455,[ 66 273] ; [ 2 13],[ 65.11864407 273.88135593] ; [ 2.88135593 12.11864407],0
r2,1,0.564256,0.332389,[301  32] ; [12  2],[300.37175793  32.62824207] ; [12.62824207  1.37175793],0
a7,1,0.580797,0.304949,[224 113] ; [11  4],[224.98579545 112.01420455] ; [10.01420455  4.98579545],0
p12,1,0.590082,0.290216,[ 14 322] ; [ 1 13],[ 14.4 321.6] ; [ 0.6 13.4],0
n2,1,0.614886,0.253121,[75 33] ; [4 1],[75.50442478 32.49557522] ; [3.49557522 1.50442478],0
r4,1,0.616372,0.250999,[267  72] ; [11  4],[266.22033898  72.77966102] ; [11.77966102  3.22033898],0
b5,1,0.646615,0.210195,[206 133] ; [10  5],[206.84745763 132.15254237] ; [9.15254237 5.84745763],0
p6,1,0.65668,0.197582,[ 56 276] ; [ 3 11],[ 56.61271676 275.38728324] ; [ 2.38728324 11.61271676],0
u2,1,0.675705,0.175002,[56 57] ; [2 3],[55.54237288 57.45762712] ; [2.45762712 2.54237288],0
d4,1,0.757188,0.095589,[258  78] ; [11  4],[257.5042735  78.4957265] ; [11.4957265  3.5042735],0
d3,1,0.798276,0.065321,[191 146] ; [8 7],[190.51988636 146.48011364] ; [8.48011364 6.51988636],0
d2,1,0.890532,0.018942,[140 195] ; [6 9],[139.74285714 195.25714286] ; [6.25714286 8.74285714],0
a6,1,0.893682,0.017862,[219 118] ; [10  5],[219.24147727 117.75852273] ; [9.75852273 5.24147727],0
p2,1,0.904551,0.014379,[231 108] ; [10  5],[230.78813559 108.21186441] ; [10.21186441  4.78813559],0
b2,1,0.910128,0.012741,[ 73 118] ; [4 6],[ 73.16915423 117.83084577] ; [3.83084577 6.16915423],0
b3,1,0.910128,0.012741,[ 73 118] ; [4 6],[ 73.16915423 117.83084577] ; [3.83084577 6.16915423],0
n5,1,0.917919,0.01062,[219 116] ; [10  5],[219.18571429 115.81428571] ; [9.81428571 5.18571429],0
a8,1,0.922778,0.009396,[ 46 273] ; [ 2 11],[ 46.12048193 272.87951807] ; [ 1.87951807 11.12048193],0
a4,1,0.930162,0.007681,[131 206] ; [6 9],[131.16193182 205.83806818] ; [5.83806818 9.16193182],0
p7,1,0.960389,0.002467,[150 180] ; [6 7],[150.08746356 179.91253644] ; [5.91253644 7.08746356],0
v3,1,0.960635,0.002436,[107 220] ; [ 5 10],[107.0877193 219.9122807] ; [ 4.9122807 10.0877193],0
d5,1,0.962484,0.002212,[246  92] ; [11  4],[246.07932011  91.92067989] ; [10.92067989  4.07932011],0
b1,1,0.974553,0.001017,[137 202] ; [6 9],[136.94067797 202.05932203] ; [6.05932203 8.94067797],0
p1,1,0.981017,0.000566,[ 23 314] ; [ 1 14],[ 22.97727273 314.02272727] ; [ 1.02272727 13.97727273],0
r1,1,0.991872,0.000104,[246  90] ; [11  4],[246.01709402  89.98290598] ; [10.98290598  4.01709402],0
a3,1,0.993623,6.4e-05,[223 112] ; [10  5],[223.01428571 111.98571429] ; [9.98571429 5.01428571],0
