Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-06,22.241657,[41 29] ; [ 1 24],[30.94736842 39.05263158] ; [11.05263158 13.94736842],1
d4,1,4e-06,21.11185,[59 11] ; [ 9 16],[50.10526316 19.89473684] ; [17.89473684  7.10526316],1
d2,1,0.002112,9.449803,[39 31] ; [ 5 20],[32.42105263 37.57894737] ; [11.57894737 13.42105263],0
d3,1,0.002766,8.955499,[49 21] ; [ 9 16],[42.73684211 27.26315789] ; [15.26315789  9.73684211],0
a5,1,0.006606,7.377071,[54 16] ; [12 13],[48.63157895 21.36842105] ; [17.36842105  7.63157895],0
a3,1,0.007596,7.126273,[55 15] ; [12 12],[49.89361702 20.10638298] ; [17.10638298  6.89361702],0
p2,1,0.008597,6.904731,[52 16] ; [12 13],[46.79569892 21.20430108] ; [17.20430108  7.79569892],0
a7,1,0.011911,6.324058,[48 22] ; [10 15],[42.73684211 27.26315789] ; [15.26315789  9.73684211],0
p7,1,0.014239,6.008316,[38 29] ; [ 7 18],[32.77173913 34.22826087] ; [12.22826087 12.77173913],0
p11,1,0.057122,3.619048,[46 24] ; [11 14],[42. 28.] ; [15. 10.],0
n1,1,0.06187,3.486522,[ 8 15] ; [7 3],[10.45454545 12.54545455] ; [4.54545455 5.45454545],0
u2,1,0.062308,3.474872,[12  3] ; [6 7],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
p4,1,0.066504,3.367259,[31 38] ; [ 6 19],[27.15957447 41.84042553] ; [ 9.84042553 15.15957447],0
v2,1,0.078593,3.09375,[33 33] ; [ 7 17],[29.33333333 36.66666667] ; [10.66666667 13.33333333],0
r3,1,0.08056,3.053571,[59 11] ; [17  8],[56. 14.] ; [20.  5.],0
b2,1,0.101192,2.686652,[ 9 30] ; [ 8 10],[11.63157895 27.36842105] ; [ 5.36842105 12.63157895],0
b3,1,0.101192,2.686652,[ 9 30] ; [ 8 10],[11.63157895 27.36842105] ; [ 5.36842105 12.63157895],0
a2,1,0.132679,2.260881,[15 55] ; [ 2 23],[12.52631579 57.47368421] ; [ 4.47368421 20.52631579],0
r1,1,0.134826,2.236033,[53 17] ; [15 10],[50.10526316 19.89473684] ; [17.89473684  7.10526316],0
a6,1,0.137897,2.201267,[48 22] ; [13 12],[44.94736842 25.05263158] ; [16.05263158  8.94736842],0
p10,1,0.146859,2.104575,[40 28] ; [10 14],[36.95652174 31.04347826] ; [13.04347826 10.95652174],0
b5,1,0.153642,2.035714,[45 25] ; [12 13],[42. 28.] ; [15. 10.],0
a4,1,0.153642,2.035714,[31 39] ; [ 7 18],[28. 42.] ; [10. 15.],0
b4,1,0.166747,1.91195,[42 28] ; [11 14],[39.05263158 30.94736842] ; [13.94736842 11.05263158],0
v1,1,0.174901,1.840423,[32 35] ; [ 8 17],[29.13043478 37.86956522] ; [10.86956522 14.13043478],0
n5,1,0.190982,1.710025,[40 30] ; [18  7],[42.73684211 27.26315789] ; [15.26315789  9.73684211],0
p8,1,0.197608,1.659963,[23 45] ; [ 5 20],[20.47311828 47.52688172] ; [ 7.52688172 17.47311828],0
p6,1,0.199637,1.645031,[16 50] ; [ 3 22],[13.78021978 52.21978022] ; [ 5.21978022 19.78021978],0
b1,1,0.208951,1.57868,[41 29] ; [11 14],[38.31578947 31.68421053] ; [13.68421053 11.31578947],0
s8,1,0.214333,1.541918,[20 50] ; [ 4 21],[17.68421053 52.31578947] ; [ 6.31578947 18.68421053],0
v4,1,0.217798,1.518821,[57 12] ; [17  7],[54.90322581 14.09677419] ; [19.09677419  4.90322581],0
a8,1,0.26072,1.264931,[ 8 58] ; [ 5 18],[ 9.64044944 56.35955056] ; [ 3.35955056 19.64044944],0
r4,1,0.291311,1.113553,[50 20] ; [15 10],[47.89473684 22.10526316] ; [17.10526316  7.89473684],0
p1,1,0.311467,1.024446,[ 4 65] ; [ 3 22],[ 5.13829787 63.86170213] ; [ 1.86170213 23.13829787],0
v3,1,0.316561,1.003102,[17 47] ; [ 9 15],[18.90909091 45.09090909] ; [ 7.09090909 16.90909091],0
a1,1,0.452843,0.563526,[ 5 65] ; [ 3 22],[ 5.89473684 64.10526316] ; [ 2.10526316 22.89473684],0
u3,1,0.46376,0.536805,[9 6] ; [6 7],[8.03571429 6.96428571] ; [6.96428571 6.03571429],0
