Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.974991,[135   9] ; [3 4],[131.60264901  12.39735099] ; [6.39735099 0.60264901],1
r3,1,0.005275,7.782543,[136   6] ; [5 2],[134.37583893   7.62416107] ; [6.62416107 0.37583893],0
r1,1,0.024705,5.04445,[114  30] ; [3 4],[111.57615894  32.42384106] ; [5.42384106 1.57615894],0
n6,1,0.038457,4.284709,[123  20] ; [4 3],[121.07333333  21.92666667] ; [5.92666667 1.07333333],0
b1,1,0.043787,4.064748,[49 95] ; [5 2],[51.49668874 92.50331126] ; [2.50331126 4.49668874],0
a6,1,0.054075,3.710377,[93 51] ; [2 5],[90.59602649 53.40397351] ; [4.40397351 2.59602649],0
n4,1,0.059785,3.543347,[92 52] ; [2 5],[89.64238411 54.35761589] ; [4.35761589 2.64238411],0
n2,1,0.064989,3.405253,[32  8] ; [1 2],[30.69767442  9.30232558] ; [2.30232558 0.69767442],0
p10,1,0.069633,3.291646,[119  23] ; [4 3],[117.22147651  24.77852349] ; [5.77852349 1.22147651],0
s2,1,0.074562,3.17963,[104  37] ; [3 4],[101.93918919  39.06081081] ; [5.06081081 1.93918919],0
a7,1,0.108496,2.575995,[102  41] ; [3 4],[100.1  42.9] ; [4.9 2.1],0
n5,1,0.153034,2.041743,[99 45] ; [3 4],[97.27152318 46.72847682] ; [4.72847682 2.27152318],0
p2,1,0.187048,1.740719,[113  31] ; [4 3],[111.57615894  32.42384106] ; [5.42384106 1.57615894],0
n1,1,0.191154,1.708703,[12 28] ; [2 1],[13.02325581 26.97674419] ; [0.97674419 2.02325581],0
s1,1,0.219438,1.508042,[  6 136] ; [1 6],[  6.67114094 135.32885906] ; [0.32885906 6.67114094],0
s7,1,0.238486,1.389523,[83 57] ; [5 1],[84.38356164 55.61643836] ; [3.61643836 2.38356164],0
p3,1,0.252952,1.306927,[71 73] ; [5 2],[72.47682119 71.52317881] ; [3.52317881 3.47682119],0
p9,1,0.263891,1.248228,[122  19] ; [5 2],[120.99324324  20.00675676] ; [6.00675676 0.99324324],0
s6,1,0.27761,1.178751,[119  19] ; [5 2],[118.0137931  19.9862069] ; [5.9862069 1.0137931],0
b5,1,0.278385,1.174956,[91 53] ; [3 4],[89.64238411 54.35761589] ; [4.35761589 2.64238411],0
s3,1,0.327479,0.95884,[105  37] ; [4 3],[103.87919463  38.12080537] ; [5.12080537 1.87919463],0
a3,1,0.340937,0.906904,[99 45] ; [6 1],[100.13245033  43.86754967] ; [4.86754967 2.13245033],0
b3,1,0.353203,0.861918,[16 57] ; [2 3],[16.84615385 56.15384615] ; [1.15384615 3.84615385],0
b2,1,0.353203,0.861918,[16 57] ; [2 3],[16.84615385 56.15384615] ; [1.15384615 3.84615385],0
p8,1,0.414104,0.666987,[71 70] ; [2 4],[70.02040816 70.97959184] ; [2.97959184 3.02040816],0
a4,1,0.428341,0.627318,[63 81] ; [2 5],[61.98675497 82.01324503] ; [3.01324503 3.98675497],0
p11,1,0.439313,0.598076,[102  42] ; [4 3],[101.08609272  42.91390728] ; [4.91390728 2.08609272],0
v3,1,0.449179,0.572723,[44 97] ; [1 5],[43.16326531 97.83673469] ; [1.83673469 4.16326531],0
p6,1,0.451948,0.565761,[61 81] ; [2 5],[60.04026846 81.95973154] ; [2.95973154 4.04026846],0
d4,1,0.554516,0.349289,[116  28] ; [5 2],[115.39072848  28.60927152] ; [5.60927152 1.39072848],0
s5,1,0.557708,0.343688,[71 60] ; [3 4],[70.24637681 60.75362319] ; [3.75362319 3.24637681],0
d5,1,0.561471,0.337163,[115  28] ; [5 2],[114.4  28.6] ; [5.6 1.4],0
b4,1,0.583644,0.300381,[88 56] ; [5 2],[88.68874172 55.31125828] ; [4.31125828 2.68874172],0
v1,1,0.594462,0.28343,[67 76] ; [4 3],[67.68666667 75.31333333] ; [3.31333333 3.68666667],0
d2,1,0.607818,0.263364,[68 76] ; [4 3],[68.66225166 75.33774834] ; [3.33774834 3.66225166],0
p1,1,0.639504,0.219391,[ 13 131] ; [1 6],[ 13.35099338 130.64900662] ; [0.64900662 6.35099338],0
p7,1,0.711628,0.136657,[89 50] ; [4 3],[88.54109589 50.45890411] ; [4.45890411 2.54109589],0
d3,1,0.806104,0.060248,[108  35] ; [5 2],[107.72666667  35.27333333] ; [5.27333333 1.72666667],0
v2,1,0.839826,0.040851,[65 74] ; [3 4],[64.73972603 74.26027397] ; [3.26027397 3.73972603],0
d1,1,0.921141,0.0098,[85 59] ; [4 3],[84.87417219 59.12582781] ; [4.12582781 2.87417219],0
p4,1,0.921141,0.0098,[85 59] ; [4 3],[84.87417219 59.12582781] ; [4.12582781 2.87417219],0
a5,1,0.941924,0.005307,[101  43] ; [5 2],[101.08609272  42.91390728] ; [4.91390728 2.08609272],0
