Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9e-06,19.780479,[24 19] ; [ 62 206],[11.89067524 31.10932476] ; [ 74.10932476 193.89067524],1
s7,1,0.000126,14.695903,[22 18] ; [ 64 189],[11.74061433 28.25938567] ; [ 74.25938567 178.74061433],1
s6,1,0.000358,12.740465,[30 13] ; [108 158],[19.2038835 23.7961165] ; [118.7961165 147.2038835],1
p6,1,0.009801,6.670646,[22 21] ; [ 82 182],[14.56677524 28.43322476] ; [ 89.43322476 174.56677524],0
u1,1,0.03217,4.589395,[12 31] ; [ 40 230],[ 7.14376997 35.85623003] ; [ 44.85623003 225.14376997],0
n1,1,0.034476,4.470939,[ 1 10] ; [26 35],[4.125 6.875] ; [22.875 38.125],0
n6,1,0.039545,4.237282,[40  2] ; [223  46],[35.51768489  6.48231511] ; [227.48231511  41.51768489],0
p10,1,0.048439,3.894677,[38  5] ; [197  67],[32.91530945 10.08469055] ; [202.08469055  61.91530945],0
v3,1,0.058336,3.58408,[22 20] ; [ 97 165],[16.44078947 25.55921053] ; [102.55921053 159.44078947],0
d4,1,0.109428,2.562462,[38  5] ; [209  60],[34.04166667  8.95833333] ; [212.95833333  56.04166667],0
a6,1,0.129135,2.30287,[26 17] ; [194  76],[30.22364217 12.77635783] ; [189.77635783  80.22364217],0
p11,1,0.138454,2.195053,[29 14] ; [210  60],[32.83386581 10.16613419] ; [206.16613419  63.83386581],0
s4,1,0.153592,2.036207,[ 6 35] ; [ 21 246],[ 3.59415584 37.40584416] ; [ 23.40584416 243.59415584],0
a4,1,0.175439,1.835846,[25 18] ; [126 142],[20.8778135 22.1221865] ; [130.1221865 137.8778135],0
s5,1,0.200213,1.640819,[13 29] ; [ 58 206],[ 9.74509804 32.25490196] ; [ 61.25490196 202.74509804],0
n3,1,0.209436,1.575319,[6 5] ; [44 16],[7.74647887 3.25352113] ; [42.25352113 17.74647887],0
p8,1,0.23066,1.436784,[25 18] ; [126 135],[21.35855263 21.64144737] ; [129.64144737 131.35855263],0
s1,1,0.240105,1.379978,[ 2 40] ; [  5 263],[ 0.9483871 41.0516129] ; [  6.0516129 261.9483871],0
r3,1,0.256223,1.289051,[41  2] ; [241  27],[38.9903537  4.0096463] ; [243.0096463  24.9903537],0
p1,1,0.258713,1.275632,[ 2 41] ; [ 27 242],[ 3.99679487 39.00320513] ; [ 25.00320513 243.99679487],0
v1,1,0.265316,1.240806,[26 17] ; [136 129],[22.61688312 20.38311688] ; [139.38311688 125.61688312],0
n5,1,0.3091,1.03452,[38  5] ; [220  48],[35.67202572  7.32797428] ; [222.32797428  45.67202572],0
b2,1,0.317478,0.999307,[12 12] ; [ 68 105],[ 9.74619289 14.25380711] ; [ 70.25380711 102.74619289],0
b3,1,0.317478,0.999307,[12 12] ; [ 68 105],[ 9.74619289 14.25380711] ; [ 70.25380711 102.74619289],0
p7,1,0.328718,0.953943,[28 15] ; [151 113],[25.07166124 17.92833876] ; [153.92833876 110.07166124],0
