Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.58419,[ 7 29] ; [17  4],[15.15789474 20.84210526] ; [ 8.84210526 12.15789474],1
s6,1,0.000556,11.916481,[16 22] ; [20  3],[22.42622951 15.57377049] ; [13.57377049  9.42622951],1
v1,1,0.001966,9.581476,[11 27] ; [16  7],[16.81967213 21.18032787] ; [10.18032787 12.81967213],0
p10,1,0.006246,7.477934,[20 18] ; [20  3],[24.91803279 13.08196721] ; [15.08196721  7.91803279],0
p9,1,0.006246,7.477934,[20 18] ; [20  3],[24.91803279 13.08196721] ; [15.08196721  7.91803279],0
s2,1,0.015687,5.837623,[16 22] ; [17  6],[20.55737705 17.44262295] ; [12.44262295 10.55737705],0
s5,1,0.017517,5.64378,[ 7 30] ; [11 12],[11.1 25.9] ; [ 6.9 16.1],0
s4,1,0.020905,5.334734,[ 4 34] ; [ 8 15],[ 7.47540984 30.52459016] ; [ 4.52459016 18.47540984],0
n5,1,0.028267,4.811732,[23 15] ; [20  3],[26.78688525 11.21311475] ; [16.21311475  6.78688525],0
p11,1,0.02854,4.795118,[19 19] ; [18  5],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
p6,1,0.032632,4.564987,[11 27] ; [13 10],[14.95081967 23.04918033] ; [ 9.04918033 13.95081967],0
n6,1,0.038245,4.294071,[23 14] ; [20  3],[26.51666667 10.48333333] ; [16.48333333  6.51666667],0
s3,1,0.042176,4.128126,[18 20] ; [17  6],[21.80327869 16.19672131] ; [13.19672131  9.80327869],0
v2,1,0.048364,3.897285,[19 18] ; [17  5],[22.57627119 14.42372881] ; [13.42372881  8.57627119],0
r2,1,0.106461,2.605984,[30  7] ; [22  1],[32.06666667  4.93333333] ; [19.93333333  3.06666667],0
p1,1,0.111352,2.534932,[ 1 37] ; [ 3 20],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
d2,1,0.12911,2.303173,[12 25] ; [12 11],[14.8 22.2] ; [ 9.2 13.8],0
r4,1,0.140023,2.177701,[29  9] ; [21  2],[31.14754098  6.85245902] ; [18.85245902  4.14754098],0
p3,1,0.155395,2.018474,[22 16] ; [ 9 14],[19.31147541 18.68852459] ; [11.68852459 11.31147541],0
b4,1,0.155395,2.018474,[16 22] ; [14  9],[18.68852459 19.31147541] ; [11.31147541 11.68852459],0
d5,1,0.192454,1.698734,[23 14] ; [18  5],[25.28333333 11.71666667] ; [15.71666667  7.28333333],0
p4,1,0.195331,1.676946,[15 23] ; [13 10],[17.44262295 20.55737705] ; [10.55737705 12.44262295],0
a7,1,0.204462,1.610214,[26 12] ; [12 11],[23.67213115 14.32786885] ; [14.32786885  8.67213115],0
d3,1,0.227659,1.455431,[15 22] ; [13 10],[17.26666667 19.73333333] ; [10.73333333 12.26666667],0
n4,1,0.286204,1.137394,[23 15] ; [17  6],[24.91803279 13.08196721] ; [15.08196721  7.91803279],0
p12,1,0.288473,1.126733,[ 1 37] ; [ 2 21],[ 1.86885246 36.13114754] ; [ 1.13114754 21.86885246],0
v4,1,0.299261,1.077483,[31  7] ; [21  2],[32.39344262  5.60655738] ; [19.60655738  3.39344262],0
b1,1,0.30615,1.047212,[18 20] ; [14  9],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
u3,1,0.3411,0.906294,[7 8] ; [6 3],[8.125 6.875] ; [4.875 4.125],0
a4,1,0.348249,0.879828,[12 26] ; [10 13],[13.70491803 24.29508197] ; [ 8.29508197 14.70491803],0
u2,1,0.348861,0.877595,[5 9] ; [5 4],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
