Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002427,9.194716,[11  7] ; [19 59],[ 5.625 12.375] ; [24.375 53.625],0
d1,1,0.016175,5.783714,[11  8] ; [23 57],[ 6.52525253 12.47474747] ; [27.47474747 52.52525253],0
v1,1,0.024758,5.040701,[10  9] ; [20 57],[ 5.9375 13.0625] ; [24.0625 52.9375],0
a2,1,0.034953,4.447476,[ 5 14] ; [ 7 73],[ 2.3030303 16.6969697] ; [ 9.6969697 70.3030303],0
d3,1,0.036637,4.367211,[13  6] ; [33 46],[ 8.91836735 10.08163265] ; [37.08163265 41.91836735],0
r2,1,0.037482,4.328368,[14  4] ; [38 37],[10.06451613  7.93548387] ; [41.93548387 33.06451613],0
d5,1,0.068736,3.312943,[15  4] ; [45 35],[11.51515152  7.48484848] ; [48.48484848 31.51515152],0
a3,1,0.077958,3.106973,[14  5] ; [40 38],[10.57731959  8.42268041] ; [43.42268041 34.57731959],0
p1,1,0.078027,3.105532,[ 4 15] ; [ 6 74],[ 1.91919192 17.08080808] ; [ 8.08080808 71.91919192],0
d2,1,0.141097,2.165953,[10  8] ; [29 50],[ 7.2371134 10.7628866] ; [31.7628866 47.2371134],0
u2,1,0.145825,2.115385,[3 1] ; [15 25],[1.63636364 2.36363636] ; [16.36363636 23.63636364],0
d4,1,0.157481,1.998248,[14  4] ; [48 32],[11.3877551  6.6122449] ; [50.6122449 29.3877551],0
v4,1,0.181216,1.787624,[14  5] ; [45 34],[11.43877551  7.56122449] ; [47.56122449 31.43877551],0
p7,1,0.20317,1.61944,[ 3 14] ; [26 52],[ 5.18947368 11.81052632] ; [23.81052632 54.18947368],0
s3,1,0.257709,1.28102,[ 2 17] ; [17 60],[ 3.76041667 15.23958333] ; [15.23958333 61.76041667],0
p4,1,0.302055,1.065098,[ 3 14] ; [24 56],[ 4.73195876 12.26804124] ; [22.26804124 57.73195876],0
s4,1,0.308246,1.038175,[ 1 18] ; [11 69],[ 2.3030303 16.6969697] ; [ 9.6969697 70.3030303],0
s6,1,0.337886,0.918437,[ 6 13] ; [17 63],[ 4.41414141 14.58585859] ; [18.58585859 61.41414141],0
a7,1,0.343199,0.898447,[11  7] ; [39 41],[9.18367347 8.81632653] ; [40.81632653 39.18367347],0
p11,1,0.349515,0.875216,[ 7 12] ; [39 41],[ 8.82828283 10.17171717] ; [37.17171717 42.82828283],0
a1,1,0.360011,0.837856,[ 3 16] ; [ 7 73],[ 1.91919192 17.08080808] ; [ 8.08080808 71.91919192],0
p2,1,0.369736,0.80455,[ 7 10] ; [42 37],[8.67708333 8.32291667] ; [40.32291667 38.67708333],0
p8,1,0.378963,0.774063,[ 3 15] ; [21 58],[ 4.45360825 13.54639175] ; [19.54639175 59.45360825],0
u3,1,0.410648,0.676923,[2 3] ; [ 9 30],[1.25 3.75] ; [ 9.75 29.25],0
r1,1,0.421204,0.646952,[ 7 12] ; [22 58],[ 5.56565657 13.43434343] ; [23.43434343 56.56565657],0
b4,1,0.43802,0.601465,[13  6] ; [47 33],[11.51515152  7.48484848] ; [48.48484848 31.51515152],0
a4,1,0.449701,0.571406,[ 8 11] ; [26 53],[ 6.59183673 12.40816327] ; [27.40816327 51.59183673],0
b5,1,0.473569,0.513636,[11  8] ; [39 41],[9.5959596 9.4040404] ; [40.4040404 39.5959596],0
a6,1,0.484603,0.488487,[10  9] ; [35 45],[ 8.63636364 10.36363636] ; [36.36363636 43.63636364],0
p12,1,0.503639,0.44726,[ 1 17] ; [ 2 77],[ 0.55670103 17.44329897] ; [ 2.44329897 76.55670103],0
s1,1,0.513317,0.4273,[ 2 17] ; [ 5 75],[ 1.34343434 17.65656566] ; [ 5.65656566 74.34343434],0
p5,1,0.546352,0.363893,[ 1 17] ; [ 8 71],[ 1.67010309 16.32989691] ; [ 7.32989691 71.67010309],0
p6,1,0.581272,0.304183,[ 3 15] ; [ 9 67],[ 2.29787234 15.70212766] ; [ 9.70212766 66.29787234],0
p9,1,0.607461,0.263889,[11  8] ; [39 37],[10.  9.] ; [40. 36.],0
b2,1,0.629613,0.232585,[4 5] ; [18 32],[3.3559322 5.6440678] ; [18.6440678 31.3559322],0
b3,1,0.629613,0.232585,[4 5] ; [18 32],[3.3559322 5.6440678] ; [18.6440678 31.3559322],0
n1,1,0.652109,0.203252,[3 6] ; [17 24],[3.6 5.4] ; [16.4 24.6],0
u1,1,0.732407,0.116913,[ 1 18] ; [ 6 74],[ 1.34343434 17.65656566] ; [ 5.65656566 74.34343434],0
a5,1,0.760973,0.09254,[ 9 10] ; [41 39],[9.5959596 9.4040404] ; [40.4040404 39.5959596],0
b1,1,0.77539,0.081414,[10  9] ; [45 35],[10.55555556  8.44444444] ; [44.44444444 35.55555556],0
p10,1,0.782573,0.076158,[ 8 10] ; [37 40],[8.52631579 9.47368421] ; [36.47368421 40.52631579],0
n6,1,0.785172,0.074303,[11  8] ; [43 36],[10.46938776  8.53061224] ; [43.53061224 35.46938776],0
p3,1,0.806728,0.059853,[ 3 14] ; [16 63],[ 3.36458333 13.63541667] ; [15.63541667 63.36458333],0
n2,1,0.813607,0.05559,[5 4] ; [21 20],[4.68 4.32] ; [21.32 19.68],0
s7,1,0.833674,0.044097,[ 4 14] ; [15 60],[ 3.67741935 14.32258065] ; [15.32258065 59.67741935],0
n5,1,0.847237,0.037112,[12  7] ; [48 31],[11.63265306  7.36734694] ; [48.36734694 30.63265306],0
r3,1,0.854349,0.033699,[ 8 10] ; [37 42],[8.35051546 9.64948454] ; [36.64948454 42.35051546],0
n3,1,0.868193,0.027541,[5 4] ; [21 19],[4.7755102 4.2244898] ; [21.2244898 18.7755102],0
s5,1,0.91449,0.01153,[ 2 17] ; [ 9 70],[ 2.13265306 16.86734694] ; [ 8.86734694 70.13265306],0
s8,1,0.945438,0.004684,[ 2 17] ; [ 8 72],[ 1.91919192 17.08080808] ; [ 8.08080808 71.91919192],0
n4,1,0.945758,0.004629,[11  8] ; [47 33],[11.13131313  7.86868687] ; [46.86868687 33.13131313],0
