Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3.6e-05,17.070972,[ 2 69] ; [16 40],[10.06299213 60.93700787] ; [ 7.93700787 48.06299213],1
p2,1,6.1e-05,16.074261,[28 45] ; [42 15],[39.30769231 33.69230769] ; [30.69230769 26.30769231],1
p8,1,0.000694,11.506049,[11 62] ; [23 32],[19.390625 53.609375] ; [14.609375 40.390625],1
p3,1,0.000696,11.500618,[12 60] ; [25 32],[20.65116279 51.34883721] ; [16.34883721 40.65116279],1
r3,1,0.000881,11.061486,[45 28] ; [50  7],[53.34615385 19.65384615] ; [41.65384615 15.34615385],1
n6,1,0.002263,9.322566,[33 40] ; [41 16],[41.55384615 31.44615385] ; [32.44615385 24.55384615],0
n3,1,0.005068,7.854945,[14 17] ; [14  2],[18.46808511 12.53191489] ; [9.53191489 6.46808511],0
r4,1,0.006336,7.452298,[38 35] ; [43 14],[45.48461538 27.51538462] ; [35.51538462 21.48461538],0
s6,1,0.012682,6.212989,[22 51] ; [29 27],[28.86046512 44.13953488] ; [22.13953488 33.86046512],0
p4,1,0.020612,5.359321,[17 55] ; [24 32],[23.0625 48.9375] ; [17.9375 38.0625],0
s3,1,0.021405,5.293519,[19 52] ; [26 30],[25.15748031 45.84251969] ; [19.84251969 36.15748031],0
n2,1,0.028645,4.788796,[16 17] ; [13  3],[19.53061224 13.46938776] ; [9.46938776 6.53061224],0
v4,1,0.030606,4.674918,[51 22] ; [49  8],[56.15384615 16.84615385] ; [43.84615385 13.15384615],0
a1,1,0.040225,4.208383,[ 8 65] ; [ 1 56],[ 5.05384615 67.94615385] ; [ 3.94615385 53.05384615],0
b5,1,0.064573,3.415846,[41 32] ; [41 16],[46.04615385 26.95384615] ; [35.95384615 21.04615385],0
b3,1,0.068778,3.311934,[17 25] ; [ 5 21],[13.58823529 28.41176471] ; [ 8.41176471 17.58823529],0
b2,1,0.068778,3.311934,[17 25] ; [ 5 21],[13.58823529 28.41176471] ; [ 8.41176471 17.58823529],0
b4,1,0.073531,3.202385,[41 32] ; [23 34],[35.93846154 37.06153846] ; [28.06153846 28.93846154],0
a6,1,0.154987,2.022473,[37 36] ; [36 21],[40.99230769 32.00769231] ; [32.00769231 24.99230769],0
p10,1,0.184039,1.764705,[25 45] ; [27 30],[28.66141732 41.33858268] ; [23.33858268 33.66141732],0
v1,1,0.221936,1.491806,[20 53] ; [21 35],[23.20155039 49.79844961] ; [17.79844961 38.20155039],0
s2,1,0.232468,1.425699,[14 59] ; [16 41],[16.84615385 56.15384615] ; [13.15384615 43.84615385],0
p9,1,0.246438,1.343382,[29 41] ; [29 27],[32.22222222 37.77777778] ; [25.77777778 30.22222222],0
u3,1,0.302445,1.063382,[12 23] ; [11 12],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
a5,1,0.361983,0.831002,[39 34] ; [35 22],[41.55384615 31.44615385] ; [32.44615385 24.55384615],0
d4,1,0.383853,0.758327,[50 23] ; [43 14],[52.22307692 20.77692308] ; [40.77692308 16.22307692],0
r2,1,0.390479,0.737449,[59 13] ; [49  7],[60.75 11.25] ; [47.25  8.75],0
s1,1,0.402419,0.701087,[ 5 68] ; [ 2 55],[ 3.93076923 69.06923077] ; [ 3.06923077 53.93076923],0
n5,1,0.413232,0.669482,[37 36] ; [33 24],[39.30769231 33.69230769] ; [30.69230769 26.30769231],0
d1,1,0.420727,0.648284,[32 41] ; [21 36],[29.76153846 43.23846154] ; [23.23846154 33.76153846],0
a8,1,0.450611,0.569114,[ 4 66] ; [ 5 49],[ 5.08064516 64.91935484] ; [ 3.91935484 50.08064516],0
a2,1,0.523338,0.407309,[11 62] ; [11 46],[12.35384615 60.64615385] ; [ 9.64615385 47.35384615],0
n1,1,0.555113,0.348236,[10 22] ; [6 9],[10.89361702 21.10638298] ; [5.10638298 9.89361702],0
a4,1,0.582195,0.3027,[27 44] ; [19 38],[25.515625 45.484375] ; [20.484375 36.515625],0
s8,1,0.628694,0.233836,[ 6 67] ; [ 6 50],[ 6.79069767 66.20930233] ; [ 5.20930233 50.79069767],0
r1,1,0.638685,0.220466,[40 33] ; [33 23],[41.31007752 31.68992248] ; [31.68992248 24.31007752],0
n4,1,0.642893,0.214978,[38 35] ; [32 25],[39.30769231 33.69230769] ; [30.69230769 26.30769231],0
d5,1,0.64667,0.210124,[51 22] ; [37 19],[49.79844961 23.20155039] ; [38.20155039 17.79844961],0
v2,1,0.666054,0.186253,[24 48] ; [20 34],[25.14285714 46.85714286] ; [18.85714286 35.14285714],0
d2,1,0.671983,0.179291,[33 39] ; [24 33],[31.81395349 40.18604651] ; [25.18604651 31.81395349],0
b1,1,0.675054,0.175746,[36 37] ; [26 31],[34.81538462 38.18461538] ; [27.18461538 29.81538462],0
a3,1,0.683691,0.166001,[38 33] ; [32 24],[39.13385827 31.86614173] ; [30.86614173 25.13385827],0
u1,1,0.717278,0.131116,[ 4 69] ; [ 4 53],[ 4.49230769 68.50769231] ; [ 3.50769231 53.49230769],0
p5,1,0.738765,0.111215,[ 3 70] ; [ 3 53],[ 3.39534884 69.60465116] ; [ 2.60465116 53.39534884],0
s4,1,0.760671,0.092781,[13 60] ; [ 9 48],[12.35384615 60.64615385] ; [ 9.64615385 47.35384615],0
u2,1,0.790056,0.070883,[11 24] ; [ 8 15],[11.46551724 23.53448276] ; [ 7.53448276 15.46551724],0
v3,1,0.802879,0.062312,[18 51] ; [16 41],[18.61904762 50.38095238] ; [15.38095238 41.61904762],0
a7,1,0.84198,0.039745,[47 26] ; [37 19],[47.53488372 25.46511628] ; [36.46511628 19.53488372],0
s5,1,0.8726,0.025714,[12 58] ; [ 9 47],[11.66666667 58.33333333] ; [ 9.33333333 46.66666667],0
d3,1,0.937614,0.006126,[39 34] ; [29 26],[38.78125 34.21875] ; [29.21875 25.78125],0
