Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001039,10.757506,[39 12] ; [ 9 15],[32.64 18.36] ; [15.36  8.64],0
r4,1,0.00495,7.897751,[50  1] ; [19  5],[46.92  4.08] ; [22.08  1.92],0
s2,1,0.0099,6.652847,[37 14] ; [10 14],[31.96 19.04] ; [15.04  8.96],0
s1,1,0.017235,5.672269,[ 1 50] ; [ 4 20],[ 3.4 47.6] ; [ 1.6 22.4],0
v2,1,0.026199,4.94281,[35 16] ; [10 14],[30.6 20.4] ; [14.4  9.6],0
n2,1,0.04557,3.997403,[10  1] ; [4 4],[8.10526316 2.89473684] ; [5.89473684 2.10526316],0
p10,1,0.057714,3.601876,[49  2] ; [20  4],[46.92  4.08] ; [22.08  1.92],0
r3,1,0.057714,3.601876,[49  2] ; [20  4],[46.92  4.08] ; [22.08  1.92],0
b5,1,0.059859,3.541275,[18 33] ; [14 10],[21.76 29.24] ; [10.24 13.76],0
a1,1,0.077857,3.109072,[10 41] ; [ 1 23],[ 7.48 43.52] ; [ 3.52 20.48],0
r1,1,0.109392,2.562982,[44  7] ; [17  7],[41.48  9.52] ; [19.52  4.48],0
a5,1,0.109392,2.562982,[44  7] ; [17  7],[41.48  9.52] ; [19.52  4.48],0
p7,1,0.175381,1.836335,[45  5] ; [18  5],[43.15068493  6.84931507] ; [19.84931507  3.15068493],0
s3,1,0.247197,1.339075,[34 16] ; [13 11],[31.75675676 18.24324324] ; [15.24324324  8.75675676],0
n4,1,0.2482,1.333406,[47  4] ; [20  4],[45.56  5.44] ; [21.44  2.56],0
p11,1,0.2482,1.333406,[47  4] ; [20  4],[45.56  5.44] ; [21.44  2.56],0
v1,1,0.25605,1.289989,[37 14] ; [13  9],[34.93150685 16.06849315] ; [15.06849315  6.93150685],0
n3,1,0.259942,1.269066,[7 4] ; [3 5],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
p4,1,0.26104,1.263232,[46  4] ; [20  4],[44.59459459  5.40540541] ; [21.40540541  2.59459459],0
s4,1,0.291351,1.113368,[ 6 45] ; [ 1 23],[ 4.76 46.24] ; [ 2.24 21.76],0
n5,1,0.291351,1.113368,[45  6] ; [23  1],[46.24  4.76] ; [21.76  2.24],0
s6,1,0.31735,0.999836,[44  6] ; [19  5],[42.56756757  7.43243243] ; [20.43243243  3.56756757],0
d3,1,0.325828,0.965409,[33 17] ; [13 11],[31.08108108 18.91891892] ; [14.91891892  9.08108108],0
