Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.932016,[ 9 18] ; [57 12],[18.5625  8.4375] ; [47.4375 21.5625],1
r4,1,3e-06,21.731667,[ 5 22] ; [49 20],[15.1875 11.8125] ; [38.8125 30.1875],1
n6,1,0.000307,13.025596,[ 7 20] ; [46 23],[14.90625 12.09375] ; [38.09375 30.90625],1
r2,1,0.000972,10.879733,[15 11] ; [60  8],[20.74468085  5.25531915] ; [54.25531915 13.74468085],1
u3,1,0.001854,9.688645,[ 1 13] ; [15 11],[5.6 8.4] ; [10.4 15.6],0
d5,1,0.003864,8.346633,[13 14] ; [54 15],[18.84375  8.15625] ; [48.15625 20.84375],0
p2,1,0.011138,6.443189,[ 6 21] ; [35 34],[11.53125 15.46875] ; [29.46875 39.53125],0
s6,1,0.011378,6.405233,[ 6 21] ; [34 33],[11.4893617 15.5106383] ; [28.5106383 38.4893617],0
v2,1,0.022345,5.218749,[ 5 22] ; [30 39],[ 9.84375 17.15625] ; [25.15625 43.84375],0
p7,1,0.026918,4.896093,[ 5 22] ; [29 39],[ 9.66315789 17.33684211] ; [24.33684211 43.66315789],0
p8,1,0.033645,4.512656,[ 3 23] ; [23 46],[ 7.11578947 18.88421053] ; [18.88421053 50.11578947],0
r1,1,0.035185,4.436158,[13 14] ; [49 20],[17.4375  9.5625] ; [44.5625 24.4375],0
s8,1,0.039454,4.241229,[ 1 26] ; [14 53],[ 4.30851064 22.69148936] ; [10.69148936 56.30851064],0
n3,1,0.044335,4.043746,[ 5 11] ; [17 10],[8.18604651 7.81395349] ; [13.81395349 13.18604651],0
n2,1,0.057358,3.612179,[ 6 10] ; [20 10],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
a7,1,0.062428,3.471689,[12 15] ; [45 24],[16.03125 10.96875] ; [40.96875 28.03125],0
s7,1,0.079076,3.083793,[ 2 22] ; [16 47],[ 4.96551724 19.03448276] ; [13.03448276 49.96551724],0
v3,1,0.109388,2.563044,[ 5 22] ; [23 42],[ 8.2173913 18.7826087] ; [19.7826087 45.2173913],0
b5,1,0.128248,2.313587,[11 16] ; [40 29],[14.34375 12.65625] ; [36.65625 32.34375],0
p6,1,0.168198,1.898931,[ 2 24] ; [13 54],[ 4.19354839 21.80645161] ; [10.80645161 56.19354839],0
n4,1,0.170014,1.882819,[19  8] ; [38 31],[16.03125 10.96875] ; [40.96875 28.03125],0
p3,1,0.172714,1.859224,[ 6 21] ; [25 43],[ 8.81052632 18.18947368] ; [22.18947368 45.81052632],0
b2,1,0.182427,1.777742,[ 8 10] ; [11 30],[ 5.79661017 12.20338983] ; [13.20338983 27.79661017],0
b3,1,0.182427,1.777742,[ 8 10] ; [11 30],[ 5.79661017 12.20338983] ; [13.20338983 27.79661017],0
p10,1,0.204113,1.6127,[ 2 25] ; [12 56],[ 3.97894737 23.02105263] ; [10.02105263 57.97894737],0
a2,1,0.230322,1.43887,[ 3 24] ; [15 54],[ 5.0625 21.9375] ; [12.9375 56.0625],0
d3,1,0.231728,1.430222,[12 15] ; [40 29],[14.625 12.375] ; [37.375 31.625],0
v1,1,0.232577,1.425033,[ 6 21] ; [24 45],[ 8.4375 18.5625] ; [21.5625 47.4375],0
d1,1,0.245392,1.349349,[ 9 18] ; [32 37],[11.53125 15.46875] ; [29.46875 39.53125],0
s1,1,0.252688,1.308383,[ 4 23] ; [ 5 64],[ 2.53125 24.46875] ; [ 6.46875 62.53125],0
a3,1,0.276498,1.184222,[13 13] ; [43 26],[15.32631579 10.67368421] ; [40.67368421 28.32631579],0
d4,1,0.288567,1.126294,[17 10] ; [51 18],[19.125  7.875] ; [48.875 20.125],0
p4,1,0.291771,1.11143,[ 7 20] ; [25 42],[ 9.19148936 17.80851064] ; [22.80851064 44.19148936],0
u2,1,0.342093,0.902571,[ 4 10] ; [11 14],[5.38461538 8.61538462] ; [ 9.61538462 15.38461538],0
a6,1,0.348658,0.878336,[12 15] ; [38 31],[14.0625 12.9375] ; [35.9375 33.0625],0
a1,1,0.377539,0.778699,[ 4 23] ; [ 6 63],[ 2.8125 24.1875] ; [ 7.1875 61.8125],0
a5,1,0.384203,0.75721,[13 14] ; [40 29],[14.90625 12.09375] ; [38.09375 30.90625],0
s5,1,0.415359,0.663409,[ 3 24] ; [12 55],[ 4.30851064 22.69148936] ; [10.69148936 56.30851064],0
s3,1,0.451307,0.567367,[ 8 18] ; [27 42],[ 9.57894737 16.42105263] ; [25.42105263 43.57894737],0
b1,1,0.457269,0.55257,[15 12] ; [44 25],[16.59375 10.40625] ; [42.40625 26.59375],0
s4,1,0.517202,0.419469,[ 4 23] ; [14 54],[ 5.11578947 21.88421053] ; [12.88421053 55.11578947],0
p1,1,0.5379,0.379447,[ 3 24] ; [ 5 64],[ 2.25 24.75] ; [ 5.75 63.25],0
b4,1,0.541026,0.373642,[13 14] ; [38 31],[14.34375 12.65625] ; [36.65625 32.34375],0
n5,1,0.670109,0.181474,[15 12] ; [35 34],[14.0625 12.9375] ; [35.9375 33.0625],0
a4,1,0.782404,0.076279,[ 9 17] ; [26 43],[ 9.57894737 16.42105263] ; [25.42105263 43.57894737],0
d2,1,0.786059,0.073676,[12 14] ; [34 35],[12.58947368 13.41052632] ; [33.41052632 35.58947368],0
a8,1,0.853678,0.034014,[ 2 25] ; [ 4 59],[ 1.8 25.2] ; [ 4.2 58.8],0
s2,1,0.956636,0.002957,[ 7 20] ; [18 50],[ 7.10526316 19.89473684] ; [17.89473684 50.10526316],0
n1,1,0.977225,0.000815,[ 6 10] ; [11 18],[6.04444444 9.95555556] ; [10.95555556 18.04444444],0
