Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.1e-05,17.362605,[ 3 32] ; [6 2],[ 7.3255814 27.6744186] ; [1.6744186 6.3255814],1
s8,1,0.000139,14.52,[ 3 37] ; [5 3],[ 6.66666667 33.33333333] ; [1.33333333 6.66666667],1
s6,1,0.001374,10.24,[11 29] ; [7 1],[15. 25.] ; [3. 5.],0
p10,1,0.058283,3.585587,[15 24] ; [6 2],[17.42553191 21.57446809] ; [3.57446809 4.42553191],0
p5,1,0.061707,3.490909,[ 2 38] ; [2 6],[ 3.33333333 36.66666667] ; [0.66666667 7.33333333],0
p4,1,0.079331,3.078558,[12 28] ; [5 3],[14.16666667 25.83333333] ; [2.83333333 5.16666667],0
r4,1,0.083265,3.0,[ 5 35] ; [3 5],[ 6.66666667 33.33333333] ; [1.33333333 6.66666667],0
p11,1,0.121335,2.4,[18 22] ; [6 2],[20. 20.] ; [4. 4.],0
p9,1,0.155022,2.022129,[18 20] ; [6 2],[19.82608696 18.17391304] ; [4.17391304 3.82608696],0
v4,1,0.155221,2.020174,[19 21] ; [6 2],[20.83333333 19.16666667] ; [4.16666667 3.83333333],0
v1,1,0.155566,2.016807,[10 30] ; [4 4],[11.66666667 28.33333333] ; [2.33333333 5.66666667],0
d4,1,0.170904,1.875,[25 15] ; [7 1],[26.66666667 13.33333333] ; [5.33333333 2.66666667],0
a6,1,0.19043,1.714286,[15 25] ; [5 3],[16.66666667 23.33333333] ; [3.33333333 4.66666667],0
p7,1,0.210075,1.570909,[11 29] ; [4 4],[12.5 27.5] ; [2.5 5.5],0
v2,1,0.228339,1.451175,[11 28] ; [4 4],[12.44680851 26.55319149] ; [2.55319149 5.44680851],0
d5,1,0.241567,1.371429,[21 19] ; [6 2],[22.5 17.5] ; [4.5 3.5],0
s2,1,0.282344,1.155774,[ 8 32] ; [3 5],[ 9.16666667 30.83333333] ; [1.83333333 6.16666667],0
n1,1,0.294433,1.099239,[ 3 14] ; [2 3],[ 3.86363636 13.13636364] ; [1.13636364 3.86363636],0
d3,1,0.300015,1.074126,[17 23] ; [5 3],[18.33333333 21.66666667] ; [3.66666667 4.33333333],0
r3,1,0.329071,0.95255,[22 17] ; [6 2],[23.23404255 15.76595745] ; [4.76595745 3.23404255],0
n6,1,0.329071,0.95255,[22 17] ; [6 2],[23.23404255 15.76595745] ; [4.76595745 3.23404255],0
b4,1,0.344774,0.8926,[27 13] ; [4 4],[25.83333333 14.16666667] ; [5.16666667 2.83333333],0
n5,1,0.355502,0.853721,[23 17] ; [6 2],[24.16666667 15.83333333] ; [4.83333333 3.16666667],0
n4,1,0.355502,0.853721,[23 17] ; [6 2],[24.16666667 15.83333333] ; [4.83333333 3.16666667],0
s5,1,0.360475,0.836237,[ 5 35] ; [2 6],[ 5.83333333 34.16666667] ; [1.16666667 6.83333333],0
a4,1,0.371093,0.8,[11 29] ; [1 7],[10. 30.] ; [2. 6.],0
s3,1,0.394084,0.726305,[ 9 30] ; [3 5],[ 9.95744681 29.04255319] ; [2.04255319 5.95744681],0
a2,1,0.423711,0.64,[ 2 38] ; [1 7],[ 2.5 37.5] ; [0.5 7.5],0
b1,1,0.518242,0.417391,[20 20] ; [5 3],[20.83333333 19.16666667] ; [4.16666667 3.83333333],0
d1,1,0.569996,0.322689,[11 29] ; [3 5],[11.66666667 28.33333333] ; [2.33333333 5.66666667],0
a5,1,0.600471,0.274286,[16 24] ; [4 4],[16.66666667 23.33333333] ; [3.33333333 4.66666667],0
p2,1,0.604319,0.268531,[21 19] ; [5 3],[21.66666667 18.33333333] ; [4.33333333 3.66666667],0
n2,1,0.61093,0.258824,[9 8] ; [2 3],[8.5 8.5] ; [2.5 2.5],0
n3,1,0.61093,0.258824,[9 8] ; [2 3],[8.5 8.5] ; [2.5 2.5],0
p3,1,0.64428,0.213188,[ 7 32] ; [2 6],[ 7.46808511 31.53191489] ; [1.53191489 6.46808511],0
p6,1,0.674368,0.176535,[ 3 35] ; [1 7],[ 3.30434783 34.69565217] ; [0.69565217 7.30434783],0
r1,1,0.676103,0.174545,[12 28] ; [3 5],[12.5 27.5] ; [2.5 5.5],0
d2,1,0.776388,0.080672,[12 28] ; [2 6],[11.66666667 28.33333333] ; [2.33333333 5.66666667],0
b5,1,0.795558,0.067133,[22 18] ; [4 4],[21.66666667 18.33333333] ; [4.33333333 3.66666667],0
p1,1,0.832647,0.044651,[ 4 36] ; [1 7],[ 4.16666667 35.83333333] ; [0.83333333 7.16666667],0
u2,1,0.854632,0.033566,[ 9 11] ; [2 2],[ 9.16666667 10.83333333] ; [1.83333333 2.16666667],0
a7,1,0.89719,0.016696,[19 21] ; [4 4],[19.16666667 20.83333333] ; [3.83333333 4.16666667],0
b2,1,0.902787,0.014918,[ 8 18] ; [2 4],[ 8.125 17.875] ; [1.875 4.125],0
b3,1,0.902787,0.014918,[ 8 18] ; [2 4],[ 8.125 17.875] ; [1.875 4.125],0
a8,1,0.935709,0.006507,[ 5 33] ; [1 6],[ 5.06666667 32.93333333] ; [0.93333333 6.06666667],0
a3,1,0.947315,0.004366,[20 19] ; [4 4],[19.91489362 19.08510638] ; [4.08510638 3.91489362],0
