Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,19.890553,[97 15] ; [26 22],[86.1 25.9] ; [36.9 11.1],1
r2,1,0.000543,11.962691,[104   7] ; [34 12],[97.56687898 13.43312102] ; [40.43312102  5.56687898],1
n3,1,0.003099,8.748497,[34  7] ; [7 9],[29.49122807 11.50877193] ; [11.50877193  4.49122807],0
b1,1,0.010994,6.466301,[41 71] ; [28 20],[48.3 63.7] ; [20.7 27.3],0
a5,1,0.015831,5.821583,[72 40] ; [21 27],[65.1 46.9] ; [27.9 20.1],0
r3,1,0.020339,5.382537,[106   6] ; [40  8],[102.2   9.8] ; [43.8  4.2],0
p11,1,0.050666,3.819267,[70 42] ; [22 26],[64.4 47.6] ; [27.6 20.4],0
v4,1,0.054499,3.697354,[101   9] ; [39  9],[97.46835443 12.53164557] ; [42.53164557  5.46835443],0
v2,1,0.087244,2.9245,[54 49] ; [18 30],[49.11258278 53.88741722] ; [22.88741722 25.11258278],0
a1,1,0.109036,2.568138,[  3 109] ; [ 4 44],[  4.9 107.1] ; [ 2.1 45.9],0
u1,1,0.117601,2.44898,[17 95] ; [ 3 45],[14. 98.] ; [ 6. 42.],0
s6,1,0.128476,2.310821,[58 52] ; [19 29],[53.60759494 56.39240506] ; [23.39240506 24.60759494],0
a6,1,0.180844,1.790675,[71 41] ; [25 23],[67.2 44.8] ; [28.8 19.2],0
a4,1,0.182967,1.773357,[50 62] ; [16 32],[46.2 65.8] ; [19.8 28.2],0
s8,1,0.227369,1.457246,[36 75] ; [11 37],[32.81132075 78.18867925] ; [14.18867925 33.81132075],0
p2,1,0.247102,1.339613,[76 36] ; [28 20],[72.8 39.2] ; [31.2 16.8],0
p10,1,0.285795,1.139325,[64 46] ; [23 24],[60.95541401 49.04458599] ; [26.04458599 20.95541401],0
p3,1,0.297888,1.083624,[29 83] ; [16 31],[31.69811321 80.30188679] ; [13.30188679 33.69811321],0
n4,1,0.326477,0.96282,[49 63] ; [17 31],[46.2 65.8] ; [19.8 28.2],0
a2,1,0.333393,0.935673,[21 91] ; [ 6 42],[18.9 93.1] ; [ 8.1 39.9],0
s5,1,0.339368,0.912817,[24 80] ; [14 32],[26.34666667 77.65333333] ; [11.65333333 34.34666667],0
