Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5e-06,21.00781,[ 23 109] ; [37 42],[37.53554502 94.46445498] ; [22.46445498 56.53554502],1
p6,1,5e-06,20.694177,[ 10 122] ; [25 54],[ 21.8957346 110.1042654] ; [13.1042654 65.8957346],1
p2,1,1.7e-05,18.473395,[73 60] ; [67 13],[87.41784038 45.58215962] ; [52.58215962 27.41784038],1
p4,1,6.6e-05,15.922064,[ 22 111] ; [33 47],[34.342723 98.657277] ; [20.657277 59.342723],1
n3,1,0.000296,13.098699,[24 26] ; [25  3],[31.41025641 18.58974359] ; [17.58974359 10.41025641],1
v4,1,0.003376,8.592471,[99 33] ; [73  7],[107.09433962  24.90566038] ; [64.90566038 15.09433962],0
s2,1,0.003443,8.556603,[ 13 118] ; [20 60],[ 20.48815166 110.51184834] ; [12.51184834 67.48815166],0
r4,1,0.004447,8.091832,[82 51] ; [65 16],[91.35981308 41.64018692] ; [55.64018692 25.35981308],0
s3,1,0.006157,7.503913,[ 23 108] ; [27 52],[31.19047619 99.80952381] ; [18.80952381 60.19047619],0
r3,1,0.007867,7.063462,[101  30] ; [74  7],[108.13679245  22.86320755] ; [66.86320755 14.13679245],0
p11,1,0.016765,5.72085,[77 56] ; [60 21],[85.14485981 47.85514019] ; [51.85514019 29.14485981],0
n6,1,0.022044,5.242321,[81 51] ; [62 19],[88.61971831 43.38028169] ; [54.38028169 26.61971831],0
v1,1,0.048341,3.8981,[35 95] ; [32 48],[41.47619048 88.52380952] ; [25.52380952 54.47619048],0
d2,1,0.048994,3.875568,[53 78] ; [44 37],[59.93867925 71.06132075] ; [37.06132075 43.93867925],0
r1,1,0.06446,3.418749,[78 55] ; [57 23],[84.29577465 48.70422535] ; [50.70422535 29.29577465],0
v2,1,0.064725,3.41197,[46 81] ; [38 39],[52.29411765 74.70588235] ; [31.70588235 45.29411765],0
u1,1,0.073444,3.204326,[ 14 119] ; [ 3 78],[ 10.56542056 122.43457944] ; [ 6.43457944 74.56542056],0
b1,1,0.0754,3.161361,[59 74] ; [26 55],[52.8271028 80.1728972] ; [32.1728972 48.8271028],0
d1,1,0.103246,2.654674,[57 76] ; [44 37],[62.77102804 70.22897196] ; [38.22897196 42.77102804],0
p10,1,0.112188,2.523132,[69 61] ; [52 29],[74.54976303 55.45023697] ; [46.45023697 34.54976303],0
u3,1,0.145969,2.11388,[22 28] ; [ 7 19],[19.07894737 30.92105263] ; [ 9.92105263 16.07894737],0
a1,1,0.167297,1.906999,[  9 124] ; [ 2 79],[  6.8364486 126.1635514] ; [ 4.1635514 76.8364486],0
p9,1,0.195449,1.676057,[76 51] ; [55 25],[80.37198068 46.62801932] ; [50.62801932 29.37198068],0
r2,1,0.22005,1.504046,[107  23] ; [70  9],[110.09569378  19.90430622] ; [66.90430622 12.09569378],0
p1,1,0.229,1.447062,[  8 124] ; [ 2 79],[  6.1971831 125.8028169] ; [ 3.8028169 77.1971831],0
b2,1,0.244215,1.356099,[33 43] ; [14 29],[30.01680672 45.98319328] ; [16.98319328 26.01680672],0
b3,1,0.244215,1.356099,[33 43] ; [14 29],[30.01680672 45.98319328] ; [16.98319328 26.01680672],0
n2,1,0.299347,1.077102,[31 22] ; [19  8],[33.125 19.875] ; [16.875 10.125],0
s5,1,0.314107,1.013326,[  9 118] ; [ 9 72],[ 10.99038462 116.00961538] ; [ 7.00961538 73.99038462],0
a3,1,0.38468,0.755691,[83 49] ; [55 25],[85.9245283 46.0754717] ; [52.0754717 27.9245283],0
u2,1,0.412173,0.672525,[21 29] ; [13 12],[22.66666667 27.33333333] ; [11.33333333 13.66666667],0
a7,1,0.436705,0.604924,[83 49] ; [46 34],[80.32075472 51.67924528] ; [48.67924528 31.32075472],0
s8,1,0.449817,0.571113,[ 15 118] ; [12 69],[ 16.78037383 116.21962617] ; [10.21962617 70.78037383],0
a8,1,0.450646,0.569027,[ 11 117] ; [ 9 67],[ 12.54901961 115.45098039] ; [ 7.45098039 68.54901961],0
s4,1,0.454649,0.559035,[ 12 121] ; [ 5 76],[ 10.56542056 122.43457944] ; [ 6.43457944 74.56542056],0
n4,1,0.454785,0.558699,[84 49] ; [47 34],[81.41588785 51.58411215] ; [49.58411215 31.41588785],0
