Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,34.639831,[ 25 125] ; [84 93],[ 50. 100.] ; [ 59. 118.],1
r1,1,1.4e-05,18.853042,[96 58] ; [150  30],[113.4251497  40.5748503] ; [132.5748503  47.4251497],1
v1,1,3.1e-05,17.352946,[54 96] ; [103  71],[72.68518519 77.31481481] ; [84.31481481 89.68518519],1
r3,1,0.000182,14.013144,[138  16] ; [178   2],[145.7005988   8.2994012] ; [170.2994012   9.7005988],1
d5,1,0.00043,12.397443,[110  43] ; [158  23],[122.76646707  30.23353293] ; [145.23353293  35.76646707],1
d1,1,0.012584,6.226704,[74 81] ; [111  70],[85.3422619 69.6577381] ; [99.6577381 81.3422619],0
s6,1,0.016013,5.801422,[92 62] ; [130  50],[102.35928144  51.64071856] ; [119.64071856  60.35928144],0
a7,1,0.016268,5.773726,[98 56] ; [137  44],[108.02985075  45.97014925] ; [126.97014925  54.02985075],0
r4,1,0.021833,5.259008,[125  30] ; [162  19],[132.39583333  22.60416667] ; [154.60416667  26.39583333],0
a5,1,0.03477,4.456446,[102  53] ; [138  43],[110.71428571  44.28571429] ; [129.28571429  51.71428571],0
r2,1,0.036998,4.350498,[137  16] ; [170   8],[141.90634441  11.09365559] ; [165.09365559  12.90634441],0
b1,1,0.047203,3.938135,[65 90] ; [ 57 124],[56.2797619 98.7202381] ; [ 65.7202381 115.2797619],0
s8,1,0.05139,3.795528,[ 54 101] ; [82 99],[62.73809524 92.26190476] ; [ 73.26190476 107.73809524],0
d2,1,0.065375,3.395487,[64 89] ; [94 87],[72.37724551 80.62275449] ; [85.62275449 95.37724551],0
n6,1,0.074008,3.191821,[119  35] ; [152  27],[125.32732733  28.67267267] ; [145.67267267  33.32732733],0
s7,1,0.074289,3.185606,[64 87] ; [91 83],[72.01538462 78.98461538] ; [82.98461538 91.01538462],0
p6,1,0.075232,3.165015,[ 32 121] ; [ 53 127],[ 39.05405405 113.94594595] ; [ 45.94594595 134.05405405],0
p10,1,0.088626,2.899155,[127  27] ; [161  20],[132.39402985  21.60597015] ; [155.60597015  25.39402985],0
p7,1,0.090963,2.857244,[61 89] ; [89 89],[68.59756098 81.40243902] ; [81.40243902 96.59756098],0
u1,1,0.105636,2.618321,[ 25 130] ; [ 42 139],[ 30.9077381 124.0922619] ; [ 36.0922619 144.9077381],0
u2,1,0.106994,2.598064,[30 15] ; [23 23],[26.20879121 18.79120879] ; [26.79120879 19.20879121],0
n4,1,0.109372,2.563273,[107  47] ; [139  41],[113.4251497  40.5748503] ; [132.5748503  47.4251497],0
s1,1,0.125678,2.345098,[  7 146] ; [  3 175],[  4.6223565 148.3776435] ; [  5.3776435 172.6223565],0
b3,1,0.143882,2.135943,[38 49] ; [39 77],[33. 54.] ; [44. 72.],0
b2,1,0.143882,2.135943,[38 49] ; [39 77],[33. 54.] ; [44. 72.],0
d3,1,0.150508,2.067094,[98 54] ; [130  51],[104.07207207  47.92792793] ; [123.92792793  57.07207207],0
p1,1,0.190021,1.717457,[ 11 144] ; [  7 174],[  8.30357143 146.69642857] ; [  9.69642857 171.30357143],0
p12,1,0.190193,1.71612,[  6 149] ; [ 13 168],[  8.76488095 146.23511905] ; [ 10.23511905 170.76488095],0
d4,1,0.204131,1.612567,[121  33] ; [152  29],[125.49850746  28.50149254] ; [147.50149254  33.49850746],0
n1,1,0.209044,1.578033,[21 30] ; [13 32],[18.0625 32.9375] ; [15.9375 29.0625],0
s2,1,0.212221,1.556212,[76 79] ; [100  79],[81.67664671 73.32335329] ; [94.32335329 84.67664671],0
p11,1,0.220198,1.503077,[109  46] ; [138  43],[113.94345238  41.05654762] ; [133.05654762  47.94345238],0
v4,1,0.223965,1.478783,[141  14] ; [169  10],[143.86227545  11.13772455] ; [166.13772455  12.86227545],0
p3,1,0.255993,1.290296,[ 52 102] ; [ 72 109],[57.00298507 96.99701493] ; [ 66.99701493 114.00298507],0
n3,1,0.287901,1.129412,[36 15] ; [36  9],[38.25 12.75] ; [33.75 11.25],0
p2,1,0.344152,0.894905,[116  37] ; [145  36],[119.55988024  33.44011976] ; [141.44011976  39.55988024],0
n2,1,0.404182,0.69585,[39 12] ; [31 14],[37.1875 13.8125] ; [32.8125 12.1875],0
a4,1,0.431405,0.619039,[67 88] ; [86 95],[70.58035714 84.41964286] ; [82.41964286 98.58035714],0
a6,1,0.467923,0.526878,[105  49] ; [130  51],[108.02985075  45.97014925] ; [126.97014925  54.02985075],0
a3,1,0.506039,0.442248,[109  45] ; [134  47],[111.70746269  42.29253731] ; [131.29253731  49.70746269],0
