Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.8e-05,18.343422,[17  2] ; [37 65],[ 8.47933884 10.52066116] ; [45.52066116 56.47933884],1
p8,1,0.001488,10.093131,[11  8] ; [23 80],[ 5.29508197 13.70491803] ; [28.70491803 74.29508197],0
r4,1,0.018216,5.57522,[17  2] ; [64 40],[12.51219512  6.48780488] ; [68.48780488 35.51219512],0
b1,1,0.039933,4.220727,[14  5] ; [50 54],[9.88617886 9.11382114] ; [54.11382114 49.88617886],0
a5,1,0.093322,2.816111,[ 7 12] ; [60 44],[10.3495935  8.6504065] ; [56.6504065 47.3495935],0
s3,1,0.124136,2.364349,[ 9 10] ; [30 72],[ 6.12396694 12.87603306] ; [32.87603306 69.12396694],0
v3,1,0.125207,2.35094,[ 2 17] ; [27 73],[ 4.6302521 14.3697479] ; [24.3697479 75.6302521],0
b5,1,0.16051,1.969416,[13  6] ; [53 51],[10.19512195  8.80487805] ; [55.80487805 48.19512195],0
s6,1,0.182386,1.778073,[9 9] ; [35 69],[ 6.49180328 11.50819672] ; [37.50819672 66.49180328],0
p1,1,0.184002,1.765004,[ 3 16] ; [ 7 97],[ 1.54471545 17.45528455] ; [ 8.45528455 95.54471545],0
n2,1,0.184218,1.763265,[5 1] ; [23 19],[3.5 2.5] ; [24.5 17.5],0
p11,1,0.208923,1.578876,[11  8] ; [44 60],[ 8.49593496 10.50406504] ; [46.50406504 57.49593496],0
b4,1,0.215404,1.534733,[ 9 10] ; [65 39],[11.43089431  7.56910569] ; [62.56910569 41.43089431],0
d5,1,0.217348,1.521793,[10  9] ; [70 34],[12.35772358  6.64227642] ; [67.64227642 36.35772358],0
n3,1,0.219776,1.505834,[5 1] ; [24 18],[3.625 2.375] ; [25.375 16.625],0
p2,1,0.257557,1.281843,[12  7] ; [51 53],[9.73170732 9.26829268] ; [53.26829268 50.73170732],0
a2,1,0.275095,1.191164,[ 1 18] ; [15 89],[ 2.47154472 16.52845528] ; [13.52845528 90.47154472],0
a3,1,0.288052,1.128705,[ 8 11] ; [57 46],[10.12295082  8.87704918] ; [54.87704918 48.12295082],0
s2,1,0.290762,1.11609,[ 6 13] ; [21 81],[ 4.23966942 14.76033058] ; [22.76033058 79.23966942],0
p4,1,0.317401,0.999625,[ 9 10] ; [36 66],[ 7.0661157 11.9338843] ; [37.9338843 64.0661157],0
v1,1,0.329495,0.950881,[ 7 12] ; [27 77],[ 5.25203252 13.74796748] ; [28.74796748 75.25203252],0
s4,1,0.345637,0.889411,[ 1 17] ; [14 90],[ 2.21311475 15.78688525] ; [12.78688525 91.21311475],0
a6,1,0.361015,0.834361,[ 9 10] ; [61 43],[10.81300813  8.18699187] ; [59.18699187 44.81300813],0
p3,1,0.378248,0.776389,[ 7 12] ; [28 76],[ 5.40650407 13.59349593] ; [29.59349593 74.40650407],0
r2,1,0.433728,0.612819,[17  2] ; [83 18],[15.83333333  3.16666667] ; [84.16666667 16.83333333],0
u3,1,0.451737,0.56629,[4 7] ; [23 24],[5.12068966 5.87931034] ; [21.87931034 25.12068966],0
s8,1,0.454196,0.56016,[ 3 15] ; [11 93],[ 2.06557377 15.93442623] ; [11.93442623 92.06557377],0
a8,1,0.458752,0.548939,[ 2 16] ; [ 6 90],[ 1.26315789 16.73684211] ; [ 6.73684211 89.26315789],0
n5,1,0.471656,0.518093,[ 9 10] ; [58 45],[10.43442623  8.56557377] ; [56.56557377 46.43442623],0
d3,1,0.477726,0.504049,[11  8] ; [51 53],[9.57723577 9.42276423] ; [52.42276423 51.57723577],0
n4,1,0.485694,0.486052,[10  9] ; [63 40],[11.36885246  7.63114754] ; [61.63114754 41.36885246],0
v4,1,0.522372,0.409208,[16  3] ; [80 23],[14.95081967  4.04918033] ; [81.04918033 21.95081967],0
u1,1,0.541003,0.373684,[ 1 18] ; [10 94],[ 1.69918699 17.30081301] ; [ 9.30081301 94.69918699],0
b2,1,0.59164,0.287791,[4 7] ; [17 43],[3.25352113 7.74647887] ; [17.74647887 42.25352113],0
b3,1,0.59164,0.287791,[4 7] ; [17 43],[3.25352113 7.74647887] ; [17.74647887 42.25352113],0
n1,1,0.612697,0.256267,[1 4] ; [13 29],[1.4893617 3.5106383] ; [12.5106383 29.4893617],0
v2,1,0.613309,0.255385,[ 8 11] ; [36 64],[ 7.02521008 11.97478992] ; [36.97478992 63.02521008],0
d4,1,0.619967,0.245914,[12  7] ; [71 32],[12.92622951  6.07377049] ; [70.07377049 32.92622951],0
s5,1,0.697391,0.151201,[ 2 15] ; [16 88],[ 2.52892562 14.47107438] ; [15.47107438 88.52892562],0
d2,1,0.713103,0.135197,[10  9] ; [49 53],[9.26446281 9.73553719] ; [49.73553719 52.26446281],0
d1,1,0.713217,0.135084,[ 7 12] ; [43 61],[ 7.72357724 11.27642276] ; [42.27642276 61.72357724],0
u2,1,0.741675,0.10866,[5 6] ; [18 27],[4.51785714 6.48214286] ; [18.48214286 26.51785714],0
n6,1,0.75066,0.100977,[11  8] ; [63 39],[11.61983471  7.38016529] ; [62.38016529 39.61983471],0
a4,1,0.779839,0.078137,[ 5 13] ; [32 71],[ 5.50413223 12.49586777] ; [31.49586777 71.50413223],0
a7,1,0.783795,0.075283,[12  7] ; [61 41],[11.46280992  7.53719008] ; [61.53719008 40.46280992],0
r1,1,0.902844,0.014901,[13  6] ; [69 34],[12.7704918  6.2295082] ; [69.2295082 33.7704918],0
p10,1,0.933357,0.006993,[ 3 15] ; [18 85],[ 3.12396694 14.87603306] ; [17.87603306 85.12396694],0
s1,1,0.992573,8.7e-05,[ 1 16] ; [ 6 97],[ 0.99166667 16.00833333] ; [ 6.00833333 96.99166667],0
