Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001442,10.151363,[24 84] ; [16 15],[31.07913669 76.92086331] ; [ 8.92086331 22.07913669],0
s8,1,0.009467,6.732468,[29 83] ; [16 16],[35. 77.] ; [10. 22.],0
n2,1,0.022439,5.211448,[24 19] ; [11  1],[27.36363636 15.63636364] ; [7.63636364 4.36363636],0
r1,1,0.043352,4.081633,[58 54] ; [23  9],[63. 49.] ; [18. 14.],0
a3,1,0.043352,4.081633,[58 54] ; [23  9],[63. 49.] ; [18. 14.],0
n4,1,0.046011,3.981185,[74 38] ; [27  5],[78.55555556 33.44444444] ; [22.44444444  9.55555556],0
b5,1,0.053099,3.740812,[53 59] ; [ 9 23],[48.22222222 63.77777778] ; [13.77777778 18.22222222],0
n3,1,0.058034,3.592688,[21 21] ; [9 2],[23.77358491 18.22641509] ; [6.22641509 4.77358491],0
a5,1,0.093807,2.807805,[62 50] ; [23  9],[66.11111111 45.88888889] ; [18.88888889 13.11111111],0
d4,1,0.10879,2.571715,[66 45] ; [24  8],[69.86013986 41.13986014] ; [20.13986014 11.86013986],0
v4,1,0.118857,2.432315,[87 24] ; [29  3],[90.04195804 20.95804196] ; [25.95804196  6.04195804],0
p7,1,0.139985,2.178121,[55 56] ; [20 11],[58.62676056 52.37323944] ; [16.37323944 14.62676056],0
r4,1,0.194511,1.683117,[74 38] ; [25  7],[77. 35.] ; [22. 10.],0
d5,1,0.214193,1.542857,[67 45] ; [23  9],[70. 42.] ; [20. 12.],0
p6,1,0.218751,1.512549,[30 80] ; [12 19],[32.76595745 77.23404255] ; [ 9.23404255 21.76595745],0
p10,1,0.223469,1.481956,[63 48] ; [22 10],[65.97902098 45.02097902] ; [19.02097902 12.97902098],0
s7,1,0.226908,1.460136,[40 66] ; [15 15],[42.86764706 63.13235294] ; [12.13235294 17.86764706],0
a4,1,0.234748,1.411859,[44 67] ; [ 9 23],[41.13986014 69.86013986] ; [11.86013986 20.13986014],0
a8,1,0.245295,1.349904,[11 95] ; [ 1 28],[ 9.42222222 96.57777778] ; [ 2.57777778 26.42222222],0
s6,1,0.264542,1.244831,[52 56] ; [19 13],[54.77142857 53.22857143] ; [16.22857143 15.77142857],0
s3,1,0.269082,1.221419,[48 62] ; [17 14],[50.70921986 59.29078014] ; [14.29078014 16.70921986],0
p11,1,0.274626,1.193495,[78 34] ; [19 13],[75.44444444 36.55555556] ; [21.55555556 10.44444444],0
b3,1,0.290466,1.11746,[19 47] ; [ 9 13],[21. 45.] ; [ 7. 15.],0
b2,1,0.290466,1.11746,[19 47] ; [ 9 13],[21. 45.] ; [ 7. 15.],0
p3,1,0.293362,1.104128,[41 71] ; [15 17],[43.55555556 68.44444444] ; [12.44444444 19.55555556],0
s2,1,0.337188,0.921093,[35 76] ; [13 19],[37.25874126 73.74125874] ; [10.74125874 21.25874126],0
