Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,33.72942,[44 46] ; [120  22],[63.62068966 26.37931034] ; [100.37931034  41.62068966],1
p8,1,5.2e-05,16.38098,[40 49] ; [101  40],[54.56086957 34.43913043] ; [86.43913043 54.56086957],1
p5,1,0.000812,11.213809,[12 80] ; [46 96],[22.8034188 69.1965812] ; [ 35.1965812 106.8034188],1
p6,1,0.002521,9.125393,[34 56] ; [82 59],[45.19480519 44.80519481] ; [70.80519481 70.19480519],0
p9,1,0.002827,8.916006,[74 15] ; [134   7],[80.48695652  8.51304348] ; [127.51304348  13.48695652],0
p10,1,0.003506,8.523223,[74 17] ; [133   9],[80.84549356 10.15450644] ; [126.15450644  15.84549356],0
u1,1,0.011911,6.32408,[14 78] ; [ 42 100],[22.01709402 69.98290598] ; [ 33.98290598 108.01709402],0
a3,1,0.01408,6.028072,[67 25] ; [121  20],[74.23175966 17.76824034] ; [113.76824034  27.23175966],0
n5,1,0.022748,5.18766,[79 11] ; [136   6],[83.40517241  6.59482759] ; [131.59482759  10.40517241],0
p7,1,0.029032,4.765702,[60 28] ; [114  27],[66.86462882 21.13537118] ; [107.13537118  33.86462882],0
v2,1,0.031092,4.647867,[46 43] ; [93 48],[53.78695652 35.21304348] ; [85.21304348 55.78695652],0
p2,1,0.039565,4.236431,[76 16] ; [130  12],[80.99145299 11.00854701] ; [125.00854701  16.99145299],0
n6,1,0.043711,4.067698,[80 10] ; [136   6],[83.79310345  6.20689655] ; [132.20689655   9.79310345],0
s7,1,0.072917,3.216108,[58 34] ; [98 34],[64.07142857 27.92857143] ; [91.92857143 40.07142857],0
r4,1,0.091429,2.849033,[84  8] ; [137   5],[86.88888889  5.11111111] ; [134.11111111   7.88888889],0
p11,1,0.107371,2.5925,[70 22] ; [120  22],[74.7008547 17.2991453] ; [115.2991453  26.7008547],0
v1,1,0.114229,2.494713,[52 39] ; [95 46],[57.65948276 33.34051724] ; [89.34051724 51.65948276],0
r1,1,0.135066,2.233292,[76 15] ; [128  14],[79.67381974 11.32618026] ; [124.32618026  17.67381974],0
v3,1,0.139489,2.183588,[37 53] ; [72 69],[42.46753247 47.53246753] ; [66.53246753 74.46753247],0
d3,1,0.167859,1.90196,[61 31] ; [106  36],[65.65811966 26.34188034] ; [101.34188034  40.65811966],0
a6,1,0.177369,1.819534,[54 38] ; [95 46],[58.83261803 33.16738197] ; [90.16738197 50.83261803],0
u3,1,0.178663,1.808707,[13 12] ; [15  6],[15.2173913  9.7826087] ; [12.7826087  8.2173913],0
d1,1,0.199513,1.645933,[56 36] ; [98 44],[60.54700855 31.45299145] ; [93.45299145 48.54700855],0
a8,1,0.212108,1.55698,[16 64] ; [ 18 115],[12.76995305 67.23004695] ; [ 21.23004695 111.76995305],0
a5,1,0.244517,1.354364,[73 19] ; [121  21],[76.27350427 15.72649573] ; [117.72649573  24.27350427],0
n1,1,0.258014,1.279381,[11 13] ; [12  7],[12.8372093 11.1627907] ; [10.1627907  8.8372093],0
d4,1,0.261613,1.260203,[76 15] ; [125  16],[78.84051724 12.15948276] ; [122.15948276  18.84051724],0
d5,1,0.328274,0.955695,[76 16] ; [123  18],[78.5751073 13.4248927] ; [120.4248927  20.5751073],0
r3,1,0.382186,0.763658,[83  7] ; [134   7],[84.54545455  5.45454545] ; [132.45454545   8.54545455],0
s6,1,0.387881,0.745575,[80 10] ; [118  21],[77.81659389 12.18340611] ; [120.18340611  18.81659389],0
a1,1,0.395958,0.720567,[ 4 88] ; [ 10 132],[ 5.5042735 86.4957265] ; [  8.4957265 133.5042735],0
s4,1,0.441648,0.591997,[22 68] ; [ 28 111],[19.65065502 70.34934498] ; [ 30.34934498 108.65065502],0
b5,1,0.44373,0.586619,[52 40] ; [73 69],[49.14529915 42.85470085] ; [75.85470085 66.14529915],0
s1,1,0.471449,0.518579,[ 5 85] ; [  5 135],[ 3.91304348 86.08695652] ; [  6.08695652 133.91304348],0
a2,1,0.488088,0.480739,[24 68] ; [43 99],[26.34188034 65.65811966] ; [ 40.65811966 101.34188034],0
p1,1,0.491277,0.473728,[10 81] ; [ 20 122],[11.7167382 79.2832618] ; [ 18.2832618 123.7167382],0
u2,1,0.536572,0.38193,[11 12] ; [12  9],[12.02272727 10.97727273] ; [10.97727273 10.02272727],0
s3,1,0.537935,0.379381,[62 25] ; [95 46],[59.90789474 27.09210526] ; [97.09210526 43.90789474],0
n3,1,0.620474,0.245201,[20  5] ; [14  5],[19.31818182  5.68181818] ; [14.68181818  4.31818182],0
b4,1,0.625506,0.238204,[58 34] ; [85 57],[56.22222222 35.77777778] ; [86.77777778 55.22222222],0
