Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000481,12.1875,[51  9] ; [1 4],[48. 12.] ; [4. 1.],1
p5,1,0.001046,10.744536,[ 2 58] ; [2 3],[ 3.69230769 56.30769231] ; [0.30769231 4.69230769],0
a6,1,0.013045,6.162963,[44 16] ; [1 4],[41.53846154 18.46153846] ; [3.46153846 1.53846154],0
r1,1,0.019945,5.416667,[50 10] ; [2 3],[48. 12.] ; [4. 1.],0
p2,1,0.019945,5.416667,[50 10] ; [2 3],[48. 12.] ; [4. 1.],0
a5,1,0.046906,3.94875,[39 21] ; [1 4],[36.92307692 23.07692308] ; [3.07692308 1.92307692],0
s6,1,0.057395,3.611111,[38 22] ; [1 4],[36. 24.] ; [3. 2.],0
p4,1,0.057395,3.611111,[38 22] ; [1 4],[36. 24.] ; [3. 2.],0
s1,1,0.091578,2.84642,[ 2 57] ; [1 4],[ 2.765625 56.234375] ; [0.234375 4.765625],0
v2,1,0.129301,2.300881,[31 25] ; [1 4],[29.37704918 26.62295082] ; [2.62295082 2.37704918],0
p3,1,0.173583,1.85172,[31 29] ; [1 4],[29.53846154 30.46153846] ; [2.46153846 2.53846154],0
b4,1,0.173583,1.85172,[29 31] ; [4 1],[30.46153846 29.53846154] ; [2.53846154 2.46153846],0
n4,1,0.27809,1.1764,[27 33] ; [1 4],[25.84615385 34.15384615] ; [2.15384615 2.84615385],0
d5,1,0.349881,0.873889,[47 13] ; [3 2],[46.15384615 13.84615385] ; [3.84615385 1.15384615],0
p1,1,0.386551,0.749765,[ 5 55] ; [1 4],[ 5.53846154 54.46153846] ; [0.46153846 4.53846154],0
v4,1,0.395924,0.72067,[54  5] ; [4 1],[53.46875  5.53125] ; [4.53125 0.46875],0
s2,1,0.399876,0.708701,[23 36] ; [1 4],[22.125 36.875] ; [1.875 3.125],0
b2,1,0.430972,0.620203,[ 8 26] ; [2 3],[ 8.71794872 25.28205128] ; [1.28205128 3.71794872],0
b3,1,0.430972,0.620203,[ 8 26] ; [2 3],[ 8.71794872 25.28205128] ; [1.28205128 3.71794872],0
v1,1,0.465666,0.532241,[25 33] ; [3 2],[25.77777778 32.22222222] ; [2.22222222 2.77777778],0
b5,1,0.495856,0.463795,[39 21] ; [4 1],[39.69230769 20.30769231] ; [3.30769231 1.69230769],0
d3,1,0.495856,0.463795,[39 21] ; [4 1],[39.69230769 20.30769231] ; [3.30769231 1.69230769],0
s7,1,0.497661,0.459921,[19 38] ; [2 2],[19.62295082 37.37704918] ; [1.37704918 2.62295082],0
p11,1,0.522086,0.409771,[44 16] ; [3 2],[43.38461538 16.61538462] ; [3.61538462 1.38461538],0
d2,1,0.540194,0.37518,[20 40] ; [1 4],[19.38461538 40.61538462] ; [1.61538462 3.38461538],0
v3,1,0.540849,0.373968,[19 38] ; [1 4],[18.38709677 38.61290323] ; [1.61290323 3.38709677],0
d4,1,0.581584,0.30368,[43 17] ; [3 2],[42.46153846 17.53846154] ; [3.53846154 1.46153846],0
a7,1,0.587093,0.294907,[41 19] ; [4 1],[41.53846154 18.46153846] ; [3.46153846 1.53846154],0
b1,1,0.616132,0.251342,[31 29] ; [2 3],[30.46153846 29.53846154] ; [2.53846154 2.46153846],0
a2,1,0.678378,0.171958,[ 8 52] ; [1 4],[ 8.30769231 51.69230769] ; [0.69230769 4.30769231],0
a4,1,0.689095,0.160067,[17 43] ; [1 4],[16.61538462 43.38461538] ; [1.38461538 3.61538462],0
s3,1,0.694178,0.1546,[29 30] ; [2 3],[28.578125 30.421875] ; [2.421875 2.578125],0
p7,1,0.704737,0.143591,[45 14] ; [2 1],[44.72580645 14.27419355] ; [2.27419355 0.72580645],0
n3,1,0.715388,0.132955,[7 4] ; [1 1],[6.76923077 4.23076923] ; [1.23076923 0.76923077],0
s4,1,0.765918,0.088636,[ 9 51] ; [1 4],[ 9.23076923 50.76923077] ; [0.76923077 4.23076923],0
d1,1,0.773885,0.08254,[28 32] ; [2 3],[27.69230769 32.30769231] ; [2.30769231 2.69230769],0
a3,1,0.828917,0.046695,[33 27] ; [3 2],[33.23076923 26.76923077] ; [2.76923077 2.23076923],0
p6,1,0.865771,0.028572,[21 37] ; [2 3],[21.17460317 36.82539683] ; [1.82539683 3.17460317],0
s8,1,0.94133,0.005417,[23 37] ; [2 3],[23.07692308 36.92307692] ; [1.92307692 3.07692308],0
n5,1,1.0,0.0,[24 36] ; [2 3],[24. 36.] ; [2. 3.],0
