Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,33.377007,[167 107] ; [34 83],[140.85421995 133.14578005] ; [60.14578005 56.85421995],1
r3,1,0.000496,12.129549,[276   5] ; [108  11],[269.76  11.24] ; [114.24   4.76],1
b1,1,0.007052,7.259609,[ 97 185] ; [58 61],[109.00249377 172.99750623] ; [45.99750623 73.00249377],0
d1,1,0.026273,4.937974,[211  71] ; [76 43],[201.83042394  80.16957606] ; [85.16957606 33.83042394],0
p11,1,0.030106,4.703233,[235  47] ; [88 31],[227.14713217  54.85286783] ; [95.85286783 23.14713217],0
s4,1,0.033266,4.532024,[ 36 243] ; [25 92],[ 42.97727273 236.02272727] ; [18.02272727 98.97727273],0
s7,1,0.061359,3.500266,[152 115] ; [52 60],[143.71503958 123.28496042] ; [60.28496042 51.71503958],0
d5,1,0.083864,2.988372,[256  26] ; [101  18],[251.05735661  30.94264339] ; [105.94264339  13.05735661],0
a5,1,0.084442,2.977266,[228  54] ; [87 32],[221.52119701  60.47880299] ; [93.47880299 25.52119701],0
r4,1,0.098796,2.724878,[261  21] ; [104  15],[256.68329177  25.31670823] ; [108.31670823  10.68329177],0
a6,1,0.1047,2.632449,[198  83] ; [74 45],[191.08  89.92] ; [80.92 38.08],0
d3,1,0.117674,2.448015,[224  58] ; [86 33],[218.00498753  63.99501247] ; [91.99501247 27.00498753],0
a3,1,0.134524,2.239508,[224  57] ; [86 32],[218.32080201  62.67919799] ; [91.67919799 26.32080201],0
d2,1,0.149976,2.07249,[159 122] ; [58 61],[152.4425 128.5575] ; [64.5575 54.4425],0
n6,1,0.17383,1.849597,[243  35] ; [97 21],[238.68686869  39.31313131] ; [101.31313131  16.68686869],0
n3,1,0.227532,1.456225,[32 15] ; [14 12],[29.61643836 17.38356164] ; [16.38356164  9.61643836],0
p3,1,0.235583,1.406832,[164 114] ; [62 56],[158.65656566 119.34343434] ; [67.34343434 50.65656566],0
s8,1,0.240973,1.374892,[148 131] ; [55 63],[142.66246851 136.33753149] ; [60.33753149 57.66246851],0
p2,1,0.251365,1.315703,[248  31] ; [100  18],[244.56423174  34.43576826] ; [103.43576826  14.56423174],0
a2,1,0.255264,1.294261,[ 82 200] ; [28 91],[ 77.35660848 204.64339152] ; [32.64339152 86.35660848],0
u1,1,0.263404,1.250778,[ 69 213] ; [23 96],[ 64.69825436 217.30174564] ; [27.30174564 91.69825436],0
a4,1,0.275132,1.190979,[149 132] ; [56 63],[144.0125 136.9875] ; [60.9875 58.0125],0
u4,1,0.316549,1.003151,[ 10 272] ; [  2 117],[  8.43890274 273.56109726] ; [  3.56109726 115.43890274],0
s5,1,0.332127,0.940588,[111 162] ; [52 61],[115.28238342 157.71761658] ; [47.71761658 65.28238342],0
a8,1,0.333296,0.936048,[ 41 206] ; [14 97],[ 37.94692737 209.05307263] ; [17.05307263 93.94692737],0
n4,1,0.336628,0.92323,[229  52] ; [92 27],[225.5025  55.4975] ; [95.4975 23.5025],0
