Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,8e-06,20.00124,[76 45] ; [257  53],[93.48723898 27.51276102] ; [239.51276102  70.48723898],1
p4,1,1.4e-05,18.92561,[34 89] ; [158 154],[54.28965517 68.71034483] ; [137.71034483 174.28965517],1
p7,1,2.1e-05,18.106864,[32 89] ; [151 157],[51.61538462 69.38461538] ; [131.38461538 176.61538462],1
p10,1,9.5e-05,15.227027,[72 50] ; [240  69],[88.31554524 33.68445476] ; [223.68445476  85.31554524],1
a6,1,0.000722,11.433024,[69 55] ; [226  86],[83.89908257 40.10091743] ; [211.10091743 100.89908257],1
v4,1,0.001169,10.538595,[109  16] ; [296  13],[116.64746544   8.35253456] ; [288.35253456  20.64746544],0
p6,1,0.003924,8.318689,[ 17 106] ; [ 83 227],[28.40646651 94.59353349] ; [ 71.59353349 238.40646651],0
b1,1,0.00485,7.934647,[61 64] ; [107 205],[48.05491991 76.94508009] ; [119.94508009 192.05491991],0
a7,1,0.012995,6.169809,[77 48] ; [229  82],[87.7293578 37.2706422] ; [218.2706422  92.7293578],0
d3,1,0.013524,6.099187,[71 53] ; [216  94],[82. 42.] ; [205. 105.],0
p11,1,0.019075,5.494663,[78 47] ; [230  82],[88.1006865 36.8993135] ; [219.8993135  92.1006865],0
p3,1,0.022678,5.192996,[33 91] ; [119 193],[43.2293578 80.7706422] ; [108.7706422 203.2293578],0
d5,1,0.028676,4.786949,[90 34] ; [255  56],[98.34482759 25.65517241] ; [246.65517241  64.34482759],0
u4,1,0.03226,4.584651,[  5 120] ; [  3 309],[  2.28832952 122.71167048] ; [  5.71167048 306.28832952],0
a1,1,0.040229,4.208221,[  9 116] ; [  9 303],[  5.14874142 119.85125858] ; [ 12.85125858 299.14874142],0
n4,1,0.047464,3.92886,[80 45] ; [228  82],[88.50574713 36.49425287] ; [219.49425287  90.50574713],0
s4,1,0.060946,3.511458,[27 96] ; [ 45 265],[ 20.45265589 102.54734411] ; [ 51.54734411 258.45265589],0
s1,1,0.065263,3.398312,[  9 114] ; [ 10 296],[  5.44755245 117.55244755] ; [ 13.55244755 292.44755245],0
n6,1,0.076651,3.13452,[93 32] ; [254  56],[99.71264368 25.28735632] ; [247.28735632  62.71264368],0
v1,1,0.113401,2.506168,[49 72] ; [147 153],[56.33254157 64.66745843] ; [139.66745843 160.33254157],0
n5,1,0.121222,2.401465,[75 49] ; [211  98],[81.90300231 42.09699769] ; [204.09699769 104.90300231],0
a5,1,0.169035,1.891481,[78 47] ; [216  96],[84.09610984 40.90389016] ; [209.90389016 102.09610984],0
r2,1,0.186861,1.742198,[112  11] ; [293  17],[115.04618938   7.95381062] ; [289.95381062  20.04618938],0
a2,1,0.188878,1.72635,[ 25 100] ; [ 81 231],[30.32036613 94.67963387] ; [ 75.67963387 236.32036613],0
p1,1,0.192656,1.697185,[  9 116] ; [ 13 298],[  6.30733945 118.69266055] ; [ 15.69266055 295.30733945],0
n1,1,0.214492,1.540844,[20 28] ; [27 60],[16.71111111 31.28888889] ; [30.28888889 56.71111111],0
d2,1,0.242468,1.366189,[65 58] ; [145 166],[59.51612903 63.48387097] ; [150.48387097 160.51612903],0
r1,1,0.247883,1.335195,[91 34] ; [241  68],[95.62211982 29.37788018] ; [236.37788018  72.62211982],0
v2,1,0.257755,1.280774,[57 60] ; [163 134],[62.17391304 54.82608696] ; [157.82608696 139.17391304],0
s6,1,0.272628,1.203475,[72 51] ; [199 111],[76.98152425 46.01847575] ; [194.01847575 115.98152425],0
r4,1,0.316784,1.002176,[108  17] ; [280  32],[110.98398169  14.01601831] ; [277.01601831  34.98398169],0
s3,1,0.338471,0.916214,[64 60] ; [174 133],[68.47331787 55.52668213] ; [169.52668213 137.47331787],0
s2,1,0.346462,0.886374,[57 67] ; [157 151],[61.42592593 62.57407407] ; [152.57407407 155.42592593],0
p5,1,0.414047,0.667149,[  4 117] ; [ 16 295],[  5.60185185 115.39814815] ; [ 14.39814815 296.60185185],0
a3,1,0.426469,0.632421,[84 41] ; [221  90],[87.44266055 37.55733945] ; [217.55733945  93.44266055],0
a8,1,0.435336,0.608546,[ 13 108] ; [ 38 242],[ 15.38902743 105.61097257] ; [ 35.61097257 244.38902743],0
u2,1,0.469072,0.524161,[25 15] ; [49 39],[23.125 16.875] ; [50.875 37.125],0
u1,1,0.505595,0.443174,[ 21 104] ; [ 61 251],[ 23.45537757 101.54462243] ; [ 58.54462243 253.45537757],0
n3,1,0.602703,0.270938,[34 13] ; [68 21],[35.25 11.75] ; [66.75 22.25],0
u3,1,0.623473,0.241017,[26 15] ; [53 37],[24.72519084 16.27480916] ; [54.27480916 35.72519084],0
s5,1,0.639685,0.219155,[30 85] ; [ 86 217],[31.9138756 83.0861244] ; [ 84.0861244 218.9138756],0
s8,1,0.718605,0.129833,[48 76] ; [115 197],[46.35779817 77.64220183] ; [116.64220183 195.35779817],0
p12,1,0.723935,0.124754,[  7 117] ; [ 15 296],[  6.27126437 117.72873563] ; [ 15.72873563 295.27126437],0
b2,1,0.728281,0.120696,[29 52] ; [ 70 114],[30.26037736 50.73962264] ; [ 68.73962264 115.26037736],0
b3,1,0.728281,0.120696,[29 52] ; [ 70 114],[30.26037736 50.73962264] ; [ 68.73962264 115.26037736],0
d1,1,0.795669,0.067058,[66 59] ; [169 143],[67.21967963 57.78032037] ; [167.78032037 144.21967963],0
v3,1,0.804348,0.061367,[39 74] ; [100 201],[37.93961353 75.06038647] ; [101.06038647 199.93961353],0
n2,1,0.815278,0.054579,[36 14] ; [61 26],[35.40145985 14.59854015] ; [61.59854015 25.40145985],0
b5,1,0.815965,0.054167,[82 43] ; [201 111],[80.94965675 44.05034325] ; [202.05034325 109.94965675],0
d4,1,0.836573,0.042551,[99 25] ; [251  60],[99.77011494 24.22988506] ; [250.22988506  60.77011494],0
s7,1,0.842,0.039735,[50 67] ; [131 168],[50.90625 66.09375] ; [130.09375 168.90625],0
a4,1,0.870564,0.02655,[56 69] ; [142 169],[56.76605505 68.23394495] ; [141.23394495 169.76605505],0
b4,1,0.911262,0.01242,[75 50] ; [189 123],[75.51487414 49.48512586] ; [188.48512586 123.51487414],0
