Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.03908,4.257391,[2 3] ; [ 4 42],[0.58823529 4.41176471] ; [ 5.41176471 40.58823529],0
a4,1,0.085933,2.948959,[3 2] ; [11 35],[1.37254902 3.62745098] ; [12.62745098 33.37254902],0
a2,1,0.115463,2.477806,[2 3] ; [ 6 40],[0.78431373 4.21568627] ; [ 7.21568627 38.78431373],0
v3,1,0.154112,2.031071,[3 2] ; [12 30],[1.59574468 3.40425532] ; [13.40425532 28.59574468],0
v2,1,0.156337,2.009302,[4 1] ; [20 23],[2.5 2.5] ; [21.5 21.5],0
r3,1,0.157751,1.995652,[4 1] ; [44  2],[4.70588235 0.29411765] ; [43.29411765  2.70588235],0
s3,1,0.168796,1.893604,[2 3] ; [31 13],[3.36734694 1.63265306] ; [29.63265306 14.36734694],0
b4,1,0.271365,1.209834,[4 1] ; [25 21],[2.84313725 2.15686275] ; [26.15686275 19.84313725],0
d1,1,0.311021,1.026335,[4 1] ; [26 20],[2.94117647 2.05882353] ; [27.05882353 18.94117647],0
a3,1,0.354102,0.858703,[4 1] ; [27 19],[3.03921569 1.96078431] ; [27.96078431 18.03921569],0
d2,1,0.422761,0.642626,[3 2] ; [19 27],[2.15686275 2.84313725] ; [19.84313725 26.15686275],0
b5,1,0.45114,0.567787,[4 1] ; [29 17],[3.23529412 1.76470588] ; [29.76470588 16.23529412],0
p6,1,0.505448,0.443478,[1 4] ; [16 30],[1.66666667 3.33333333] ; [15.33333333 30.66666667],0
p3,1,0.541566,0.372645,[3 2] ; [21 25],[2.35294118 2.64705882] ; [21.64705882 24.35294118],0
a6,1,0.584292,0.299348,[3 2] ; [33 13],[3.52941176 1.47058824] ; [32.47058824 13.52941176],0
p8,1,0.605046,0.267452,[3 2] ; [22 24],[2.45098039 2.54901961] ; [22.54901961 23.45098039],0
p7,1,0.649126,0.207004,[3 1] ; [28 16],[2.58333333 1.41666667] ; [28.41666667 15.58333333],0
n3,1,0.69627,0.152381,[1 1] ; [9 5],[1.25 0.75] ; [8.75 5.25],0
n4,1,0.739156,0.11087,[2 3] ; [22 24],[2.35294118 2.64705882] ; [21.64705882 24.35294118],0
s4,1,0.766764,0.087977,[1 4] ; [12 34],[1.2745098 3.7254902] ; [11.7254902 34.2745098],0
b2,1,0.76966,0.085744,[2 3] ; [11 22],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
b3,1,0.76966,0.085744,[2 3] ; [11 22],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
r4,1,0.780033,0.077995,[4 1] ; [39  7],[4.21568627 0.78431373] ; [38.78431373  7.21568627],0
n5,1,0.809381,0.058189,[2 3] ; [21 25],[2.25490196 2.74509804] ; [20.74509804 25.25490196],0
n1,1,0.825498,0.048611,[1 1] ; [5 7],[0.85714286 1.14285714] ; [5.14285714 6.85714286],0
p11,1,0.844686,0.038378,[4 1] ; [35 11],[3.82352941 1.17647059] ; [35.17647059 10.82352941],0
p4,1,0.881441,0.022243,[3 2] ; [26 20],[2.84313725 2.15686275] ; [26.15686275 19.84313725],0
p2,1,0.884458,0.021118,[4 1] ; [38  8],[4.11764706 0.88235294] ; [37.88235294  8.11764706],0
v1,1,0.891634,0.018561,[3 2] ; [25 19],[2.85714286 2.14285714] ; [25.14285714 18.85714286],0
s6,1,0.902343,0.015056,[4 1] ; [37  8],[4.1 0.9] ; [36.9  8.1],0
s5,1,0.9029,0.014884,[2 3] ; [16 27],[1.875 3.125] ; [16.125 26.875],0
s7,1,0.936343,0.006379,[3 2] ; [25 18],[2.91666667 2.08333333] ; [25.08333333 17.91666667],0
b1,1,0.955117,0.003168,[3 2] ; [27 19],[2.94117647 2.05882353] ; [27.05882353 18.94117647],0
