Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000227,13.594406,[10  2] ; [ 1 11],[5.5 6.5] ; [5.5 6.5],1
a3,1,0.006745,7.339627,[8 3] ; [ 2 10],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
a4,1,0.02474,5.042017,[6 6] ; [ 1 11],[3.5 8.5] ; [3.5 8.5],0
b4,1,0.040524,4.195804,[8 4] ; [3 9],[5.5 6.5] ; [5.5 6.5],0
p10,1,0.048734,3.8845,[7 5] ; [2 9],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
p9,1,0.058856,3.56933,[8 4] ; [3 8],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
d3,1,0.059346,3.555556,[5 7] ; [ 1 11],[3. 9.] ; [3. 9.],0
v1,1,0.083265,3.0,[6 6] ; [ 2 10],[4. 8.] ; [4. 8.],0
p2,1,0.09769,2.742857,[7 5] ; [3 9],[5. 7.] ; [5. 7.],0
s4,1,0.131587,2.273684,[ 1 11] ; [4 8],[2.5 9.5] ; [2.5 9.5],0
r3,1,0.146976,2.103355,[6 5] ; [3 9],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
v2,1,0.159128,1.982492,[4 8] ; [ 1 10],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
p6,1,0.159128,1.982492,[4 8] ; [ 1 10],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
p1,1,0.273322,1.2,[3 9] ; [ 1 11],[ 2. 10.] ; [ 2. 10.],0
n5,1,0.273322,1.2,[9 3] ; [11  1],[10.  2.] ; [10.  2.],0
v3,1,0.273322,1.2,[3 9] ; [ 1 11],[ 2. 10.] ; [ 2. 10.],0
r1,1,0.345779,0.888889,[4 8] ; [ 2 10],[3. 9.] ; [3. 9.],0
d2,1,0.345779,0.888889,[4 8] ; [ 2 10],[3. 9.] ; [3. 9.],0
p7,1,0.386476,0.75,[5 7] ; [3 9],[4. 8.] ; [4. 8.],0
p4,1,0.386476,0.75,[5 7] ; [3 9],[4. 8.] ; [4. 8.],0
b1,1,0.407626,0.685714,[8 4] ; [6 6],[7. 5.] ; [7. 5.],0
r2,1,0.414216,0.666667,[7 5] ; [5 7],[6. 6.] ; [6. 6.],0
n3,1,0.428537,0.626786,[3 2] ; [3 5],[2.30769231 2.69230769] ; [3.69230769 4.30769231],0
u2,1,0.468717,0.525,[1 3] ; [1 9],[0.57142857 3.42857143] ; [1.42857143 8.57142857],0
a8,1,0.537094,0.380952,[ 2 10] ; [ 1 11],[ 1.5 10.5] ; [ 1.5 10.5],0
p8,1,0.537892,0.379461,[3 8] ; [ 2 10],[2.39130435 8.60869565] ; [2.60869565 9.39130435],0
a1,1,0.615228,0.252632,[3 9] ; [ 2 10],[2.5 9.5] ; [2.5 9.5],0
s3,1,0.653368,0.201681,[4 8] ; [3 9],[3.5 8.5] ; [3.5 8.5],0
p11,1,0.653368,0.201681,[4 8] ; [3 9],[3.5 8.5] ; [3.5 8.5],0
n4,1,0.653368,0.201681,[8 4] ; [9 3],[8.5 3.5] ; [8.5 3.5],0
n6,1,0.682046,0.167832,[6 6] ; [5 7],[5.5 6.5] ; [5.5 6.5],0
b5,1,0.682046,0.167832,[5 7] ; [6 6],[5.5 6.5] ; [5.5 6.5],0
n1,1,0.724939,0.12381,[3 2] ; [4 4],[2.69230769 2.30769231] ; [4.30769231 3.69230769],0
s6,1,0.901321,0.015374,[3 8] ; [3 9],[2.86956522 8.13043478] ; [3.13043478 8.86956522],0
s7,1,0.923708,0.009171,[2 9] ; [ 2 10],[1.91304348 9.08695652] ; [2.08695652 9.91304348],0
n2,1,0.928177,0.008125,[2 3] ; [3 5],[1.92307692 3.07692308] ; [3.07692308 4.92307692],0
s2,1,1.0,0.0,[3 9] ; [3 9],[3. 9.] ; [3. 9.],0
s8,1,1.0,0.0,[ 2 10] ; [ 2 10],[ 2. 10.] ; [ 2. 10.],0
s1,1,1.0,0.0,[ 2 10] ; [ 2 10],[ 2. 10.] ; [ 2. 10.],0
p3,1,1.0,0.0,[3 9] ; [3 9],[3. 9.] ; [3. 9.],0
b2,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
a6,1,1.0,0.0,[5 7] ; [5 7],[5. 7.] ; [5. 7.],0
b3,1,1.0,0.0,[2 4] ; [3 6],[2. 4.] ; [3. 6.],0
