Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.03359,4.515444,[37  9] ; [55 33],[31.58208955 14.41791045] ; [60.41791045 27.58208955],0
v2,1,0.041819,4.142531,[28 18] ; [35 48],[22.46511628 23.53488372] ; [40.53488372 42.46511628],0
p1,1,0.068993,3.306814,[ 6 39] ; [ 4 84],[ 3.38345865 41.61654135] ; [ 6.61654135 81.38345865],0
s1,1,0.083515,2.995144,[ 5 41] ; [ 3 85],[ 2.74626866 43.25373134] ; [ 5.25373134 82.74626866],0
n2,1,0.087227,2.924817,[9 1] ; [17 11],[6.84210526 3.15789474] ; [19.15789474  8.84210526],0
b3,1,0.12734,2.324631,[10 18] ; [10 40],[ 7.17948718 20.82051282] ; [12.82051282 37.17948718],0
b2,1,0.12734,2.324631,[10 18] ; [10 40],[ 7.17948718 20.82051282] ; [12.82051282 37.17948718],0
d1,1,0.179571,1.801174,[20 26] ; [49 39],[23.68656716 22.31343284] ; [45.31343284 42.68656716],0
p5,1,0.179932,1.79819,[ 1 45] ; [ 7 81],[ 2.74626866 43.25373134] ; [ 5.25373134 82.74626866],0
a4,1,0.18135,1.786523,[20 26] ; [28 60],[16.47761194 29.52238806] ; [31.52238806 56.47761194],0
b5,1,0.188734,1.727475,[32 14] ; [51 37],[28.49253731 17.50746269] ; [54.50746269 33.49253731],0
d2,1,0.189272,1.723275,[16 30] ; [41 47],[19.56716418 26.43283582] ; [37.43283582 50.56716418],0
v3,1,0.215764,1.532323,[15 30] ; [20 66],[12.02290076 32.97709924] ; [22.97709924 63.02290076],0
n1,1,0.271174,1.210797,[3 7] ; [ 4 24],[1.84210526 8.15789474] ; [ 5.15789474 22.84210526],0
r1,1,0.271596,1.208671,[36 10] ; [61 27],[33.29850746 12.70149254] ; [63.70149254 24.29850746],0
p3,1,0.279309,1.170449,[27 19] ; [43 45],[24.02985075 21.97014925] ; [45.97014925 42.02985075],0
a5,1,0.281853,1.158132,[34 12] ; [57 31],[31.23880597 14.76119403] ; [59.76119403 28.23880597],0
p6,1,0.316935,1.001553,[19 23] ; [31 55],[16.40625 25.59375] ; [33.59375 52.40625],0
s2,1,0.346617,0.885806,[16 30] ; [38 50],[18.53731343 27.46268657] ; [35.46268657 52.53731343],0
u1,1,0.397648,0.715427,[ 7 39] ; [ 9 79],[ 5.49253731 40.50746269] ; [10.50746269 77.49253731],0
r2,1,0.437137,0.603786,[38  6] ; [79  8],[39.29770992  4.70229008] ; [77.70229008  9.29770992],0
r4,1,0.440899,0.593941,[38  8] ; [77 11],[39.47761194  6.52238806] ; [75.52238806 12.47761194],0
s5,1,0.47612,0.507737,[14 30] ; [22 63],[12.27906977 31.72093023] ; [23.72093023 61.27906977],0
p11,1,0.488663,0.479469,[35 11] ; [62 26],[33.29850746 12.70149254] ; [63.70149254 24.29850746],0
a1,1,0.50811,0.437957,[ 4 42] ; [ 5 83],[ 3.08955224 42.91044776] ; [ 5.91044776 82.08955224],0
p8,1,0.527709,0.398801,[28 18] ; [48 39],[26.28571429 19.71428571] ; [49.71428571 37.28571429],0
u2,1,0.530357,0.393707,[4 5] ; [18 14],[4.82926829 4.17073171] ; [17.17073171 14.82926829],0
a6,1,0.575963,0.312807,[27 19] ; [56 32],[28.49253731 17.50746269] ; [54.50746269 33.49253731],0
a2,1,0.594083,0.284012,[ 9 37] ; [14 74],[ 7.89552239 38.10447761] ; [15.10447761 72.89552239],0
b1,1,0.597991,0.278036,[21 25] ; [36 52],[19.56716418 26.43283582] ; [37.43283582 50.56716418],0
p4,1,0.605906,0.266179,[27 19] ; [47 40],[25.59398496 20.40601504] ; [48.40601504 38.59398496],0
s3,1,0.625008,0.238892,[21 24] ; [44 42],[22.32824427 22.67175573] ; [42.67175573 43.32824427],0
p12,1,0.625429,0.23831,[ 3 43] ; [ 4 84],[ 2.40298507 43.59701493] ; [ 4.59701493 83.40298507],0
d3,1,0.647261,0.20937,[35 11] ; [63 24],[33.89473684 12.10526316] ; [64.10526316 22.89473684],0
n4,1,0.651647,0.203831,[18 28] ; [38 50],[19.2238806 26.7761194] ; [36.7761194 51.2238806],0
d4,1,0.67029,0.181264,[38  8] ; [70 18],[37.07462687  8.92537313] ; [70.92537313 17.07462687],0
s6,1,0.70933,0.138947,[26 18] ; [49 39],[25. 19.] ; [50. 38.],0
s7,1,0.720101,0.128396,[19 27] ; [32 52],[18.04615385 27.95384615] ; [32.95384615 51.04615385],0
n3,1,0.730731,0.118442,[9 1] ; [24  4],[8.68421053 1.31578947] ; [24.31578947  3.68421053],0
