Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,6.4e-05,15.971127,[438  49] ; [3 4],[434.75101215  52.24898785] ; [6.24898785 0.75101215],1
a5,1,0.001775,9.768818,[418  71] ; [3 4],[415.05846774  73.94153226] ; [5.94153226 1.05846774],0
p5,1,0.010499,6.548207,[ 55 428] ; [3 4],[ 57.17142857 425.82857143] ; [0.82857143 6.17142857],0
v4,1,0.020176,5.39664,[479   9] ; [6 1],[478.14141414   9.85858586] ; [6.85858586 0.14141414],0
a7,1,0.024918,5.029585,[383 106] ; [3 4],[380.55241935 108.44758065] ; [5.44758065 1.55241935],0
d5,1,0.029641,4.729983,[476  10] ; [6 1],[475.15618661  10.84381339] ; [6.84381339 0.15618661],0
s1,1,0.083442,2.996552,[ 14 467] ; [1 6],[ 14.78483607 466.21516393] ; [0.21516393 6.78483607],0
s3,1,0.094023,2.804108,[288 193] ; [2 5],[285.84016393 195.15983607] ; [4.15983607 2.84016393],0
a4,1,0.101883,2.675824,[289 199] ; [2 5],[286.88484848 201.11515152] ; [4.11515152 2.88484848],0
s2,1,0.13023,2.289755,[277 208] ; [2 5],[275.0304878 209.9695122] ; [3.9695122 3.0304878],0
v3,1,0.14247,2.151078,[201 259] ; [5 2],[202.91220557 257.08779443] ; [3.08779443 3.91220557],0
n6,1,0.208619,1.580983,[424  61] ; [5 2],[422.89634146  62.10365854] ; [6.10365854 0.89634146],0
n5,1,0.212329,1.555474,[375 111] ; [4 3],[373.61866126 112.38133874] ; [5.38133874 1.61866126],0
a6,1,0.290581,1.116927,[363 123] ; [4 3],[361.78904665 124.21095335] ; [5.21095335 1.78904665],0
v1,1,0.427985,0.628284,[275 201] ; [3 4],[273.97101449 202.02898551] ; [4.02898551 2.97101449],0
d2,1,0.433813,0.612594,[352 134] ; [6 1],[352.9168357 133.0831643] ; [5.0831643 1.9168357],0
p6,1,0.502424,0.449813,[197 282] ; [2 5],[196.13374486 282.86625514] ; [2.86625514 4.13374486],0
b3,1,0.505933,0.442469,[129 182] ; [1 3],[128.34920635 182.65079365] ; [1.65079365 2.34920635],0
b2,1,0.505933,0.442469,[129 182] ; [1 3],[128.34920635 182.65079365] ; [1.65079365 2.34920635],0
a3,1,0.527684,0.398849,[394  93] ; [5 2],[393.34615385  93.65384615] ; [5.65384615 1.34615385],0
p3,1,0.538262,0.378771,[265 221] ; [3 4],[264.19472617 221.80527383] ; [3.80527383 3.19472617],0
s5,1,0.579754,0.306632,[181 285] ; [2 5],[180.29175476 285.70824524] ; [2.70824524 4.29175476],0
u3,1,0.580351,0.305667,[65 30] ; [1 1],[64.63917526 30.36082474] ; [1.36082474 0.63917526],0
v2,1,0.591408,0.288151,[289 181] ; [5 2],[289.68553459 180.31446541] ; [4.31446541 2.68553459],0
p1,1,0.599282,0.276079,[ 42 444] ; [1 6],[ 42.38945233 443.61054767] ; [0.61054767 6.38945233],0
s8,1,0.628265,0.23442,[252 232] ; [3 4],[251.36456212 232.63543788] ; [3.63543788 3.36456212],0
p12,1,0.66944,0.182258,[ 46 438] ; [1 6],[ 46.3299389 437.6700611] ; [0.6700611 6.3299389],0
p11,1,0.714204,0.134114,[392  97] ; [6 1],[392.38306452  96.61693548] ; [5.61693548 1.38306452],0
b1,1,0.741976,0.108398,[180 309] ; [3 4],[180.41733871 308.58266129] ; [2.58266129 4.41733871],0
n4,1,0.756955,0.095779,[395  92] ; [6 1],[395.31781377  91.68218623] ; [5.68218623 1.31781377],0
p4,1,0.776437,0.080636,[321 163] ; [5 2],[321.35234216 162.64765784] ; [4.64765784 2.35234216],0
b5,1,0.785553,0.074033,[304 185] ; [4 3],[303.65322581 185.34677419] ; [4.34677419 2.65322581],0
p7,1,0.802332,0.062665,[318 157] ; [5 2],[318.30912863 156.69087137] ; [4.69087137 2.30912863],0
d3,1,0.804193,0.061466,[432  55] ; [6 1],[431.79352227  55.20647773] ; [6.20647773 0.79352227],0
a8,1,0.831398,0.04533,[ 59 373] ; [1 5],[ 59.17808219 372.82191781] ; [0.82191781 5.17808219],0
s4,1,0.834457,0.043677,[ 83 397] ; [1 6],[ 82.7926078 397.2073922] ; [1.2073922 5.7926078],0
p9,1,0.871662,0.026098,[422  59] ; [6 1],[421.86065574  59.13934426] ; [6.13934426 0.86065574],0
b4,1,0.890496,0.018955,[292 197] ; [4 3],[291.82258065 197.17741935] ; [4.17741935 2.82258065],0
p8,1,0.98486,0.00036,[272 207] ; [4 3],[272.02469136 206.97530864] ; [3.97530864 3.02469136],0
s6,1,0.991683,0.000109,[343 136] ; [5 2],[342.98765432 136.01234568] ; [5.01234568 1.98765432],0
