Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,94.742935,[26 87] ; [130  28],[65.04797048 47.95202952] ; [90.95202952 67.04797048],1
s6,1,0.0,45.02434,[54 57] ; [135  21],[78.57303371 32.42696629] ; [110.42696629  45.57303371],1
s7,1,0.0,42.065842,[37 71] ; [114  39],[62.48275862 45.51724138] ; [88.51724138 64.48275862],1
s8,1,0.0,31.970856,[38 75] ; [108  50],[60.87822878 52.12177122] ; [85.12177122 72.87822878],1
s5,1,0.0,27.863484,[22 89] ; [77 71],[42.42857143 68.57142857] ; [56.57142857 91.42857143],1
s4,1,0.001239,10.430719,[ 14 100] ; [ 44 109],[24.76404494 89.23595506] ; [ 33.23595506 119.76404494],0
p10,1,0.013114,6.153648,[84 27] ; [138  20],[91.60594796 19.39405204] ; [130.39405204  27.60594796],0
u1,1,0.015756,5.829877,[17 97] ; [ 43 115],[25.14705882 88.85294118] ; [ 34.85294118 123.14705882],0
p9,1,0.03033,4.690515,[93 20] ; [144  14],[98.82287823 14.17712177] ; [138.17712177  19.82287823],0
a5,1,0.042716,4.106625,[77 37] ; [124  34],[84.24264706 29.75735294] ; [116.75735294  41.24264706],0
a2,1,0.045614,3.995803,[23 91] ; [ 49 109],[30.17647059 83.82352941] ; [ 41.82352941 116.17647059],0
d4,1,0.046495,3.96357,[90 24] ; [138  19],[95.91143911 18.08856089] ; [132.08856089  24.91143911],0
u3,1,0.056298,3.643205,[18 19] ; [28 12],[22.1038961 14.8961039] ; [23.8961039 16.1038961],0
n3,1,0.061861,3.486776,[24  4] ; [20 11],[20.88135593  7.11864407] ; [23.11864407  7.88135593],0
b4,1,0.073345,3.206527,[73 41] ; [84 74],[65.80147059 48.19852941] ; [91.19852941 66.80147059],0
p12,1,0.086042,2.946913,[  4 108] ; [ 14 144],[  7.46666667 104.53333333] ; [ 10.53333333 147.46666667],0
a4,1,0.106885,2.599684,[51 62] ; [87 71],[57.54243542 55.45756458] ; [80.45756458 77.54243542],0
u2,1,0.116286,2.466644,[19 19] ; [27 13],[22.41025641 15.58974359] ; [23.58974359 16.41025641],0
d2,1,0.127072,2.327918,[55 59] ; [91 67],[61.19117647 52.80882353] ; [84.80882353 73.19117647],0
d1,1,0.138241,2.197431,[68 46] ; [108  50],[73.76470588 40.23529412] ; [102.23529412  55.76470588],0
a3,1,0.15433,2.028927,[76 37] ; [118  39],[81.19259259 31.80740741] ; [112.80740741  44.19259259],0
p11,1,0.158626,1.987272,[94 20] ; [119  39],[89.27205882 24.72794118] ; [123.72794118  34.27205882],0
n5,1,0.176557,1.826373,[82 31] ; [125  32],[86.63333333 26.36666667] ; [120.36666667  36.63333333],0
n2,1,0.194761,1.681233,[18 11] ; [24  7],[20.3  8.7] ; [21.7  9.3],0
v2,1,0.206842,1.59339,[61 52] ; [95 59],[66.02247191 46.97752809] ; [89.97752809 64.02247191],0
d3,1,0.229829,1.441919,[79 34] ; [120  37],[83.28518519 29.71481481] ; [115.71481481  41.28518519],0
r2,1,0.234531,1.413169,[105   7] ; [151   5],[106.98507463   5.01492537] ; [149.01492537   6.98507463],0
p1,1,0.290973,1.115115,[ 13 101] ; [ 12 145],[ 10.51660517 103.48339483] ; [ 14.48339483 142.51660517],0
r3,1,0.310249,1.029618,[111   3] ; [149   8],[109.37269373   4.62730627] ; [150.62730627   6.37269373],0
b5,1,0.314873,1.010123,[69 45] ; [105  53],[72.92647059 41.07352941] ; [101.07352941  56.92647059],0
u4,1,0.316219,1.004519,[  1 113] ; [  4 154],[  2.09558824 111.90441176] ; [  2.90441176 155.09558824],0
r1,1,0.329256,0.951821,[86 28] ; [127  31],[89.27205882 24.72794118] ; [123.72794118  34.27205882],0
p3,1,0.348177,0.880089,[65 49] ; [99 59],[68.73529412 45.26470588] ; [95.26470588 62.73529412],0
p8,1,0.431829,0.6179,[74 38] ; [97 61],[70.93333333 41.06666667] ; [100.06666667  57.93333333],0
n1,1,0.460737,0.544102,[10 18] ; [14 17],[11.38983051 16.61016949] ; [12.61016949 18.38983051],0
v3,1,0.496416,0.462591,[44 69] ; [53 99],[41.36226415 71.63773585] ; [55.63773585 96.36226415],0
a8,1,0.539656,0.376178,[12 87] ; [ 22 126],[13.62753036 85.37246964] ; [ 20.37246964 127.62753036],0
a6,1,0.550254,0.356862,[73 41] ; [106  51],[75.29889299 38.70110701] ; [103.70110701  53.29889299],0
v4,1,0.561372,0.337334,[108   6] ; [152   6],[108.97058824   5.02941176] ; [151.02941176   6.97058824],0
b1,1,0.570188,0.322368,[48 66] ; [72 86],[50.29411765 63.70588235] ; [69.70588235 88.29411765],0
