Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,28.626959,[361  27] ; [64 23],[347.15789474  40.84210526] ; [77.84210526  9.15789474],1
r3,1,2e-06,22.732731,[375  12] ; [74 14],[365.81684211  21.18315789] ; [83.18315789  4.81684211],1
n6,1,0.000254,13.382559,[330  57] ; [59 27],[318.27272727  68.72727273] ; [70.72727273 15.27272727],1
v2,1,0.000416,12.45715,[216 152] ; [31 52],[201.54323725 166.45676275] ; [45.45676275 37.54323725],1
p8,1,0.000763,11.328188,[185 199] ; [25 63],[170.84745763 213.15254237] ; [39.15254237 48.84745763],1
r4,1,0.000782,11.283067,[351  38] ; [68 20],[341.70020964  47.29979036] ; [77.29979036 10.70020964],1
b1,1,0.001515,10.060587,[117 272] ; [42 46],[129.66666667 259.33333333] ; [29.33333333 58.66666667],0
n4,1,0.001559,10.007084,[292  97] ; [50 36],[280.08 108.92] ; [61.92 24.08],0
a6,1,0.003104,8.745059,[278 111] ; [48 39],[266.41596639 122.58403361] ; [59.58403361 27.41596639],0
p2,1,0.004995,7.881149,[329  58] ; [63 24],[320.05063291  66.94936709] ; [71.94936709 15.05063291],0
n5,1,0.010249,6.591135,[291  94] ; [54 33],[281.40889831 103.59110169] ; [63.59110169 23.40889831],0
p3,1,0.014221,6.010514,[172 217] ; [26 61],[161.81092437 227.18907563] ; [36.18907563 50.81092437],0
p7,1,0.017098,5.686292,[211 169] ; [36 51],[200.98501071 179.01498929] ; [46.01498929 40.98501071],0
u2,1,0.019396,5.465473,[66 45] ; [12 21],[60.125 50.875] ; [17.875 15.125],0
a5,1,0.025887,4.963563,[289 100] ; [55 33],[280.53668763 108.46331237] ; [63.46331237 24.53668763],0
s1,1,0.03437,4.476181,[  7 376] ; [ 5 81],[  9.79957356 373.20042644] ; [ 2.20042644 83.79957356],0
u1,1,0.054509,3.697057,[ 62 327] ; [ 7 81],[ 56.27044025 332.72955975] ; [12.72955975 75.27044025],0
d1,1,0.065176,3.400524,[219 170] ; [40 48],[211.21802935 177.78197065] ; [47.78197065 40.21802935],0
b3,1,0.068098,3.328285,[ 85 152] ; [ 9 33],[ 79.84946237 157.15053763] ; [14.15053763 27.84946237],0
b2,1,0.068098,3.328285,[ 85 152] ; [ 9 33],[ 79.84946237 157.15053763] ; [14.15053763 27.84946237],0
r1,1,0.073045,3.213228,[305  81] ; [61 26],[298.6807611  87.3192389] ; [67.3192389 19.6807611],0
v4,1,0.078076,3.10451,[367  17] ; [80  8],[363.66101695  20.33898305] ; [83.33898305  4.66101695],0
a3,1,0.080835,3.048033,[277 112] ; [53 33],[270.25263158 118.74736842] ; [59.74736842 26.25263158],0
v3,1,0.124664,2.357718,[141 227] ; [25 60],[134.85209713 233.14790287] ; [31.14790287 53.85209713],0
b5,1,0.175379,1.836352,[235 154] ; [60 28],[240.57651992 148.42348008] ; [54.42348008 33.57651992],0
a1,1,0.179321,1.803243,[ 11 378] ; [ 5 83],[ 13.04821803 375.95178197] ; [ 2.95178197 85.04821803],0
n3,1,0.208326,1.583019,[62 16] ; [24 11],[59.36283186 18.63716814] ; [26.63716814  8.36283186],0
d2,1,0.222977,1.485107,[175 213] ; [33 54],[169.90315789 218.09684211] ; [38.09684211 48.90315789],0
u3,1,0.223809,1.479779,[61 51] ; [14 19],[57.93103448 54.06896552] ; [17.06896552 15.93103448],0
p1,1,0.235749,1.405836,[ 22 365] ; [ 8 80],[ 24.44210526 362.55789474] ; [ 5.55789474 82.44210526],0
p12,1,0.243765,1.358688,[ 26 362] ; [ 3 85],[ 23.63865546 364.36134454] ; [ 5.36134454 82.63865546],0
s2,1,0.247445,1.33767,[175 210] ; [46 42],[179.88372093 205.11627907] ; [41.11627907 46.88372093],0
d4,1,0.255202,1.294597,[316  73] ; [66 21],[312.18067227  76.81932773] ; [69.81932773 17.18067227],0
p4,1,0.257134,1.28412,[193 194] ; [38 50],[188.20421053 198.79578947] ; [42.79578947 45.20421053],0
s8,1,0.355053,0.855314,[157 230] ; [31 57],[153.17052632 233.82947368] ; [34.82947368 53.17052632],0
d5,1,0.36059,0.835836,[308  81] ; [65 22],[304.82563025  84.17436975] ; [68.17436975 18.82563025],0
s4,1,0.386193,0.750895,[ 56 330] ; [16 72],[ 58.63291139 327.36708861] ; [13.36708861 74.63291139],0
d3,1,0.404512,0.694873,[264 125] ; [55 32],[260.69537815 128.30462185] ; [58.30462185 28.69537815],0
u4,1,0.486348,0.484595,[  9 380] ; [ 1 87],[  8.15513627 380.84486373] ; [ 1.84486373 86.15513627],0
r2,1,0.487094,0.482939,[357  27] ; [79  8],[355.46496815  28.53503185] ; [80.53503185  6.46496815],0
v1,1,0.492626,0.470787,[190 181] ; [41 46],[187.12008734 183.87991266] ; [43.87991266 43.12008734],0
s5,1,0.501517,0.451725,[107 269] ; [27 57],[109.53043478 266.46956522] ; [24.46956522 59.53043478],0
n2,1,0.537937,0.379376,[62 16] ; [26  9],[60.74336283 17.25663717] ; [27.25663717  7.74336283],0
a2,1,0.600769,0.273837,[ 85 304] ; [17 71],[ 83.18238994 305.81761006] ; [18.81761006 69.18238994],0
