Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.921447,[98 11] ; [17 20],[85.85616438 23.14383562] ; [29.14383562  7.85616438],1
p9,1,0.000383,12.612359,[98 11] ; [24 13],[91.08219178 17.91780822] ; [30.91780822  6.08219178],1
p10,1,0.000553,11.929511,[93 15] ; [22 15],[85.65517241 22.34482759] ; [29.34482759  7.65517241],1
n6,1,0.002262,9.324126,[98 10] ; [26 11],[92.35862069 15.64137931] ; [31.64137931  5.35862069],0
u1,1,0.007042,7.2623,[24 85] ; [ 1 36],[18.66438356 90.33561644] ; [ 6.33561644 30.66438356],0
p4,1,0.031338,4.634356,[87 22] ; [23 14],[82.12328767 26.87671233] ; [27.87671233  9.12328767],0
v3,1,0.032193,4.58817,[41 64] ; [ 7 29],[35.74468085 69.25531915] ; [12.25531915 23.74468085],0
v1,1,0.035916,4.401111,[59 48] ; [13 24],[53.5 53.5] ; [18.5 18.5],0
s3,1,0.046116,3.977339,[52 55] ; [11 26],[46.8125 60.1875] ; [16.1875 20.8125],0
v4,1,0.04914,3.870575,[105   3] ; [33  4],[102.7862069   5.2137931] ; [35.2137931  1.7862069],0
p2,1,0.072829,3.21809,[100   9] ; [30  7],[97.05479452 11.94520548] ; [32.94520548  4.05479452],0
r1,1,0.078189,3.102156,[88 20] ; [25 12],[84.16551724 23.83448276] ; [28.83448276  8.16551724],0
s6,1,0.080107,3.062727,[67 38] ; [17 19],[62.55319149 42.44680851] ; [21.44680851 14.55319149],0
d1,1,0.102276,2.669684,[64 45] ; [16 21],[59.7260274 49.2739726] ; [20.2739726 16.7260274],0
a3,1,0.147555,2.097347,[78 30] ; [22 15],[74.48275862 33.51724138] ; [25.51724138 11.48275862],0
p5,1,0.170778,1.8761,[19 90] ; [ 3 34],[16.42465753 92.57534247] ; [ 5.57534247 31.42465753],0
u3,1,0.171066,1.873574,[14 17] ; [10  5],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
a2,1,0.214977,1.53759,[32 77] ; [ 7 30],[29.11643836 79.88356164] ; [ 9.88356164 27.11643836],0
s2,1,0.220439,1.501512,[47 60] ; [12 25],[43.84027778 63.15972222] ; [15.15972222 21.84027778],0
b4,1,0.237293,1.396604,[68 41] ; [19 18],[64.95205479 44.04794521] ; [22.04794521 14.95205479],0
v2,1,0.262873,1.253564,[60 46] ; [17 20],[57.07692308 48.92307692] ; [19.92307692 17.07692308],0
d5,1,0.299341,1.077129,[85 24] ; [25 11],[82.68965517 26.31034483] ; [27.31034483  8.68965517],0
b2,1,0.300216,1.073232,[28 35] ; [ 7 15],[25.94117647 37.05882353] ; [ 9.05882353 12.94117647],0
b3,1,0.300216,1.073232,[28 35] ; [ 7 15],[25.94117647 37.05882353] ; [ 9.05882353 12.94117647],0
a8,1,0.315124,1.009078,[11 83] ; [ 2 33],[ 9.47286822 84.52713178] ; [ 3.52713178 31.47286822],0
p11,1,0.318562,0.994841,[88 21] ; [27 10],[85.85616438 23.14383562] ; [29.14383562  7.85616438],0
u2,1,0.334298,0.932175,[16 15] ; [10  5],[17.52173913 13.47826087] ; [8.47826087 6.52173913],0
a6,1,0.337346,0.92049,[77 32] ; [23 14],[74.65753425 34.34246575] ; [25.34246575 11.65753425],0
p8,1,0.350444,0.871849,[74 35] ; [22 15],[71.67123288 37.32876712] ; [24.32876712 12.67123288],0
s4,1,0.351552,0.867847,[18 86] ; [ 9 28],[19.91489362 84.08510638] ; [ 7.08510638 29.91489362],0
a4,1,0.366069,0.816966,[56 52] ; [16 21],[53.62758621 54.37241379] ; [18.37241379 18.62758621],0
b1,1,0.434529,0.610687,[45 64] ; [18 19],[47.03424658 61.96575342] ; [15.96575342 21.03424658],0
d2,1,0.449767,0.57124,[52 57] ; [15 22],[50.02054795 58.97945205] ; [16.97945205 20.02054795],0
s1,1,0.456192,0.555222,[  3 104] ; [ 2 35],[  3.71527778 103.28472222] ; [ 1.28472222 35.71527778],0
r4,1,0.564806,0.331451,[98 11] ; [32  5],[97.05479452 11.94520548] ; [32.94520548  4.05479452],0
r2,1,0.578643,0.308433,[102   6] ; [34  3],[101.29655172   6.70344828] ; [34.70344828  2.29655172],0
n1,1,0.640854,0.217627,[ 9 13] ; [ 5 10],[ 8.32432432 13.67567568] ; [5.67567568 9.32432432],0
p1,1,0.644852,0.212452,[15 94] ; [ 4 33],[14.18493151 94.81506849] ; [ 4.81506849 32.18493151],0
a1,1,0.725713,0.123085,[  7 102] ; [ 3 34],[  7.46575342 101.53424658] ; [ 2.53424658 34.46575342],0
a5,1,0.743992,0.106649,[71 38] ; [23 14],[70.17808219 38.82191781] ; [23.82191781 13.17808219],0
d4,1,0.771994,0.083965,[85 24] ; [28  9],[84.3630137 24.6369863] ; [28.6369863  8.3630137],0
a7,1,0.799915,0.06424,[84 25] ; [27  9],[83.44137931 25.55862069] ; [27.55862069  8.44137931],0
s7,1,0.810066,0.057764,[37 64] ; [14 22],[37.59854015 63.40145985] ; [13.40145985 22.59854015],0
p3,1,0.828692,0.04682,[67 42] ; [22 15],[66.44520548 42.55479452] ; [22.55479452 14.44520548],0
n2,1,0.84316,0.039146,[17  5] ; [12  3],[17.24324324  4.75675676] ; [11.75675676  3.24324324],0
p12,1,0.844017,0.038714,[10 99] ; [ 3 34],[ 9.70547945 99.29452055] ; [ 3.29452055 33.70547945],0
n3,1,0.899895,0.015824,[15  6] ; [11  4],[15.16666667  5.83333333] ; [10.83333333  4.16666667],0
b5,1,0.911828,0.012262,[63 46] ; [21 16],[62.71232877 46.28767123] ; [21.28767123 15.71232877],0
d3,1,0.913784,0.011722,[79 29] ; [26 10],[78.75 29.25] ; [26.25  9.75],0
s5,1,0.917704,0.010676,[35 70] ; [12 23],[35.25 69.75] ; [11.75 23.25],0
p7,1,0.945527,0.004668,[91 17] ; [31  6],[90.86896552 17.13103448] ; [31.13103448  5.86896552],0
