Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.634532,[ 7 26] ; [106  31],[21.93529412 11.06470588] ; [91.06470588 45.93529412],1
r3,1,0.0,36.280688,[13 20] ; [120  17],[25.81764706  7.18235294] ; [107.18235294  29.81764706],1
p2,1,9e-06,19.782413,[11 21] ; [101  33],[21.59036145 10.40963855] ; [90.40963855 43.59036145],1
r2,1,2.4e-05,17.860324,[18 14] ; [119  16],[26.25149701  5.74850299] ; [110.74850299  24.25149701],1
p9,1,0.000128,14.673013,[12 20] ; [98 36],[21.20481928 10.79518072] ; [88.79518072 45.20481928],1
p11,1,0.000242,13.470281,[13 20] ; [100  37],[21.93529412 11.06470588] ; [91.06470588 45.93529412],1
n2,1,0.00051,12.080089,[ 5 10] ; [38  9],[10.40322581  4.59677419] ; [32.59677419 14.40322581],1
p8,1,0.0009,11.023561,[ 3 30] ; [53 81],[11.06586826 21.93413174] ; [44.93413174 89.06586826],1
p10,1,0.002115,9.447006,[11 21] ; [86 48],[18.69879518 13.30120482] ; [78.30120482 55.69879518],0
p7,1,0.003093,8.751837,[ 9 24] ; [74 58],[16.6 16.4] ; [66.4 65.6],0
n6,1,0.005386,7.745085,[16 16] ; [102  34],[22.47619048  9.52380952] ; [95.52380952 40.47619048],0
r1,1,0.014495,5.976829,[13 20] ; [86 51],[19.21764706 13.78235294] ; [79.78235294 57.21764706],0
p6,1,0.027096,4.884711,[ 2 29] ; [32 99],[ 6.50617284 24.49382716] ; [ 27.49382716 103.50617284],0
s5,1,0.029082,4.762779,[ 4 28] ; [42 90],[ 8.97560976 23.02439024] ; [37.02439024 94.97560976],0
d5,1,0.031736,4.612687,[15 18] ; [90 47],[20.38235294 12.61764706] ; [84.61764706 52.38235294],0
u2,1,0.036021,4.396123,[ 3 13] ; [26 28],[6.62857143 9.37142857] ; [22.37142857 31.62857143],0
u3,1,0.04069,4.188874,[ 2 14] ; [22 33],[ 5.4084507 10.5915493] ; [18.5915493 36.4084507],0
a6,1,0.042808,4.102963,[ 9 24] ; [64 73],[14.17058824 18.82941176] ; [58.82941176 78.17058824],0
p1,1,0.043194,4.087783,[ 5 28] ; [  7 130],[ 2.32941176 30.67058824] ; [  9.67058824 127.32941176],0
v1,1,0.057299,3.613899,[ 8 25] ; [57 78],[12.76785714 20.23214286] ; [52.23214286 82.76785714],0
n3,1,0.069407,3.296978,[6 8] ; [32 14],[8.86666667 5.13333333] ; [29.13333333 16.86666667],0
v3,1,0.080839,3.047947,[ 4 28] ; [36 96],[ 7.80487805 24.19512195] ; [32.19512195 99.80487805],0
v2,1,0.109308,2.564202,[ 9 23] ; [58 75],[12.99393939 19.00606061] ; [54.00606061 78.99393939],0
a5,1,0.133187,2.254964,[14 19] ; [78 59],[17.85882353 15.14117647] ; [74.14117647 62.85882353],0
n1,1,0.170346,1.879892,[7 8] ; [13 34],[ 4.83870968 10.16129032] ; [15.16129032 31.83870968],0
s6,1,0.177838,1.815603,[10 23] ; [57 75],[13.4 19.6] ; [53.6 78.4],0
b1,1,0.178977,1.806098,[18 15] ; [57 80],[14.55882353 18.44117647] ; [60.44117647 76.55882353],0
s1,1,0.196572,1.667659,[ 3 30] ; [  5 129],[ 1.58083832 31.41916168] ; [  6.41916168 127.58083832],0
n5,1,0.279246,1.170756,[20 13] ; [95 40],[22.58928571 10.41071429] ; [92.41071429 42.58928571],0
b2,1,0.292829,1.106571,[10 13] ; [25 54],[ 7.89215686 15.10784314] ; [27.10784314 51.89215686],0
b3,1,0.292829,1.106571,[10 13] ; [25 54],[ 7.89215686 15.10784314] ; [27.10784314 51.89215686],0
b4,1,0.341981,0.902992,[17 16] ; [83 54],[19.41176471 13.58823529] ; [80.58823529 56.41176471],0
a3,1,0.358393,0.843515,[17 16] ; [82 54],[19.33136095 13.66863905] ; [79.66863905 56.33136095],0
b5,1,0.371138,0.79985,[14 19] ; [70 67],[16.30588235 16.69411765] ; [67.69411765 69.30588235],0
p4,1,0.382114,0.763889,[11 22] ; [55 77],[13.2 19.8] ; [52.8 79.2],0
a2,1,0.437954,0.601637,[ 1 32] ; [  9 128],[ 1.94117647 31.05882353] ; [  8.05882353 128.94117647],0
s4,1,0.479834,0.49924,[ 7 26] ; [ 22 115],[ 5.62941176 27.37058824] ; [ 23.37058824 113.62941176],0
p3,1,0.487625,0.481764,[ 9 24] ; [45 89],[10.67065868 22.32934132] ; [43.32934132 90.67065868],0
a1,1,0.495492,0.464579,[ 3 30] ; [  8 129],[ 2.13529412 30.86470588] ; [  8.86470588 128.13529412],0
d2,1,0.506555,0.441176,[15 17] ; [55 81],[13.33333333 18.66666667] ; [56.66666667 79.33333333],0
d4,1,0.606644,0.265092,[23 10] ; [89 48],[21.74117647 11.25882353] ; [90.25882353 46.74117647],0
d3,1,0.693218,0.155624,[14 19] ; [53 84],[13.00588235 19.99411765] ; [53.99411765 83.00588235],0
d1,1,0.697545,0.151038,[13 20] ; [49 88],[12.03529412 20.96470588] ; [49.96470588 87.03529412],0
s3,1,0.69865,0.14988,[11 21] ; [51 83],[11.95180723 20.04819277] ; [50.04819277 83.95180723],0
p12,1,0.784892,0.074501,[ 1 32] ; [  3 132],[ 0.78571429 32.21428571] ; [  3.21428571 131.78571429],0
a4,1,0.938572,0.005939,[12 20] ; [52 84],[12.19047619 19.80952381] ; [51.80952381 84.19047619],0
s2,1,0.948067,0.004242,[ 8 25] ; [ 32 103],[ 7.85714286 25.14285714] ; [ 32.14285714 102.85714286],0
n4,1,0.957419,0.002851,[22 11] ; [92 45],[22.12941176 10.87058824] ; [91.87058824 45.12941176],0
p5,1,0.970898,0.001331,[ 3 30] ; [ 12 123],[ 2.94642857 30.05357143] ; [ 12.05357143 122.94642857],0
