Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,44.889562,[97 31] ; [ 61 106],[68.5559322 59.4440678] ; [89.4440678 77.5559322],1
p3,1,0.0,31.017344,[75 54] ; [ 44 124],[51.68686869 77.31313131] ; [ 67.31313131 100.68686869],1
p4,1,0.0,29.440874,[79 51] ; [ 49 118],[56.02693603 73.97306397] ; [71.97306397 95.02693603],1
p2,1,7e-06,20.221345,[113  16] ; [108  59],[96.31418919 32.68581081] ; [124.68581081  42.31418919],1
p10,1,2.3e-05,17.908544,[106  23] ; [99 68],[89.34121622 39.65878378] ; [115.65878378  51.34121622],1
p9,1,2.8e-05,17.559929,[108  21] ; [102  64],[91.83050847 37.16949153] ; [118.16949153  47.83050847],1
p6,1,5.4e-05,16.28686,[48 80] ; [ 28 139],[32.97627119 95.02372881] ; [ 43.02372881 123.97627119],1
p11,1,0.003915,8.322759,[108  22] ; [115  53],[97.28187919 32.71812081] ; [125.71812081  42.28187919],0
s8,1,0.004219,8.186911,[35 95] ; [ 23 145],[ 25.30201342 104.69798658] ; [ 32.69798658 135.30201342],0
v1,1,0.00445,8.090344,[67 61] ; [ 59 106],[55.0443686 72.9556314] ; [70.9556314 94.0443686],0
d1,1,0.005206,7.806398,[80 50] ; [76 92],[68.05369128 61.94630872] ; [87.94630872 80.05369128],0
n6,1,0.00527,7.784445,[106  23] ; [114  54],[95.55555556 33.44444444] ; [124.44444444  43.55555556],0
v4,1,0.005296,7.775614,[125   4] ; [146  20],[118.50508475  10.49491525] ; [152.49491525  13.50508475],0
v2,1,0.016955,5.701063,[74 53] ; [71 90],[63.94097222 63.05902778] ; [81.05902778 79.94097222],0
r1,1,0.020982,5.328268,[103  26] ; [114  54],[94.25252525 34.74747475] ; [122.74747475  45.25252525],0
a7,1,0.022861,5.179011,[99 31] ; [106  60],[90.03378378 39.96621622] ; [114.96621622  51.03378378],0
p12,1,0.022897,5.176284,[  6 123] ; [  1 166],[  3.05067568 125.94932432] ; [  3.94932432 163.05067568],0
a5,1,0.028229,4.81402,[94 36] ; [101  67],[85.06711409 44.93288591] ; [109.93288591  58.06711409],0
p1,1,0.031413,4.630258,[ 16 113] ; [  9 158],[ 10.89527027 118.10472973] ; [ 14.10472973 152.89527027],0
d3,1,0.036658,4.366246,[92 38] ; [98 68],[83.44594595 46.55405405] ; [106.55405405  59.44594595],0
s4,1,0.040005,4.217674,[  5 125] ; [ 17 151],[  9.59731544 120.40268456] ; [ 12.40268456 155.59731544],0
r4,1,0.044509,4.037155,[115  15] ; [134  34],[108.62416107  21.37583893] ; [140.37583893  27.62416107],0
v3,1,0.062483,3.470223,[51 74] ; [ 48 111],[43.57394366 81.42605634] ; [ 55.42605634 103.57394366],0
n4,1,0.101828,2.676674,[98 32] ; [112  56],[91.61073826 38.38926174] ; [118.38926174  49.61073826],0
a1,1,0.12662,2.333466,[  3 127] ; [ 10 158],[  5.67114094 124.32885906] ; [  7.32885906 160.67114094],0
d5,1,0.12793,2.317448,[102  28] ; [118  49],[96.2962963 33.7037037] ; [123.7037037  43.2962963],0
r3,1,0.130671,2.284519,[120  10] ; [145  22],[115.99326599  14.00673401] ; [149.00673401  17.99326599],0
a4,1,0.15577,2.014817,[47 83] ; [74 93],[52.96296296 77.03703704] ; [68.03703704 98.96296296],0
s7,1,0.16375,1.939247,[33 89] ; [ 32 128],[28.12056738 93.87943262] ; [ 36.87943262 123.12056738],0
n5,1,0.163803,1.938761,[90 40] ; [102  64],[84.32432432 45.67567568] ; [107.67567568  58.32432432],0
b1,1,0.179415,1.802466,[45 85] ; [71 97],[50.60402685 79.39597315] ; [ 65.39597315 102.60402685],0
a3,1,0.237875,1.393144,[82 47] ; [117  50],[86.72635135 42.27364865] ; [112.27364865  54.72635135],0
b5,1,0.26711,1.231531,[78 52] ; [90 78],[73.2885906 56.7114094] ; [94.7114094 73.2885906],0
p5,1,0.29917,1.077891,[  9 120] ; [  7 159],[  6.99661017 122.00338983] ; [  9.00338983 156.99661017],0
d2,1,0.424325,0.638305,[62 68] ; [71 94],[58.61016949 71.38983051] ; [74.38983051 90.61016949],0
a8,1,0.44936,0.572264,[ 13 104] ; [ 13 142],[ 11.18382353 105.81617647] ; [ 14.81617647 140.18382353],0
s3,1,0.450057,0.570509,[33 95] ; [ 50 118],[35.89189189 92.10810811] ; [ 47.10810811 120.89189189],0
b3,1,0.453563,0.561732,[29 50] ; [41 56],[31.42045455 47.57954545] ; [38.57954545 58.42045455],0
b2,1,0.453563,0.561732,[29 50] ; [41 56],[31.42045455 47.57954545] ; [38.57954545 58.42045455],0
u3,1,0.487038,0.483064,[23 25] ; [28 23],[24.72727273 23.27272727] ; [26.27272727 24.72727273],0
u2,1,0.541551,0.372672,[22 26] ; [26 24],[23.51020408 24.48979592] ; [24.48979592 25.51020408],0
b4,1,0.54344,0.369201,[75 55] ; [91 77],[72.41610738 57.58389262] ; [93.58389262 74.41610738],0
a2,1,0.565935,0.329532,[ 25 105] ; [ 28 140],[ 23.12080537 106.87919463] ; [ 29.87919463 138.12080537],0
n2,1,0.578424,0.30879,[16  7] ; [34 20],[14.93506494  8.06493506] ; [35.06493506 18.93506494],0
n1,1,0.679986,0.170142,[ 9 13] ; [19 34],[ 8.21333333 13.78666667] ; [19.78666667 33.21333333],0
u1,1,0.694697,0.154048,[ 15 115] ; [ 17 151],[ 13.95973154 116.04026846] ; [ 18.04026846 149.95973154],0
s5,1,0.735471,0.114148,[ 18 112] ; [ 20 140],[ 17.03448276 112.96551724] ; [ 20.96551724 139.03448276],0
d4,1,0.745699,0.105181,[100  30] ; [125  41],[98.81756757 31.18243243] ; [126.18243243  39.81756757],0
s1,1,0.825831,0.048423,[  4 124] ; [  6 161],[  4.33898305 123.66101695] ; [  5.66101695 161.33898305],0
s2,1,0.834325,0.043747,[ 25 104] ; [ 34 133],[ 25.71283784 103.28716216] ; [ 33.28716216 133.71283784],0
n3,1,0.846757,0.037349,[16  7] ; [35 17],[15.64  7.36] ; [35.36 16.64],0
u4,1,0.855243,0.033282,[  1 129] ; [  1 167],[  0.87248322 129.12751678] ; [  1.12751678 166.87248322],0
a6,1,0.998654,3e-06,[89 41] ; [115  53],[88.99328859 41.00671141] ; [115.00671141  52.99328859],0
