Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,3.7e-05,16.999786,[ 3 13] ; [34 10],[9.86666667 6.13333333] ; [27.13333333 16.86666667],1
d4,1,0.003806,8.373958,[7 9] ; [36  8],[11.46666667  4.53333333] ; [31.53333333 12.46666667],0
d2,1,0.007067,7.255752,[ 3 13] ; [25 18],[7.59322034 8.40677966] ; [20.40677966 22.59322034],0
s7,1,0.008726,6.878114,[ 2 13] ; [21 19],[6.27272727 8.72727273] ; [16.72727273 23.27272727],0
d1,1,0.012682,6.212964,[ 4 12] ; [27 17],[8.26666667 7.73333333] ; [22.73333333 21.26666667],0
a4,1,0.013716,6.07438,[ 3 13] ; [24 20],[7.2 8.8] ; [19.8 24.2],0
a6,1,0.03193,4.602273,[ 6 10] ; [30 14],[9.6 6.4] ; [26.4 17.6],0
v3,1,0.039718,4.229884,[ 2 13] ; [18 24],[5.26315789 9.73684211] ; [14.73684211 27.26315789],0
d5,1,0.041491,4.155844,[8 8] ; [34 10],[11.2  4.8] ; [30.8 13.2],0
s5,1,0.098538,2.729045,[ 2 12] ; [16 26],[4.5 9.5] ; [13.5 28.5],0
p7,1,0.110308,2.549803,[11  5] ; [20 24],[8.26666667 7.73333333] ; [22.73333333 21.26666667],0
s2,1,0.110308,2.549803,[ 5 11] ; [24 20],[7.73333333 8.26666667] ; [21.26666667 22.73333333],0
d3,1,0.110308,2.549803,[ 5 11] ; [24 20],[7.73333333 8.26666667] ; [21.26666667 22.73333333],0
v2,1,0.115465,2.477787,[ 6 10] ; [26 17],[8.6779661 7.3220339] ; [23.3220339 19.6779661],0
s4,1,0.281139,1.161575,[ 2 14] ; [11 32],[ 3.52542373 12.47457627] ; [ 9.47457627 33.52542373],0
p10,1,0.302,1.065341,[9 7] ; [31 13],[10.66666667  5.33333333] ; [29.33333333 14.66666667],0
p9,1,0.302,1.065341,[9 7] ; [31 13],[10.66666667  5.33333333] ; [29.33333333 14.66666667],0
b5,1,0.323678,0.974026,[11  5] ; [24 20],[9.33333333 6.66666667] ; [25.66666667 18.33333333],0
s8,1,0.404123,0.696023,[ 5 11] ; [19 25],[6.4 9.6] ; [17.6 26.4],0
b3,1,0.456057,0.555556,[3 7] ; [13 17],[4. 6.] ; [12. 18.],0
b2,1,0.456057,0.555556,[3 7] ; [13 17],[4. 6.] ; [12. 18.],0
s3,1,0.459309,0.547578,[7 9] ; [24 20],[8.26666667 7.73333333] ; [22.73333333 21.26666667],0
r2,1,0.481321,0.495868,[14  2] ; [41  3],[14.66666667  1.33333333] ; [40.33333333  3.66666667],0
s6,1,0.492344,0.471401,[9 7] ; [29 15],[10.13333333  5.86666667] ; [27.86666667 16.13333333],0
p4,1,0.529735,0.394899,[8 8] ; [26 18],[9.06666667 6.93333333] ; [24.93333333 19.06666667],0
p1,1,0.559305,0.340909,[ 1 15] ; [ 5 39],[ 1.6 14.4] ; [ 4.4 39.6],0
u2,1,0.580013,0.306213,[5 8] ; [5 5],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
p5,1,0.586952,0.29513,[ 1 14] ; [ 5 38],[ 1.55172414 13.44827586] ; [ 4.44827586 38.55172414],0
a7,1,0.602793,0.270804,[9 7] ; [28 16],[9.86666667 6.13333333] ; [27.13333333 16.86666667],0
p6,1,0.679708,0.170455,[ 6 10] ; [14 30],[ 5.33333333 10.66666667] ; [14.66666667 29.33333333],0
s1,1,0.697092,0.151515,[ 2 14] ; [ 4 40],[ 1.6 14.4] ; [ 4.4 39.6],0
r3,1,0.697092,0.151515,[14  2] ; [40  4],[14.4  1.6] ; [39.6  4.4],0
r1,1,0.729699,0.119388,[12  4] ; [31 13],[11.46666667  4.53333333] ; [31.53333333 12.46666667],0
r4,1,0.743641,0.106952,[14  2] ; [37  7],[13.6  2.4] ; [37.4  6.6],0
n5,1,0.762397,0.091407,[11  5] ; [32 12],[11.46666667  4.53333333] ; [31.53333333 12.46666667],0
u3,1,0.767896,0.087101,[7 6] ; [6 4],[7.34782609 5.65217391] ; [5.65217391 4.34782609],0
a8,1,0.784659,0.074667,[ 2 14] ; [ 4 36],[ 1.71428571 14.28571429] ; [ 4.28571429 35.71428571],0
p11,1,0.806591,0.05994,[10  6] ; [29 15],[10.4  5.6] ; [28.6 15.4],0
p8,1,0.811598,0.056818,[ 6 10] ; [18 26],[6.4 9.6] ; [17.6 26.4],0
b4,1,0.843526,0.038961,[9 7] ; [26 18],[9.33333333 6.66666667] ; [25.66666667 18.33333333],0
n6,1,0.853259,0.034211,[13  3] ; [34  9],[12.74576271  3.25423729] ; [34.25423729  8.74576271],0
v4,1,0.908836,0.013112,[14  2] ; [38  6],[13.86666667  2.13333333] ; [38.13333333  5.86666667],0
v1,1,0.991685,0.000109,[7 9] ; [18 23],[7.01754386 8.98245614] ; [17.98245614 23.01754386],0
n4,1,1.0,0.0,[12  4] ; [33 11],[12.  4.] ; [33. 11.],0
n1,1,1.0,0.0,[1 1] ; [8 8],[1. 1.] ; [8. 8.],0
b1,1,1.0,0.0,[8 8] ; [22 22],[8. 8.] ; [22. 22.],0
