Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.8e-05,18.346252,[19  3] ; [13 30],[10.83076923 11.16923077] ; [21.16923077 21.83076923],1
s6,1,0.007921,7.051282,[14  8] ; [13 31],[ 9. 13.] ; [18. 26.],0
b1,1,0.033642,4.512821,[ 5 17] ; [22 22],[ 9. 13.] ; [18. 26.],0
p4,1,0.048412,3.89561,[12 10] ; [13 31],[ 8.33333333 13.66666667] ; [16.66666667 27.33333333],0
d4,1,0.081162,3.041475,[15  7] ; [20 24],[11.66666667 10.33333333] ; [23.33333333 20.66666667],0
s5,1,0.100447,2.698427,[ 6 15] ; [ 5 37],[ 3.66666667 17.33333333] ; [ 7.33333333 34.66666667],0
s8,1,0.104204,2.64,[ 8 14] ; [ 8 36],[ 5.33333333 16.66666667] ; [10.66666667 33.33333333],0
s4,1,0.128066,2.315789,[ 5 17] ; [ 4 40],[ 3. 19.] ; [ 6. 38.],0
v2,1,0.129191,2.302205,[ 4 18] ; [15 26],[ 6.63492063 15.36507937] ; [12.36507937 28.63492063],0
d3,1,0.158869,1.984962,[12 10] ; [16 28],[ 9.33333333 12.66666667] ; [18.66666667 25.33333333],0
b4,1,0.16296,1.946544,[ 9 13] ; [26 18],[11.66666667 10.33333333] ; [23.33333333 20.66666667],0
b5,1,0.209112,1.577561,[16  6] ; [25 19],[13.66666667  8.33333333] ; [27.33333333 16.66666667],0
a5,1,0.212427,1.554808,[11 11] ; [15 29],[ 8.66666667 13.33333333] ; [17.33333333 26.66666667],0
p2,1,0.240955,1.375,[14  8] ; [34 10],[16.  6.] ; [32. 12.],0
s7,1,0.271028,1.211538,[ 6 15] ; [ 7 35],[ 4.33333333 16.66666667] ; [ 8.66666667 33.33333333],0
v1,1,0.287049,1.133412,[ 5 17] ; [15 27],[ 6.875 15.125] ; [13.125 28.875],0
a6,1,0.29627,1.090909,[13  9] ; [20 24],[11. 11.] ; [22. 22.],0
b3,1,0.317497,0.99923,[2 9] ; [ 9 17],[3.27027027 7.72972973] ; [ 7.72972973 18.27027027],0
b2,1,0.317497,0.99923,[2 9] ; [ 9 17],[3.27027027 7.72972973] ; [ 7.72972973 18.27027027],0
v3,1,0.361935,0.831169,[ 4 18] ; [12 30],[ 5.5 16.5] ; [10.5 31.5],0
p10,1,0.383213,0.760369,[12 10] ; [19 25],[10.33333333 11.66666667] ; [20.66666667 23.33333333],0
r4,1,0.44193,0.591265,[17  5] ; [30 14],[15.66666667  6.33333333] ; [31.33333333 12.66666667],0
v4,1,0.446725,0.578947,[18  4] ; [39  5],[19.  3.] ; [38.  6.],0
p6,1,0.449653,0.571528,[ 6 16] ; [ 8 34],[ 4.8125 17.1875] ; [ 9.1875 32.8125],0
n4,1,0.460181,0.545455,[ 6 16] ; [16 28],[ 7.33333333 14.66666667] ; [14.66666667 29.33333333],0
n6,1,0.47614,0.507692,[12 10] ; [28 16],[13.33333333  8.66666667] ; [26.66666667 17.33333333],0
a8,1,0.502957,0.448692,[ 3 17] ; [ 4 39],[ 2.22222222 17.77777778] ; [ 4.77777778 38.22222222],0
p1,1,0.510625,0.432787,[ 1 21] ; [ 4 40],[ 1.66666667 20.33333333] ; [ 3.33333333 40.66666667],0
p11,1,0.575062,0.314286,[14  8] ; [31 13],[15.  7.] ; [30. 14.],0
p3,1,0.587261,0.294643,[ 9 13] ; [15 29],[ 8. 14.] ; [16. 28.],0
r1,1,0.587261,0.294643,[13  9] ; [29 15],[14.  8.] ; [28. 16.],0
p9,1,0.587261,0.294643,[15  7] ; [27 17],[14.  8.] ; [28. 16.],0
d2,1,0.593778,0.284483,[ 2 20] ; [ 6 38],[ 2.66666667 19.33333333] ; [ 5.33333333 38.66666667],0
d1,1,0.611627,0.257812,[ 1 21] ; [ 1 43],[ 0.66666667 21.33333333] ; [ 1.33333333 42.66666667],0
a2,1,0.611627,0.257812,[ 1 21] ; [ 1 43],[ 0.66666667 21.33333333] ; [ 1.33333333 42.66666667],0
n3,1,0.61209,0.257143,[2 1] ; [12  3],[2.33333333 0.66666667] ; [11.66666667  3.33333333],0
a4,1,0.640429,0.218182,[ 3 19] ; [ 8 36],[ 3.66666667 18.33333333] ; [ 7.33333333 36.66666667],0
r2,1,0.661603,0.191582,[17  5] ; [36  8],[17.66666667  4.33333333] ; [35.33333333  8.66666667],0
u3,1,0.693329,0.155505,[4 7] ; [10 13],[4.52941176 6.47058824] ; [ 9.47058824 13.52941176],0
u2,1,0.693329,0.155505,[7 4] ; [13 10],[6.47058824 4.52941176] ; [13.52941176  9.47058824],0
a1,1,0.742207,0.108197,[ 2 20] ; [ 3 41],[ 1.66666667 20.33333333] ; [ 3.33333333 40.66666667],0
