Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.801277,[36 28] ; [ 79 238],[19.3175853 44.6824147] ; [ 95.6824147 221.3175853],1
s6,1,2e-06,22.355557,[46 17] ; [128 188],[28.92348285 34.07651715] ; [145.07651715 170.92348285],1
s5,1,0.000367,12.691136,[25 35] ; [ 64 251],[14.24 45.76] ; [ 74.76 240.24],1
s7,1,0.000821,11.192563,[25 38] ; [ 61 243],[14.76294278 48.23705722] ; [ 71.23705722 232.76294278],1
s3,1,0.002837,8.909679,[36 29] ; [112 203],[25.31578947 39.68421053] ; [122.68421053 192.31578947],0
a8,1,0.011386,6.404084,[ 1 61] ; [ 37 259],[ 6.58100559 55.41899441] ; [ 31.41899441 264.58100559],0
b3,1,0.03186,4.605997,[ 5 29] ; [ 59 119],[10.26415094 23.73584906] ; [ 53.73584906 124.26415094],0
b2,1,0.03186,4.605997,[ 5 29] ; [ 59 119],[10.26415094 23.73584906] ; [ 53.73584906 124.26415094],0
a2,1,0.047409,3.930805,[ 5 60] ; [ 56 263],[10.32552083 54.67447917] ; [ 50.67447917 268.32552083],0
p5,1,0.108845,2.570917,[ 1 64] ; [ 21 296],[ 3.7434555 61.2565445] ; [ 18.2565445 298.7434555],0
p3,1,0.110244,2.550725,[29 36] ; [108 208],[23.37270341 41.62729659] ; [113.62729659 202.37270341],0
d3,1,0.147335,2.099627,[45 19] ; [193 125],[39.87434555 24.12565445] ; [198.12565445 119.87434555],0
n4,1,0.16601,1.918608,[38 27] ; [215 104],[42.82552083 22.17447917] ; [210.17447917 108.82552083],0
p6,1,0.17029,1.880385,[20 44] ; [ 72 239],[15.70133333 48.29866667] ; [ 76.29866667 234.70133333],0
u2,1,0.20342,1.617649,[11 19] ; [61 62],[14.11764706 15.88235294] ; [57.88235294 65.11764706],0
b1,1,0.205316,1.604151,[22 43] ; [135 184],[26.57552083 38.42447917] ; [130.42447917 188.57552083],0
p1,1,0.242299,1.36717,[ 2 63] ; [ 22 295],[ 4.08376963 60.91623037] ; [ 19.91623037 297.08376963],0
u1,1,0.267652,1.228744,[ 4 61] ; [ 34 285],[ 6.43229167 58.56770833] ; [ 31.56770833 287.43229167],0
a3,1,0.278867,1.172603,[35 30] ; [193 123],[38.8976378 26.1023622] ; [189.1023622 126.8976378],0
d4,1,0.28058,1.16428,[46 19] ; [245  73],[49.38642298 15.61357702] ; [241.61357702  76.38642298],0
p11,1,0.31867,0.994396,[42 23] ; [226  93],[45.36458333 19.63541667] ; [222.63541667  96.36458333],0
d2,1,0.325075,0.968419,[21 44] ; [123 194],[24.5026178 40.4973822] ; [119.4973822 197.5026178],0
d1,1,0.345169,0.891139,[26 39] ; [148 171],[29.453125 35.546875] ; [144.546875 174.453125],0
v2,1,0.356238,0.851111,[21 43] ; [120 188],[24.25806452 39.74193548] ; [116.74193548 191.25806452],0
n6,1,0.362444,0.829407,[51 14] ; [230  85],[48.06578947 16.93421053] ; [232.93421053  82.06578947],0
u3,1,0.371747,0.797816,[17 13] ; [59 65],[14.80519481 15.19480519] ; [61.19480519 62.80519481],0
n2,1,0.412673,0.671086,[16  5] ; [63 31],[14.42608696  6.57391304] ; [64.57391304 29.42608696],0
