Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.003387,8.586368,[16  3] ; [26 31],[10.5  8.5] ; [31.5 25.5],0
v2,1,0.00947,6.731935,[13  5] ; [20 34],[8.25 9.75] ; [24.75 29.25],0
a7,1,0.020469,5.371484,[16  3] ; [31 26],[11.75  7.25] ; [35.25 21.75],0
a3,1,0.06047,3.524436,[16  3] ; [34 22],[12.66666667  6.33333333] ; [37.33333333 18.66666667],0
d1,1,0.072033,3.23608,[10  9] ; [17 40],[ 6.75 12.25] ; [20.25 36.75],0
p9,1,0.072247,3.231215,[16  3] ; [34 21],[12.83783784  6.16216216] ; [37.16216216 17.83783784],0
p3,1,0.089772,2.87845,[ 7 11] ; [11 46],[ 4.32 13.68] ; [13.68 43.32],0
a4,1,0.099453,2.714286,[10  9] ; [18 39],[ 7. 12.] ; [21. 36.],0
r2,1,0.102089,2.672603,[18  1] ; [43 12],[15.66216216  3.33783784] ; [45.33783784  9.66216216],0
n4,1,0.112794,2.514629,[16  3] ; [37 20],[13.25  5.75] ; [39.75 17.25],0
v1,1,0.113658,2.502604,[11  8] ; [20 34],[ 8.06849315 10.93150685] ; [22.93150685 31.06849315],0
s5,1,0.129972,2.292837,[ 1 17] ; [12 45],[ 3.12 14.88] ; [ 9.88 47.12],0
r4,1,0.138246,2.197372,[14  5] ; [31 26],[11.25  7.75] ; [33.75 23.25],0
r1,1,0.138246,2.197372,[14  5] ; [31 26],[11.25  7.75] ; [33.75 23.25],0
p6,1,0.164705,1.930487,[ 7 11] ; [12 42],[ 4.75 13.25] ; [14.25 39.75],0
v4,1,0.172969,1.85702,[17  2] ; [41 14],[14.89189189  4.10810811] ; [43.10810811 11.89189189],0
r3,1,0.214687,1.539538,[16  3] ; [39 17],[13.93333333  5.06666667] ; [41.06666667 14.93333333],0
p8,1,0.228743,1.448664,[ 8 10] ; [16 39],[ 5.91780822 12.08219178] ; [18.08219178 36.91780822],0
s8,1,0.22891,1.447619,[ 7 12] ; [13 44],[ 5. 14.] ; [15. 42.],0
u1,1,0.235487,1.407407,[ 2 17] ; [ 2 55],[ 1. 18.] ; [ 3. 54.],0
p1,1,0.235487,1.407407,[ 2 17] ; [ 2 55],[ 1. 18.] ; [ 3. 54.],0
d3,1,0.259908,1.269249,[12  7] ; [27 29],[9.88 9.12] ; [29.12 26.88],0
d5,1,0.332723,0.938272,[14  5] ; [35 22],[12.25  6.75] ; [36.75 20.25],0
s6,1,0.352332,0.865041,[ 7 12] ; [28 29],[ 8.75 10.25] ; [26.25 30.75],0
p10,1,0.366491,0.815529,[12  6] ; [30 25],[10.35616438  7.64383562] ; [31.64383562 23.35616438],0
p12,1,0.382848,0.761536,[ 1 17] ; [ 1 56],[ 0.48 17.52] ; [ 1.52 55.48],0
d2,1,0.416253,0.66087,[ 9 10] ; [21 36],[ 7.5 11.5] ; [22.5 34.5],0
a8,1,0.440392,0.59526,[ 2 15] ; [11 44],[ 3.06944444 13.93055556] ; [ 9.93055556 45.06944444],0
s3,1,0.461735,0.541685,[ 8 10] ; [31 26],[9.36 8.64] ; [29.64 27.36],0
d4,1,0.462838,0.539022,[13  6] ; [33 23],[11.65333333  7.34666667] ; [34.34666667 21.65333333],0
p4,1,0.47431,0.511918,[ 8 10] ; [20 37],[ 6.72 11.28] ; [21.28 35.72],0
s2,1,0.489007,0.47871,[ 8 11] ; [19 38],[ 6.75 12.25] ; [20.25 36.75],0
b2,1,0.556901,0.345098,[2 8] ; [10 24],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
b3,1,0.556901,0.345098,[2 8] ; [10 24],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
s4,1,0.572281,0.318881,[ 2 17] ; [ 9 48],[ 2.75 16.25] ; [ 8.25 48.75],0
b1,1,0.591583,0.287879,[10  9] ; [34 23],[11.  8.] ; [33. 24.],0
b4,1,0.691001,0.158004,[ 9 10] ; [30 27],[9.75 9.25] ; [29.25 27.75],0
u2,1,0.737989,0.111902,[2 1] ; [13 10],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
u3,1,0.737989,0.111902,[1 2] ; [10 13],[1.26923077 1.73076923] ; [ 9.73076923 13.26923077],0
n3,1,0.765064,0.089304,[2 1] ; [15 11],[1.75862069 1.24137931] ; [15.24137931 10.75862069],0
s7,1,0.767673,0.087273,[ 6 12] ; [16 38],[ 5.5 12.5] ; [16.5 37.5],0
p5,1,0.776542,0.080559,[ 1 18] ; [ 4 52],[ 1.26666667 17.73333333] ; [ 3.73333333 52.26666667],0
p2,1,0.807702,0.059239,[11  7] ; [36 20],[11.43243243  6.56756757] ; [35.56756757 20.43243243],0
p7,1,0.810978,0.0572,[11  8] ; [29 24],[10.55555556  8.44444444] ; [29.44444444 23.55555556],0
a1,1,0.818854,0.05245,[ 2 17] ; [ 5 52],[ 1.75 17.25] ; [ 5.25 51.75],0
a2,1,0.850695,0.035431,[ 3 16] ; [ 8 49],[ 2.75 16.25] ; [ 8.25 48.75],0
a6,1,0.887903,0.019869,[13  6] ; [38 19],[12.75  6.25] ; [38.25 18.75],0
p11,1,0.893707,0.017853,[11  8] ; [32 25],[10.75  8.25] ; [32.25 24.75],0
b5,1,0.894298,0.017654,[10  9] ; [31 26],[10.25  8.75] ; [30.75 26.25],0
n1,1,1.0,0.0,[1 1] ; [13 13],[1. 1.] ; [13. 13.],0
