Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.001109,10.635627,[1 8] ; [30 13],[5.36538462 3.63461538] ; [25.63461538 17.36538462],0
d4,1,0.00236,9.245724,[4 5] ; [38  5],[7.26923077 1.73076923] ; [34.73076923  8.26923077],0
a7,1,0.016877,5.709126,[3 6] ; [32 11],[6.05769231 2.94230769] ; [28.94230769 14.05769231],0
d2,1,0.02781,4.839828,[1 8] ; [22 21],[3.98076923 5.01923077] ; [19.01923077 23.98076923],0
d3,1,0.05178,3.782853,[4 5] ; [33 10],[6.40384615 2.59615385] ; [30.59615385 12.40384615],0
a6,1,0.076443,3.138961,[4 5] ; [32 11],[6.23076923 2.76923077] ; [29.76923077 13.23076923],0
b5,1,0.081501,3.034721,[8 1] ; [25 18],[5.71153846 3.28846154] ; [27.28846154 15.71153846],0
r4,1,0.100762,2.693446,[6 3] ; [38  5],[7.61538462 1.38461538] ; [36.38461538  6.61538462],0
r2,1,0.122823,2.380952,[6 2] ; [39  3],[7.2 0.8] ; [37.8  4.2],0
n5,1,0.143766,2.137179,[2 7] ; [21 22],[3.98076923 5.01923077] ; [19.01923077 23.98076923],0
p1,1,0.158305,1.990346,[2 7] ; [ 3 40],[0.86538462 8.13461538] ; [ 4.13461538 38.86538462],0
p3,1,0.174629,1.842746,[6 3] ; [18 25],[4.15384615 4.84615385] ; [19.84615385 23.15384615],0
a4,1,0.196547,1.667845,[1 8] ; [14 29],[2.59615385 6.40384615] ; [12.40384615 30.59615385],0
p8,1,0.219643,1.506701,[6 3] ; [19 24],[4.32692308 4.67307692] ; [20.67307692 22.32692308],0
a3,1,0.246388,1.343669,[4 5] ; [28 15],[5.53846154 3.46153846] ; [26.46153846 16.53846154],0
v2,1,0.267257,1.230769,[3 6] ; [21 18],[4.5 4.5] ; [19.5 19.5],0
s4,1,0.289978,1.119724,[1 8] ; [12 31],[2.25 6.75] ; [10.75 32.25],0
s7,1,0.319719,0.990097,[6 2] ; [23 18],[4.73469388 3.26530612] ; [24.26530612 16.73469388],0
b2,1,0.350994,0.869862,[4 4] ; [10 21],[2.87179487 5.12820513] ; [11.12820513 19.87179487],0
b3,1,0.350994,0.869862,[4 4] ; [10 21],[2.87179487 5.12820513] ; [11.12820513 19.87179487],0
b4,1,0.376352,0.782586,[4 5] ; [26 17],[5.19230769 3.80769231] ; [24.80769231 18.19230769],0
u3,1,0.389424,0.740741,[4 1] ; [14  1],[4.5 0.5] ; [13.5  1.5],0
r3,1,0.449748,0.571288,[8 1] ; [41  2],[8.48076923 0.51923077] ; [40.51923077  2.48076923],0
s3,1,0.487416,0.482225,[7 2] ; [27 14],[6.12 2.88] ; [27.88 13.12],0
v3,1,0.487843,0.48128,[2 7] ; [13 25],[2.87234043 6.12765957] ; [12.12765957 25.87234043],0
a8,1,0.49222,0.471669,[2 7] ; [ 5 33],[1.34042553 7.65957447] ; [ 5.65957447 32.34042553],0
r1,1,0.525492,0.403101,[6 3] ; [33 10],[6.75 2.25] ; [32.25 10.75],0
v1,1,0.560743,0.33842,[6 3] ; [23 18],[5.22 3.78] ; [23.78 17.22],0
s6,1,0.570864,0.32124,[8 1] ; [34  8],[7.41176471 1.58823529] ; [34.58823529  7.41176471],0
p9,1,0.570864,0.32124,[8 1] ; [34  8],[7.41176471 1.58823529] ; [34.58823529  7.41176471],0
b1,1,0.635429,0.22477,[6 3] ; [25 18],[5.36538462 3.63461538] ; [25.63461538 17.36538462],0
a2,1,0.695978,0.15269,[1 8] ; [ 7 36],[1.38461538 7.61538462] ; [ 6.61538462 36.38461538],0
s2,1,0.788592,0.071898,[6 3] ; [26 16],[5.64705882 3.35294118] ; [26.35294118 15.64705882],0
p2,1,0.802271,0.062705,[7 2] ; [35  8],[7.26923077 1.73076923] ; [34.73076923  8.26923077],0
p10,1,0.827675,0.047387,[7 2] ; [34  8],[7.23529412 1.76470588] ; [33.76470588  8.23529412],0
n4,1,0.909933,0.012797,[4 5] ; [20 23],[4.15384615 4.84615385] ; [19.84615385 23.15384615],0
s5,1,0.96085,0.00241,[3 5] ; [15 26],[2.93877551 5.06122449] ; [15.06122449 25.93877551],0
p7,1,0.96085,0.00241,[5 3] ; [26 15],[5.06122449 2.93877551] ; [25.93877551 15.06122449],0
p6,1,0.964041,0.002032,[3 6] ; [14 29],[2.94230769 6.05769231] ; [14.05769231 28.94230769],0
a5,1,0.964041,0.002032,[6 3] ; [29 14],[6.05769231 2.94230769] ; [28.94230769 14.05769231],0
p4,1,0.988676,0.000201,[5 4] ; [24 19],[5.01923077 3.98076923] ; [23.98076923 19.01923077],0
