Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-06,20.371206,[17 24] ; [100  27],[28.55357143 12.44642857] ; [88.44642857 38.55357143],1
a6,1,1.6e-05,18.648742,[16 25] ; [96 31],[27.33333333 13.66666667] ; [84.66666667 42.33333333],1
p2,1,0.001593,9.96806,[23 18] ; [101  24],[30.62650602 10.37349398] ; [93.37349398 31.62650602],0
d5,1,0.00511,7.840215,[24 17] ; [102  25],[30.75 10.25] ; [95.25 31.75],0
p9,1,0.008196,6.990052,[24 16] ; [100  24],[30.24390244  9.75609756] ; [93.75609756 30.24390244],0
s6,1,0.015131,5.901105,[17 22] ; [83 44],[23.4939759 15.5060241] ; [76.5060241 50.4939759],0
a1,1,0.017105,5.685592,[ 3 38] ; [  1 126],[ 0.97619048 40.02380952] ; [  3.02380952 123.97619048],0
v2,1,0.017246,5.671162,[15 23] ; [72 45],[21.32903226 16.67096774] ; [65.67096774 51.32903226],0
d1,1,0.039049,4.258722,[15 26] ; [70 57],[20.74404762 20.25595238] ; [64.25595238 62.74404762],0
u1,1,0.039143,4.254654,[ 1 40] ; [ 18 109],[ 4.63690476 36.36309524] ; [ 14.36309524 112.63690476],0
p8,1,0.045752,3.990711,[13 28] ; [62 63],[18.52409639 22.47590361] ; [56.47590361 68.52409639],0
v4,1,0.048176,3.903821,[35  5] ; [121   5],[37.59036145  2.40963855] ; [118.40963855   7.59036145],0
n2,1,0.066872,3.358188,[14  2] ; [27 16],[11.11864407  4.88135593] ; [29.88135593 13.11864407],0
a4,1,0.083378,2.997797,[19 22] ; [40 87],[14.39880952 26.60119048] ; [44.60119048 82.39880952],0
p10,1,0.086244,2.943122,[24 16] ; [92 32],[28.29268293 11.70731707] ; [87.70731707 36.29268293],0
s1,1,0.140175,2.176032,[ 3 38] ; [  3 123],[ 1.47305389 39.52694611] ; [  4.52694611 121.47305389],0
a2,1,0.172063,1.864874,[ 4 37] ; [ 24 103],[ 6.83333333 34.16666667] ; [ 21.16666667 105.83333333],0
s8,1,0.255401,1.293519,[10 30] ; [44 83],[12.93413174 27.06586826] ; [41.06586826 85.93413174],0
d4,1,0.26566,1.239018,[31  9] ; [108  19],[33.29341317  6.70658683] ; [105.70658683  21.29341317],0
s2,1,0.270259,1.215432,[14 26] ; [57 70],[17.00598802 22.99401198] ; [53.99401198 73.00598802],0
v3,1,0.293757,1.102322,[ 9 30] ; [38 81],[11.60126582 27.39873418] ; [35.39873418 83.60126582],0
p3,1,0.29522,1.095662,[11 30] ; [45 81],[13.74850299 27.25149701] ; [42.25149701 83.74850299],0
s7,1,0.32078,0.985765,[10 28] ; [42 78],[12.50632911 25.49367089] ; [39.49367089 80.50632911],0
n5,1,0.336087,0.925302,[16 24] ; [40 86],[13.4939759 26.5060241] ; [42.5060241 83.4939759],0
r3,1,0.346269,0.887083,[37  4] ; [119   7],[38.2994012  2.7005988] ; [117.7005988   8.2994012],0
n6,1,0.361327,0.833275,[24 17] ; [83 42],[26.42771084 14.57228916] ; [80.57228916 44.42771084],0
v1,1,0.386881,0.748723,[21 20] ; [53 69],[18.61349693 22.38650307] ; [55.38650307 66.61349693],0
p11,1,0.415608,0.662702,[29 12] ; [81 46],[26.8452381 14.1547619] ; [83.1547619 43.8452381],0
a8,1,0.416048,0.661451,[ 3 36] ; [  5 110],[ 2.02597403 36.97402597] ; [  5.97402597 109.02597403],0
s4,1,0.434387,0.611066,[ 7 34] ; [29 98],[ 8.78571429 32.21428571] ; [27.21428571 99.78571429],0
a5,1,0.486322,0.484654,[23 18] ; [79 48],[24.89285714 16.10714286] ; [77.10714286 49.89285714],0
n1,1,0.500184,0.454545,[ 5 11] ; [10 34],[ 4. 12.] ; [11. 33.],0
r4,1,0.502738,0.449152,[36  5] ; [116  11],[37.0952381  3.9047619] ; [114.9047619  12.0952381],0
p4,1,0.503715,0.447101,[16 24] ; [58 68],[17.8313253 22.1686747] ; [56.1686747 69.8313253],0
s3,1,0.529436,0.395473,[19 22] ; [65 60],[20.74698795 20.25301205] ; [63.25301205 61.74698795],0
p12,1,0.53516,0.384585,[ 1 39] ; [  6 120],[ 1.68674699 38.31325301] ; [  5.31325301 120.68674699],0
b5,1,0.545283,0.365835,[23 18] ; [78 49],[24.64880952 16.35119048] ; [76.35119048 50.64880952],0
b1,1,0.611419,0.258114,[15 26] ; [41 86],[13.66666667 27.33333333] ; [42.33333333 84.66666667],0
a3,1,0.740436,0.109744,[27 14] ; [80 47],[26.11309524 14.88690476] ; [80.88690476 46.11309524],0
u3,1,0.747514,0.103632,[9 5] ; [31 14],[9.49152542 4.50847458] ; [30.50847458 14.49152542],0
b4,1,0.811876,0.056647,[24 17] ; [77 50],[24.64880952 16.35119048] ; [76.35119048 50.64880952],0
