Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000293,13.115832,[ 3 16] ; [23 11],[9.32075472 9.67924528] ; [16.67924528 17.32075472],1
d5,1,0.000624,11.7036,[ 3 16] ; [22 12],[ 8.96226415 10.03773585] ; [16.03773585 17.96226415],1
a3,1,0.019704,5.437908,[ 5 13] ; [21 13],[9. 9.] ; [17. 17.],0
p4,1,0.031752,4.611843,[ 2 17] ; [13 21],[ 5.37735849 13.62264151] ; [ 9.62264151 24.37735849],0
p10,1,0.038271,4.292929,[ 6 12] ; [21 12],[9.52941176 8.47058824] ; [17.47058824 15.52941176],0
u3,1,0.050483,3.825353,[ 1 13] ; [5 8],[ 3.11111111 10.88888889] ; [ 2.88888889 10.11111111],0
s2,1,0.052477,3.760492,[ 1 18] ; [ 9 24],[ 3.65384615 15.34615385] ; [ 6.34615385 26.65384615],0
a7,1,0.081333,3.038065,[ 7 12] ; [21 13],[10.03773585  8.96226415] ; [17.96226415 16.03773585],0
v2,1,0.118783,2.433291,[ 4 14] ; [15 19],[ 6.57692308 11.42307692] ; [12.42307692 21.57692308],0
s6,1,0.138709,2.192218,[ 5 14] ; [16 18],[ 7.52830189 11.47169811] ; [13.47169811 20.52830189],0
a6,1,0.138709,2.192218,[ 5 14] ; [16 18],[ 7.52830189 11.47169811] ; [13.47169811 20.52830189],0
n5,1,0.138709,2.192218,[14  5] ; [18 16],[11.47169811  7.52830189] ; [20.52830189 13.47169811],0
p9,1,0.145241,2.121533,[ 8 10] ; [21 11],[10.44  7.56] ; [18.56 13.44],0
s7,1,0.198887,1.650526,[ 2 16] ; [ 8 22],[ 3.75 14.25] ; [ 6.25 23.75],0
b4,1,0.242238,1.367523,[11  8] ; [25  9],[12.90566038  6.09433962] ; [23.09433962 10.90566038],0
n1,1,0.250478,1.320635,[4 8] ; [ 2 12],[2.76923077 9.23076923] ; [ 3.23076923 10.76923077],0
a4,1,0.269005,1.221815,[ 3 16] ; [10 24],[ 4.66037736 14.33962264] ; [ 8.33962264 25.66037736],0
s8,1,0.269005,1.221815,[ 3 16] ; [10 24],[ 4.66037736 14.33962264] ; [ 8.33962264 25.66037736],0
r3,1,0.278355,1.175104,[10  8] ; [24 10],[11.76923077  6.23076923] ; [22.23076923 11.76923077],0
