Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,25.011453,[189 149] ; [18 57],[169.40920097 168.59079903] ; [37.59079903 37.40920097],1
p3,1,1e-06,23.208859,[240 100] ; [31 44],[222.02409639 117.97590361] ; [48.97590361 26.02409639],1
p11,1,2.2e-05,17.984706,[313  28] ; [56 19],[302.47355769  38.52644231] ; [66.52644231  8.47355769],1
p4,1,2.9e-05,17.485651,[269  71] ; [42 33],[254.79518072  85.20481928] ; [56.20481928 18.79518072],1
s5,1,0.000146,14.418578,[146 182] ; [14 56],[131.85929648 196.14070352] ; [28.14070352 41.85929648],1
d5,1,0.001279,10.372949,[285  54] ; [51 24],[275.13043478  63.86956522] ; [60.86956522 14.13043478],0
r3,1,0.001597,9.963045,[329   9] ; [67  8],[324.08716707  13.91283293] ; [71.91283293  3.08716707],0
a3,1,0.002406,9.211047,[256  83] ; [43 31],[245.42615012  93.57384988] ; [53.57384988 20.42615012],0
n3,1,0.002788,8.940938,[41  9] ; [7 9],[36.36363636 13.63636364] ; [11.63636364  4.36363636],0
p2,1,0.002949,8.838907,[320  20] ; [63 12],[313.78313253  26.21686747] ; [69.21686747  5.78313253],0
p10,1,0.005259,7.788079,[324  16] ; [65 10],[318.69879518  21.30120482] ; [70.30120482  4.69879518],0
s7,1,0.011287,6.419484,[185 137] ; [30 43],[175.26582278 146.73417722] ; [39.73417722 33.26582278],0
s8,1,0.022331,5.219816,[182 156] ; [29 45],[173.10194175 164.89805825] ; [37.89805825 36.10194175],0
n4,1,0.023397,5.138768,[284  57] ; [54 21],[277.0625  63.9375] ; [60.9375 14.0625],0
r1,1,0.02604,4.953345,[289  50] ; [56 19],[282.5  56.5] ; [62.5 12.5],0
v2,1,0.045512,3.999548,[204 125] ; [36 37],[196.41791045 132.58208955] ; [43.58208955 29.41791045],0
s6,1,0.056442,3.638973,[239  89] ; [45 28],[232.29925187  95.70074813] ; [51.70074813 21.29925187],0
v3,1,0.064281,3.423324,[155 175] ; [26 48],[147.84653465 182.15346535] ; [33.15346535 40.84653465],0
