Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.859057,[75  2] ; [36 17],[65.74615385 11.25384615] ; [45.25384615  7.74615385],1
r4,1,1.3e-05,19.016835,[68 10] ; [28 25],[57.16030534 20.83969466] ; [38.83969466 14.16030534],1
v4,1,3e-05,17.390002,[74  3] ; [37 16],[65.74615385 11.25384615] ; [45.25384615  7.74615385],1
p11,1,0.000105,15.048527,[49 29] ; [15 38],[38.10687023 39.89312977] ; [25.89312977 27.10687023],1
r1,1,0.000815,11.207214,[66 12] ; [31 22],[57.75572519 20.24427481] ; [39.24427481 13.75572519],1
p4,1,0.001498,10.08091,[43 35] ; [14 38],[34.2 43.8] ; [22.8 29.2],0
p8,1,0.0023,9.292978,[33 45] ; [ 9 44],[25.00763359 52.99236641] ; [16.99236641 36.00763359],0
p7,1,0.003577,8.486771,[39 38] ; [13 39],[31.03875969 45.96124031] ; [20.96124031 31.03875969],0
p6,1,0.00654,7.395255,[18 57] ; [ 3 49],[12.4015748 62.5984252] ; [ 8.5984252 43.4015748],0
n4,1,0.006664,7.361262,[59 19] ; [28 25],[51.80152672 26.19847328] ; [35.19847328 17.80152672],0
a6,1,0.009534,6.719947,[57 21] ; [27 26],[50.01526718 27.98473282] ; [33.98473282 19.01526718],0
d3,1,0.017182,5.677733,[57 21] ; [28 25],[50.61068702 27.38931298] ; [34.38931298 18.61068702],0
s1,1,0.019188,5.484344,[ 2 75] ; [ 7 46],[ 5.33076923 71.66923077] ; [ 3.66923077 49.33076923],0
v1,1,0.019997,5.412164,[33 45] ; [12 41],[26.79389313 51.20610687] ; [18.20610687 34.79389313],0
s2,1,0.027428,4.863659,[31 44] ; [12 41],[25.1953125 49.8046875] ; [17.8046875 35.1953125],0
p3,1,0.033121,4.539502,[30 47] ; [11 41],[24.47286822 52.52713178] ; [16.52713178 35.47286822],0
s3,1,0.035868,4.403383,[38 39] ; [16 36],[32.23255814 44.76744186] ; [21.76744186 30.23255814],0
p10,1,0.049412,3.861297,[27 51] ; [10 43],[22.03053435 55.96946565] ; [14.96946565 38.03053435],0
n2,1,0.050856,3.812994,[15  7] ; [ 9 14],[11.73333333 10.26666667] ; [12.26666667 10.73333333],0
a7,1,0.062705,3.464362,[57 20] ; [31 22],[52.12307692 24.87692308] ; [35.87692308 17.12307692],0
r2,1,0.08462,2.973851,[72  6] ; [42  9],[68.93023256  9.06976744] ; [45.06976744  5.93023256],0
a1,1,0.096915,2.755595,[ 3 75] ; [ 6 47],[ 5.35877863 72.64122137] ; [ 3.64122137 49.35877863],0
n3,1,0.102284,2.669572,[15  9] ; [ 8 13],[12.26666667 11.73333333] ; [10.73333333 10.26666667],0
s8,1,0.10512,2.626092,[23 54] ; [ 9 43],[19.10077519 57.89922481] ; [12.89922481 39.10077519],0
a4,1,0.129681,2.296323,[30 48] ; [27 25],[34.2 43.8] ; [22.8 29.2],0
s7,1,0.132801,2.259455,[27 45] ; [12 37],[23.20661157 48.79338843] ; [15.79338843 33.20661157],0
b1,1,0.164117,1.935875,[42 36] ; [35 18],[45.84732824 32.15267176] ; [31.15267176 21.84732824],0
d2,1,0.170455,1.878941,[41 36] ; [34 18],[44.76744186 32.23255814] ; [30.23255814 21.76744186],0
b5,1,0.176408,1.827627,[49 29] ; [27 26],[45.2519084 32.7480916] ; [30.7480916 22.2519084],0
s6,1,0.196927,1.665018,[40 37] ; [21 31],[36.41085271 40.58914729] ; [24.58914729 27.41085271],0
p1,1,0.24054,1.377426,[ 7 70] ; [ 2 51],[ 5.33076923 71.66923077] ; [ 3.66923077 49.33076923],0
n5,1,0.262797,1.253961,[46 32] ; [26 27],[42.87022901 35.12977099] ; [29.12977099 23.87022901],0
a8,1,0.293461,1.103674,[ 6 61] ; [ 2 48],[ 4.58119658 62.41880342] ; [ 3.41880342 46.58119658],0
u1,1,0.300575,1.07164,[14 64] ; [ 6 47],[11.90839695 66.09160305] ; [ 8.09160305 44.90839695],0
a3,1,0.330247,0.94793,[48 30] ; [37 16],[50.61068702 27.38931298] ; [34.38931298 18.61068702],0
p5,1,0.363984,0.824101,[ 2 76] ; [ 3 50],[ 2.97709924 75.02290076] ; [ 2.02290076 50.97709924],0
s4,1,0.411375,0.674822,[14 61] ; [ 7 46],[12.3046875 62.6953125] ; [ 8.6953125 44.3046875],0
b2,1,0.424254,0.638502,[11 38] ; [10 23],[12.54878049 36.45121951] ; [ 8.45121951 24.54878049],0
b3,1,0.424254,0.638502,[11 38] ; [10 23],[12.54878049 36.45121951] ; [ 8.45121951 24.54878049],0
d4,1,0.448877,0.573486,[63 14] ; [46  7],[64.56153846 12.43846154] ; [44.43846154  8.56153846],0
n6,1,0.549135,0.358868,[52 26] ; [32 20],[50.4 27.6] ; [33.6 18.4],0
