Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.836187,[253  11] ; [4 3],[250.36162362  13.63837638] ; [6.63837638 0.36162362],1
p7,1,0.00463,8.018413,[180  75] ; [1 5],[176.83908046  78.16091954] ; [4.16091954 1.83908046],0
p11,1,0.008582,6.907856,[217  47] ; [3 4],[214.31734317  49.68265683] ; [5.68265683 1.31734317],0
p5,1,0.040835,4.182865,[ 38 222] ; [3 4],[ 39.92509363 220.07490637] ; [1.07490637 5.92509363],0
v3,1,0.047746,3.9189,[130 119] ; [1 6],[127.41796875 121.58203125] ; [3.58203125 3.41796875],0
v1,1,0.061883,3.486185,[160  93] ; [2 5],[157.63846154  95.36153846] ; [4.36153846 2.63846154],0
p1,1,0.07409,3.189992,[ 23 240] ; [2 5],[ 24.35185185 238.64814815] ; [0.64814815 6.35185185],0
s1,1,0.105926,2.613968,[  8 251] ; [1 6],[  8.76315789 250.23684211] ; [0.23684211 6.76315789],0
b3,1,0.117959,2.444213,[ 82 104] ; [1 6],[ 79.98963731 106.01036269] ; [3.01036269 3.98963731],0
b2,1,0.117959,2.444213,[ 82 104] ; [1 6],[ 79.98963731 106.01036269] ; [3.01036269 3.98963731],0
n1,1,0.126017,2.340897,[23 29] ; [4 1],[24.63157895 27.36842105] ; [2.36842105 2.63157895],0
b4,1,0.156237,2.010278,[156 108] ; [6 1],[157.81549815 106.18450185] ; [4.18450185 2.81549815],0
b5,1,0.196325,1.669506,[163 101] ; [6 1],[164.63468635  99.36531365] ; [4.36531365 2.63468635],0
r1,1,0.229488,1.444031,[229  34] ; [5 2],[227.93333333  35.06666667] ; [6.06666667 0.93333333],0
v2,1,0.273968,1.196769,[161  94] ; [3 4],[159.61832061  95.38167939] ; [4.38167939 2.61832061],0
p3,1,0.28051,1.164619,[166  98] ; [3 4],[164.63468635  99.36531365] ; [4.36531365 2.63468635],0
p2,1,0.296598,1.089427,[226  38] ; [5 2],[225.03321033  38.96678967] ; [5.96678967 1.03321033],0
s6,1,0.347282,0.883366,[219  40] ; [5 2],[218.10526316  40.89473684] ; [5.89473684 1.10526316],0
a6,1,0.348422,0.879195,[182  81] ; [6 1],[183.12592593  79.87407407] ; [4.87407407 2.12592593],0
p4,1,0.394584,0.724771,[189  74] ; [4 3],[187.9962963  75.0037037] ; [5.0037037 1.9962963],0
a3,1,0.410822,0.676421,[219  44] ; [5 2],[218.19259259  44.80740741] ; [5.80740741 1.19259259],0
u3,1,0.417355,0.657751,[34 11] ; [1 1],[33.5106383 11.4893617] ; [1.4893617 0.5106383],0
u2,1,0.522957,0.408057,[32 13] ; [1 1],[31.59574468 13.40425532] ; [1.40425532 0.59574468],0
s4,1,0.647687,0.208829,[ 56 206] ; [2 5],[ 56.49070632 205.50929368] ; [1.50929368 5.49070632],0
a2,1,0.676986,0.173539,[ 93 171] ; [3 4],[ 93.5202952 170.4797048] ; [2.4797048 4.5202952],0
p6,1,0.746651,0.104367,[128 133] ; [3 4],[127.57835821 133.42164179] ; [3.42164179 3.57835821],0
n3,1,0.78599,0.073724,[35 18] ; [3 2],[34.72413793 18.27586207] ; [3.27586207 1.72413793],0
n6,1,0.819737,0.051931,[231  30] ; [6 1],[230.80970149  30.19029851] ; [6.19029851 0.80970149],0
p10,1,0.822836,0.050131,[230  30] ; [6 1],[229.81273408  30.18726592] ; [6.18726592 0.81273408],0
s2,1,0.824995,0.048896,[196  65] ; [5 2],[195.75  65.25] ; [5.25 1.75],0
p8,1,0.836346,0.042671,[158 101] ; [4 3],[157.73684211 101.26315789] ; [4.26315789 2.73684211],0
p12,1,0.897503,0.016594,[ 33 228] ; [1 6],[ 33.1119403 227.8880597] ; [0.8880597 6.1119403],0
s5,1,0.899308,0.016011,[118 131] ; [3 3],[118.15294118 130.84705882] ; [2.84705882 3.15294118],0
a5,1,0.912765,0.012001,[230  34] ; [6 1],[229.90405904  34.09594096] ; [6.09594096 0.90405904],0
b1,1,0.917609,0.010701,[108 156] ; [3 4],[108.13284133 155.86715867] ; [2.86715867 4.13284133],0
u1,1,0.921588,0.009689,[ 80 184] ; [2 5],[ 79.88191882 184.11808118] ; [2.11808118 4.88191882],0
d3,1,0.960611,0.002439,[228  36] ; [6 1],[227.95571956  36.04428044] ; [6.04428044 0.95571956],0
a4,1,0.981752,0.000523,[152 112] ; [4 3],[151.9704797 112.0295203] ; [4.0295203 2.9704797],0
