Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.3e-05,16.351844,[11 43] ; [24 15],[20.32258065 33.67741935] ; [14.67741935 24.32258065],1
s6,1,5.6e-05,16.228492,[24 28] ; [34  5],[33.14285714 18.85714286] ; [24.85714286 14.14285714],1
s4,1,0.000107,15.005866,[ 2 53] ; [13 26],[ 8.77659574 46.22340426] ; [ 6.22340426 32.77659574],1
s2,1,0.000953,10.917184,[16 38] ; [25 14],[23.80645161 30.19354839] ; [17.19354839 21.80645161],1
s3,1,0.00272,8.986651,[19 35] ; [26 13],[26.12903226 27.87096774] ; [18.87096774 20.12903226],0
u3,1,0.011764,6.346154,[10 10] ; [12  1],[13.33333333  6.66666667] ; [8.66666667 4.33333333],0
a2,1,0.015117,5.90274,[ 5 50] ; [11 28],[ 9.36170213 45.63829787] ; [ 6.63829787 32.36170213],0
u2,1,0.016283,5.772006,[10 10] ; [11  1],[13.125  6.875] ; [7.875 4.125],0
u1,1,0.025235,5.00766,[ 3 52] ; [ 8 31],[ 6.43617021 48.56382979] ; [ 4.56382979 34.43617021],0
r4,1,0.06502,3.404471,[41 14] ; [35  4],[44.46808511 10.53191489] ; [31.53191489  7.46808511],0
p6,1,0.077353,3.119666,[12 40] ; [15 22],[15.7752809 36.2247191] ; [11.2247191 25.7752809],0
s5,1,0.080301,3.058795,[13 38] ; [16 21],[16.80681818 34.19318182] ; [12.19318182 24.80681818],0
p10,1,0.088204,2.906852,[31 24] ; [28 10],[34.89247312 20.10752688] ; [24.10752688 13.89247312],0
a6,1,0.090063,2.873251,[30 25] ; [28 11],[33.93617021 21.06382979] ; [24.06382979 14.93617021],0
d2,1,0.131967,2.269217,[17 38] ; [18 21],[20.4787234 34.5212766] ; [14.5212766 24.4787234],0
p9,1,0.155653,2.015955,[38 17] ; [32  7],[40.95744681 14.04255319] ; [29.04255319  9.95744681],0
d3,1,0.16939,1.888334,[35 20] ; [30  9],[38.03191489 16.96808511] ; [26.96808511 12.03191489],0
a5,1,0.16939,1.888334,[35 20] ; [30  9],[38.03191489 16.96808511] ; [26.96808511 12.03191489],0
d5,1,0.17276,1.858826,[40 15] ; [33  6],[42.71276596 12.28723404] ; [30.28723404  8.71276596],0
a1,1,0.202152,1.626757,[ 5 50] ; [ 1 38],[ 3.5106383 51.4893617] ; [ 2.4893617 36.5106383],0
p12,1,0.202152,1.626757,[ 5 50] ; [ 1 38],[ 3.5106383 51.4893617] ; [ 2.4893617 36.5106383],0
b1,1,0.206076,1.598778,[24 31] ; [12 27],[21.06382979 33.93617021] ; [14.93617021 24.06382979],0
n1,1,0.319499,0.990997,[ 3 10] ; [5 7],[4.16 8.84] ; [3.84 8.16],0
n3,1,0.319499,0.990997,[10  3] ; [7 5],[8.84 4.16] ; [8.16 3.84],0
p1,1,0.325452,0.96691,[ 5 50] ; [ 6 32],[ 6.50537634 48.49462366] ; [ 4.49462366 33.50537634],0
p5,1,0.329327,0.951541,[ 4 51] ; [ 1 37],[ 2.95698925 52.04301075] ; [ 2.04301075 35.95698925],0
b5,1,0.341032,0.906547,[39 16] ; [24 15],[36.86170213 18.13829787] ; [26.13829787 12.86170213],0
a4,1,0.439314,0.598073,[27 28] ; [16 23],[25.15957447 29.84042553] ; [17.84042553 21.15957447],0
d4,1,0.448154,0.575315,[47  8] ; [31  8],[45.63829787  9.36170213] ; [32.36170213  6.63829787],0
r3,1,0.470884,0.519902,[50  5] ; [37  2],[50.90425532  4.09574468] ; [36.09574468  2.90425532],0
v4,1,0.476586,0.506665,[49  5] ; [36  2],[49.89130435  4.10869565] ; [35.10869565  2.89130435],0
b3,1,0.476897,0.50595,[10 16] ; [13 14],[11.28301887 14.71698113] ; [11.71698113 15.28301887],0
b2,1,0.476897,0.50595,[10 16] ; [13 14],[11.28301887 14.71698113] ; [11.71698113 15.28301887],0
a8,1,0.495547,0.46446,[ 4 48] ; [ 4 29],[ 4.89411765 47.10588235] ; [ 3.10588235 29.89411765],0
v2,1,0.534394,0.386029,[35 19] ; [21 15],[33.6 20.4] ; [22.4 13.6],0
b4,1,0.562646,0.335144,[32 23] ; [25 14],[33.35106383 21.64893617] ; [23.64893617 15.35106383],0
d1,1,0.577351,0.310536,[25 30] ; [20 19],[26.32978723 28.67021277] ; [18.67021277 20.32978723],0
a7,1,0.578093,0.309328,[38 17] ; [29 10],[39.20212766 15.79787234] ; [27.79787234 11.20212766],0
n4,1,0.598605,0.277105,[21 34] ; [17 22],[22.23404255 32.76595745] ; [15.76595745 23.23404255],0
p3,1,0.649062,0.207085,[21 33] ; [17 22],[22.06451613 31.93548387] ; [15.93548387 23.06451613],0
p8,1,0.669654,0.182007,[25 30] ; [16 23],[23.9893617 31.0106383] ; [17.0106383 21.9893617],0
n2,1,0.688921,0.160256,[10  3] ; [10  2],[10.4  2.6] ; [9.6 2.4],0
