Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.844031,[12 22] ; [84 13],[24.91603053  9.08396947] ; [71.08396947 25.91603053],1
r3,1,7.1e-05,15.77644,[22 12] ; [89  7],[29.03076923  4.96923077] ; [81.96923077 14.03076923],1
r2,1,0.000105,15.050214,[23 10] ; [91  5],[29.1627907  3.8372093] ; [84.8372093 11.1627907],1
p2,1,0.000815,11.207214,[12 22] ; [66 31],[20.24427481 13.75572519] ; [57.75572519 39.24427481],1
n4,1,0.018536,5.544769,[17 17] ; [70 27],[22.58015267 11.41984733] ; [64.41984733 32.58015267],0
v4,1,0.022778,5.185363,[25  9] ; [86 10],[29.03076923  4.96923077] ; [81.96923077 14.03076923],0
s6,1,0.04211,4.13077,[11 23] ; [50 45],[16.07751938 17.92248062] ; [44.92248062 50.07751938],0
v3,1,0.058035,3.592667,[ 6 28] ; [33 61],[10.359375 23.640625] ; [28.640625 65.359375],0
b2,1,0.128553,2.309896,[ 8 13] ; [13 48],[ 5.37804878 15.62195122] ; [15.62195122 45.37804878],0
b3,1,0.128553,2.309896,[ 8 13] ; [13 48],[ 5.37804878 15.62195122] ; [15.62195122 45.37804878],0
p3,1,0.130596,2.285404,[ 7 26] ; [34 62],[10.48837209 22.51162791] ; [30.51162791 65.48837209],0
b5,1,0.132497,2.262997,[16 18] ; [60 37],[19.72519084 14.27480916] ; [56.27480916 40.72519084],0
u3,1,0.136349,2.218689,[6 7] ; [23 10],[8.19565217 4.80434783] ; [20.80434783 12.19565217],0
n5,1,0.13969,2.181375,[15 19] ; [57 40],[18.6870229 15.3129771] ; [53.3129771 43.6870229],0
b4,1,0.142892,2.146532,[18 16] ; [65 32],[21.54198473 12.45801527] ; [61.45801527 35.54198473],0
n6,1,0.161353,1.961499,[18 15] ; [66 31],[21.32307692 11.67692308] ; [62.67692308 34.32307692],0
s1,1,0.173255,1.854554,[ 4 29] ; [ 5 92],[ 2.28461538 30.71538462] ; [ 6.71538462 90.28461538],0
d4,1,0.173877,1.849195,[26  8] ; [83 13],[28.50769231  5.49230769] ; [80.49230769 15.50769231],0
n3,1,0.174862,1.840756,[ 6 10] ; [17 12],[8.17777778 7.82222222] ; [14.82222222 14.17777778],0
s7,1,0.182502,1.777133,[ 7 24] ; [32 58],[ 9.99173554 21.00826446] ; [29.00826446 60.99173554],0
a1,1,0.189794,1.719219,[ 4 30] ; [ 5 92],[ 2.33587786 31.66412214] ; [ 6.66412214 90.33587786],0
a7,1,0.198158,1.655897,[20 14] ; [68 28],[23.01538462 10.98461538] ; [64.98461538 31.01538462],0
u1,1,0.224751,1.473776,[ 3 31] ; [17 80],[ 5.19083969 28.80916031] ; [14.80916031 82.19083969],0
p10,1,0.24916,1.328005,[ 7 27] ; [30 67],[ 9.60305344 24.39694656] ; [27.39694656 69.60305344],0
s3,1,0.249726,1.324838,[11 22] ; [43 53],[13.81395349 19.18604651] ; [40.18604651 55.81395349],0
s8,1,0.260029,1.2686,[ 6 28] ; [26 69],[ 8.43410853 25.56589147] ; [23.56589147 71.43410853],0
a2,1,0.270365,1.214894,[ 5 29] ; [23 74],[ 7.26717557 26.73282443] ; [20.73282443 76.26717557],0
p11,1,0.297922,1.083473,[14 20] ; [50 47],[16.61068702 17.38931298] ; [47.38931298 49.61068702],0
s2,1,0.304811,1.053026,[ 9 25] ; [34 60],[11.421875 22.578125] ; [31.578125 62.421875],0
a8,1,0.306442,1.04595,[ 1 32] ; [ 7 77],[ 2.25641026 30.74358974] ; [ 5.74358974 78.25641026],0
n1,1,0.312121,1.021678,[ 3 11] ; [11 19],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],0
