Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,142.124061,[211  19] ; [31 76],[165.16320475  64.83679525] ; [76.83679525 30.16320475],1
s6,1,0.0,42.37157,[207  21] ; [66 42],[185.25  42.75] ; [87.75 20.25],1
s5,1,0.0,26.241151,[109 113] ; [21 86],[ 87.72036474 134.27963526] ; [42.27963526 64.72036474],1
s8,1,9.2e-05,15.294085,[176  55] ; [59 48],[160.60650888  70.39349112] ; [74.39349112 32.60650888],1
n5,1,0.00244,9.185133,[200  29] ; [80 28],[190.26706231  38.73293769] ; [89.73293769 18.26706231],0
r2,1,0.002668,9.021865,[226   4] ; [96  9],[221.07462687   8.92537313] ; [100.92537313   4.07462687],0
p9,1,0.008572,6.909813,[213  19] ; [87 19],[205.91715976  26.08284024] ; [94.08284024 11.91715976],0
v4,1,0.008641,6.895592,[226   4] ; [100   8],[221.83431953   8.16568047] ; [104.16568047   3.83431953],0
r4,1,0.012307,6.266031,[218  15] ; [92 16],[211.81818182  21.18181818] ; [98.18181818  9.81818182],0
v1,1,0.021401,5.29387,[145  79] ; [54 51],[135.4893617  88.5106383] ; [63.5106383 41.4893617],0
n4,1,0.022057,5.241271,[207  24] ; [87 21],[200.33628319  30.66371681] ; [93.66371681 14.33628319],0
r1,1,0.027691,4.847222,[203  28] ; [85 23],[196.24778761  34.75221239] ; [91.75221239 16.24778761],0
d1,1,0.028291,4.810268,[156  77] ; [59 49],[146.90615836  86.09384164] ; [68.09384164 39.90615836],0
u4,1,0.033243,4.533221,[ 14 219] ; [  1 107],[ 10.24926686 222.75073314] ; [  4.75073314 103.24926686],0
a6,1,0.047531,3.926502,[143  87] ; [79 29],[151.06508876  78.93491124] ; [70.93491124 37.06508876],0
a1,1,0.060096,3.534736,[ 19 214] ; [  3 105],[ 15.03225806 217.96774194] ; [  6.96774194 101.03225806],0
r3,1,0.0812,3.040715,[226   6] ; [101   7],[223.12941176   8.87058824] ; [103.87058824   4.12941176],0
s1,1,0.087328,2.922946,[ 14 216] ; [  2 106],[ 10.88757396 219.11242604] ; [  5.11242604 102.88757396],0
v2,1,0.10734,2.592952,[150  75] ; [61 45],[143.42900302  81.57099698] ; [67.57099698 38.42900302],0
