Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.006688,7.354842,[ 5 18] ; [6 2],[ 8.16129032 14.83870968] ; [2.83870968 5.16129032],0
p5,1,0.015983,5.8047,[ 1 22] ; [3 5],[ 2.96774194 20.03225806] ; [1.03225806 6.96774194],0
s6,1,0.04985,3.846495,[10 13] ; [6 1],[12.26666667 10.73333333] ; [3.73333333 3.26666667],0
b3,1,0.051927,3.778127,[ 2 11] ; [4 3],[3.9 9.1] ; [2.1 4.9],0
b2,1,0.051927,3.778127,[ 2 11] ; [4 3],[3.9 9.1] ; [2.1 4.9],0
s7,1,0.053337,3.733333,[ 4 17] ; [4 3],[ 6. 15.] ; [2. 5.],0
a3,1,0.077241,3.12202,[12 11] ; [7 1],[14.09677419  8.90322581] ; [4.90322581 3.09677419],0
b4,1,0.114709,2.488118,[13 10] ; [7 1],[14.83870968  8.16129032] ; [5.16129032 2.83870968],0
n4,1,0.114709,2.488118,[13 10] ; [7 1],[14.83870968  8.16129032] ; [5.16129032 2.83870968],0
d1,1,0.129305,2.300834,[ 5 18] ; [4 4],[ 6.67741935 16.32258065] ; [2.32258065 5.67741935],0
d5,1,0.165167,1.926268,[14  9] ; [7 1],[15.58064516  7.41935484] ; [5.41935484 2.58064516],0
p3,1,0.171166,1.872701,[ 8 15] ; [5 3],[ 9.64516129 13.35483871] ; [3.35483871 4.64516129],0
p10,1,0.207196,1.590909,[14  8] ; [7 1],[15.4  6.6] ; [5.6 2.4],0
d4,1,0.231705,1.430363,[15  8] ; [7 1],[16.32258065  6.67741935] ; [5.67741935 2.32258065],0
a4,1,0.231705,1.430363,[ 8 15] ; [1 7],[ 6.67741935 16.32258065] ; [2.32258065 5.67741935],0
b5,1,0.252595,1.308892,[14  9] ; [3 5],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
r1,1,0.259754,1.270067,[12 11] ; [6 2],[13.35483871  9.64516129] ; [4.64516129 3.35483871],0
p8,1,0.290347,1.118012,[ 8 15] ; [4 3],[ 9.2 13.8] ; [2.8 4.2],0
s3,1,0.294525,1.098823,[ 9 13] ; [5 3],[10.26666667 11.73333333] ; [3.73333333 4.26666667],0
a8,1,0.305507,1.05,[ 2 18] ; [2 6],[ 2.85714286 17.14285714] ; [1.14285714 6.85714286],0
p6,1,0.319135,0.99249,[ 7 16] ; [4 4],[ 8.16129032 14.83870968] ; [2.83870968 5.16129032],0
p12,1,0.356038,0.851819,[ 1 22] ; [1 6],[ 1.53333333 21.46666667] ; [0.46666667 6.53333333],0
s2,1,0.360789,0.835146,[ 7 15] ; [4 4],[ 8.06666667 13.93333333] ; [2.93333333 5.06666667],0
p9,1,0.397559,0.715697,[16  6] ; [7 1],[16.86666667  5.13333333] ; [6.13333333 1.86666667],0
s4,1,0.428363,0.627258,[ 3 20] ; [2 6],[ 3.70967742 19.29032258] ; [1.29032258 6.70967742],0
a5,1,0.47183,0.517688,[14  9] ; [6 2],[14.83870968  8.16129032] ; [5.16129032 2.83870968],0
r2,1,0.474381,0.511753,[11 12] ; [5 3],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
a6,1,0.474381,0.511753,[11 12] ; [5 3],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
r3,1,0.535724,0.383523,[17  5] ; [7 1],[17.6  4.4] ; [6.4 1.6],0
s8,1,0.540158,0.375247,[ 6 17] ; [3 5],[ 6.67741935 16.32258065] ; [2.32258065 5.67741935],0
r4,1,0.591507,0.287997,[ 9 14] ; [4 4],[ 9.64516129 13.35483871] ; [3.35483871 4.64516129],0
n5,1,0.610163,0.259938,[15  8] ; [6 2],[15.58064516  7.41935484] ; [5.41935484 2.58064516],0
p11,1,0.610163,0.259938,[15  8] ; [6 2],[15.58064516  7.41935484] ; [5.41935484 2.58064516],0
v1,1,0.613195,0.255549,[11 12] ; [3 5],[10.38709677 12.61290323] ; [3.61290323 4.38709677],0
d3,1,0.613195,0.255549,[12 11] ; [5 3],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
a7,1,0.613195,0.255549,[12 11] ; [5 3],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
b1,1,0.613195,0.255549,[12 11] ; [5 3],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
n6,1,0.718567,0.12987,[15  7] ; [6 2],[15.4  6.6] ; [5.6 2.4],0
v3,1,0.745939,0.104975,[ 4 19] ; [1 7],[ 3.70967742 19.29032258] ; [1.29032258 6.70967742],0
p4,1,0.749518,0.101936,[13 10] ; [4 4],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
v2,1,0.915598,0.011232,[11 12] ; [4 4],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
p7,1,0.915598,0.011232,[11 12] ; [4 4],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
