Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.099002,[205  67] ; [27 35],[188.93413174  83.06586826] ; [43.06586826 18.93413174],1
p8,1,0.000107,15.011233,[179  98] ; [24 39],[165.38529412 111.61470588] ; [37.61470588 25.38529412],1
p10,1,0.001286,10.362097,[253  27] ; [46 15],[245.51319648  34.48680352] ; [53.48680352  7.51319648],0
r3,1,0.001505,10.072934,[278   5] ; [57  6],[274.00289017   8.99710983] ; [60.99710983  2.00289017],0
p9,1,0.003129,8.730964,[263  18] ; [50 11],[257.17251462  23.82748538] ; [55.82748538  5.17251462],0
n4,1,0.010738,6.508159,[243  40] ; [45 17],[236.24347826  46.75652174] ; [51.75652174 10.24347826],0
b1,1,0.015736,5.832161,[106 177] ; [34 29],[114.50867052 168.49132948] ; [25.49132948 37.50867052],0
p4,1,0.021108,5.317857,[199  83] ; [35 28],[191.26956522  90.73043478] ; [42.73043478 20.26956522],0
a5,1,0.022777,5.185429,[237  46] ; [45 18],[230.65317919  52.34682081] ; [51.34682081 11.65317919],0
p2,1,0.02556,4.985514,[246  36] ; [48 15],[240.31304348  41.68695652] ; [53.68695652  9.31304348],0
s3,1,0.026615,4.915592,[214  64] ; [40 23],[207.07331378  70.92668622] ; [46.92668622 16.07331378],0
n5,1,0.044532,4.036267,[231  50] ; [44 18],[225.29154519  55.70845481] ; [49.70845481 12.29154519],0
u1,1,0.047969,3.911083,[ 65 218] ; [22 41],[ 71.15895954 211.84104046] ; [15.84104046 47.15895954],0
d2,1,0.053742,3.720683,[165 118] ; [45 18],[171.76300578 111.23699422] ; [38.23699422 24.76300578],0
v3,1,0.065405,3.394732,[141 129] ; [23 36],[134.58966565 135.41033435] ; [29.41033435 29.58966565],0
n1,1,0.06947,3.295496,[18 32] ; [14 10],[21.62162162 28.37837838] ; [10.37837838 13.62162162],0
s4,1,0.09595,2.77161,[ 50 231] ; [17 46],[ 54.72965116 226.27034884] ; [12.27034884 50.72965116],0
s5,1,0.122652,2.383124,[118 150] ; [32 26],[123.31288344 144.68711656] ; [26.68711656 31.31288344],0
n6,1,0.128291,2.313064,[251  31] ; [50 11],[247.46938776  34.53061224] ; [53.53061224  7.46938776],0
s7,1,0.134968,2.234417,[209  65] ; [47  8],[213.20364742  60.79635258] ; [42.79635258 12.20364742],0
d5,1,0.174093,1.847342,[254  29] ; [60  3],[256.8265896  26.1734104] ; [57.1734104  5.8265896],0
a4,1,0.228954,1.447347,[138 145] ; [36 27],[142.31791908 140.68208092] ; [31.68208092 31.31791908],0
b2,1,0.235063,1.409959,[ 95 108] ; [13 23],[ 91.73221757 111.26778243] ; [16.26778243 19.73221757],0
b3,1,0.235063,1.409959,[ 95 108] ; [13 23],[ 91.73221757 111.26778243] ; [16.26778243 19.73221757],0
p1,1,0.237242,1.396908,[ 23 259] ; [ 8 54],[ 25.4127907 256.5872093] ; [ 5.5872093 56.4127907],0
p3,1,0.240507,1.377618,[171 112] ; [33 30],[166.85549133 116.14450867] ; [37.14450867 25.85549133],0
a2,1,0.268684,1.223451,[ 79 204] ; [22 41],[ 82.60982659 200.39017341] ; [18.39017341 44.60982659],0
b4,1,0.27489,1.192181,[163 120] ; [41 22],[166.85549133 116.14450867] ; [37.14450867 25.85549133],0
b5,1,0.283153,1.151895,[168 115] ; [42 21],[171.76300578 111.23699422] ; [38.23699422 24.76300578],0
p12,1,0.293166,1.105026,[ 36 244] ; [ 5 57],[ 33.56725146 246.43274854] ; [ 7.43274854 54.56725146],0
u3,1,0.294894,1.097143,[36 14] ; [12  2],[37.5 12.5] ; [10.5  3.5],0
s6,1,0.333274,0.936136,[234  46] ; [54  7],[236.48093842  43.51906158] ; [51.51906158  9.48093842],0
a3,1,0.368031,0.8103,[233  49] ; [49 14],[230.50434783  51.49565217] ; [51.49565217 11.50434783],0
a8,1,0.37119,0.799676,[ 46 214] ; [ 7 48],[ 43.74603175 216.25396825] ; [ 9.25396825 45.74603175],0
r4,1,0.371451,0.798804,[265  18] ; [57  6],[263.3699422  19.6300578] ; [58.6300578  4.3699422],0
v1,1,0.374067,0.790111,[175  98] ; [36 26],[171.94925373 101.05074627] ; [39.05074627 22.94925373],0
r1,1,0.399035,0.711233,[239  43] ; [56  7],[241.13043478  40.86956522] ; [53.86956522  9.13043478],0
p5,1,0.412244,0.672319,[ 47 231] ; [ 8 55],[ 44.83870968 233.16129032] ; [10.16129032 52.83870968],0
v4,1,0.4926,0.470841,[273   9] ; [62  1],[273.82608696   8.17391304] ; [61.17391304  1.82608696],0
s2,1,0.513784,0.426353,[202  78] ; [48 15],[204.08163265  75.91836735] ; [45.91836735 17.08163265],0
d1,1,0.604743,0.267902,[216  67] ; [50 13],[217.56647399  65.43352601] ; [48.43352601 14.56647399],0
u4,1,0.616941,0.250191,[ 13 270] ; [ 2 61],[ 12.26878613 270.73121387] ; [ 2.73121387 60.26878613],0
u2,1,0.622544,0.242308,[35 15] ; [10  3],[35.71428571 14.28571429] ; [9.28571429 3.71428571],0
a1,1,0.630813,0.23096,[ 18 265] ; [ 3 60],[ 17.17630058 265.82369942] ; [ 3.82369942 59.17630058],0
d3,1,0.645909,0.211097,[217  66] ; [50 13],[218.38439306  64.61560694] ; [48.61560694 14.38439306],0
v2,1,0.681069,0.168925,[172  99] ; [37 24],[170.59939759 100.40060241] ; [38.40060241 22.59939759],0
p6,1,0.716747,0.131631,[135 143] ; [29 34],[133.70087977 144.29912023] ; [30.29912023 32.70087977],0
a7,1,0.739754,0.110343,[200  82] ; [46 17],[201.07826087  80.92173913] ; [44.92173913 18.07826087],0
r2,1,0.747724,0.103454,[268  11] ; [59  3],[267.54545455  11.45454545] ; [59.45454545  2.54545455],0
a6,1,0.767527,0.087386,[187  95] ; [43 20],[188.  94.] ; [42. 21.],0
s1,1,0.869468,0.027006,[ 10 268] ; [ 2 61],[  9.7829912 268.2170088] ; [ 2.2170088 60.7829912],0
n2,1,0.982649,0.000473,[36 15] ; [17  7],[36.04 14.96] ; [16.96  7.04],0
n3,1,1.0,0.0,[34 17] ; [16  8],[34. 17.] ; [16.  8.],0
