Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7e-06,20.167924,[58 41] ; [194  43],[74.25 24.75] ; [177.75  59.25],1
p3,1,2.3e-05,17.960822,[47 52] ; [170  67],[63.9375 35.0625] ; [153.0625  83.9375],1
a6,1,0.000266,13.297357,[87 11] ; [165  71],[73.94011976 24.05988024] ; [178.05988024  57.94011976],1
p2,1,0.000542,11.964443,[81 17] ; [224  13],[89.2238806  8.7761194] ; [215.7761194  21.2238806],1
p6,1,0.000656,11.611309,[36 62] ; [135 101],[50.17365269 47.82634731] ; [120.82634731 115.17365269],1
p11,1,0.000829,11.176001,[74 25] ; [212  26],[84.01780415 14.98219585] ; [201.98219585  36.01780415],1
n6,1,0.00246,9.17046,[78 20] ; [214  20],[86.19277108 11.80722892] ; [205.80722892  28.19277108],0
v1,1,0.002773,8.951442,[47 50] ; [154  79],[59.08181818 37.91818182] ; [141.91818182  91.08181818],0
p5,1,0.00299,8.813258,[ 6 92] ; [ 45 193],[14.875 83.125] ; [ 36.125 201.875],0
a2,1,0.004105,8.236556,[48 51] ; [ 76 162],[36.4272997 62.5727003] ; [ 87.5727003 150.4272997],0
p12,1,0.011198,6.433543,[ 3 96] ; [ 28 209],[ 9.13392857 89.86607143] ; [ 21.86607143 215.13392857],0
b5,1,0.011314,6.415257,[70 29] ; [133 105],[59.63501484 39.36498516] ; [143.36498516  94.63501484],0
v4,1,0.037745,4.31647,[93  5] ; [232   3],[95.64564565  2.35435435] ; [229.35435435   5.64564565],0
u1,1,0.04889,3.879122,[35 64] ; [ 59 179],[27.61424332 71.38575668] ; [ 66.38575668 171.61424332],0
n5,1,0.054017,3.712183,[71 27] ; [194  43],[77.52238806 20.47761194] ; [187.47761194  49.52238806],0
p1,1,0.069437,3.296284,[ 5 94] ; [ 27 209],[ 9.45671642 89.54328358] ; [ 22.54328358 213.45671642],0
v3,1,0.076384,3.140206,[36 58] ; [112 116],[43.20496894 50.79503106] ; [104.79503106 123.20496894],0
s8,1,0.089987,2.874603,[46 53] ; [133 102],[53.05688623 45.94311377] ; [125.94311377 109.05688623],0
a4,1,0.112513,2.518561,[64 35] ; [131 106],[57.45535714 41.54464286] ; [137.54464286  99.45535714],0
d2,1,0.122828,2.380888,[76 22] ; [164  73],[70.20895522 27.79104478] ; [169.79104478  67.20895522],0
s2,1,0.191741,1.704187,[61 37] ; [128 107],[55.62162162 42.37837838] ; [133.37837838 101.62162162],0
d5,1,0.193964,1.687248,[94  4] ; [232   4],[95.65269461  2.34730539] ; [230.34730539   5.65269461],0
s5,1,0.203271,1.618718,[36 61] ; [102 126],[41.18769231 55.81230769] ; [ 96.81230769 131.18769231],0
a8,1,0.213421,1.548065,[18 64] ; [ 34 181],[14.35690236 67.64309764] ; [ 37.64309764 177.35690236],0
u4,1,0.220852,1.498827,[ 1 98] ; [  8 229],[ 2.65178571 96.34821429] ; [  6.34821429 230.65178571],0
a1,1,0.233106,1.421807,[ 4 95] ; [ 18 220],[ 6.46290801 92.53709199] ; [ 15.53709199 222.46290801],0
b3,1,0.245643,1.347913,[31 34] ; [60 93],[27.13302752 37.86697248] ; [63.86697248 89.13302752],0
b2,1,0.245643,1.347913,[31 34] ; [60 93],[27.13302752 37.86697248] ; [63.86697248 89.13302752],0
r1,1,0.245995,1.345906,[84 15] ; [210  25],[87.14371257 11.85628743] ; [206.85628743  28.14371257],0
r4,1,0.258013,1.279385,[93  6] ; [230   8],[94.88724036  4.11275964] ; [228.11275964   9.88724036],0
u2,1,0.296377,1.090424,[11  4] ; [25 18],[9.31034483 5.68965517] ; [26.68965517 16.31034483],0
s3,1,0.313199,1.017136,[62 35] ; [135  98],[57.90606061 39.09393939] ; [139.09393939  93.90606061],0
a7,1,0.365175,0.820016,[79 20] ; [179  59],[75.79228487 23.20771513] ; [182.20771513  55.79228487],0
n4,1,0.402626,0.70047,[80 18] ; [203  35],[82.54166667 15.45833333] ; [200.45833333  37.54166667],0
s7,1,0.413157,0.669699,[58 39] ; [124 102],[54.65634675 42.34365325] ; [127.34365325  98.65634675],0
n3,1,0.423902,0.639472,[19  4] ; [22  8],[17.79245283  5.20754717] ; [23.20754717  6.79245283],0
n2,1,0.452288,0.564911,[15  7] ; [24  7],[16.18867925  5.81132075] ; [22.81132075  8.18867925],0
s1,1,0.452297,0.564889,[ 4 94] ; [  6 230],[ 2.93413174 95.06586826] ; [  7.06586826 228.93413174],0
n1,1,0.495559,0.464434,[ 7 15] ; [ 7 23],[ 5.92307692 16.07692308] ; [ 8.07692308 21.92307692],0
p10,1,0.500617,0.453628,[87 12] ; [215  23],[88.71810089 10.28189911] ; [213.28189911  24.71810089],0
b1,1,0.506557,0.441173,[40 59] ; [ 87 151],[37.30860534 61.69139466] ; [ 89.69139466 148.30860534],0
d4,1,0.650771,0.204929,[96  1] ; [232   4],[95.54354354  1.45645646] ; [232.45645646   3.54354354],0
p9,1,0.720246,0.128257,[89 10] ; [216  21],[89.86607143  9.13392857] ; [215.13392857  21.86607143],0
s4,1,0.781032,0.07727,[17 82] ; [ 43 190],[17.89156627 81.10843373] ; [ 42.10843373 190.89156627],0
a3,1,0.787776,0.072469,[83 16] ; [195  41],[82.15522388 16.84477612] ; [195.84477612  40.15522388],0
v2,1,0.788633,0.07187,[60 33] ; [146  86],[58.94769231 34.05230769] ; [147.05230769  84.94769231],0
d3,1,0.794087,0.068125,[88 10] ; [215  22],[88.63880597  9.36119403] ; [214.36119403  22.63880597],0
s6,1,0.869901,0.026825,[69 29] ; [164  66],[69.61585366 28.38414634] ; [163.38414634  66.61585366],0
u3,1,0.886703,0.0203,[10  6] ; [26 17],[9.76271186 6.23728814] ; [26.23728814 16.76271186],0
b4,1,0.910934,0.012513,[58 41] ; [141  97],[58.45994065 40.54005935] ; [140.54005935  97.45994065],0
a5,1,0.938461,0.005961,[86 13] ; [206  32],[85.78041543 13.21958457] ; [206.21958457  31.78041543],0
r2,1,0.965616,0.001858,[95  2] ; [229   5],[94.94864048  2.05135952] ; [229.05135952   4.94864048],0
