Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.505957,[95  8] ; [35 21],[84.21383648 18.78616352] ; [45.78616352 10.21383648],1
r4,1,4e-06,21.172548,[82 21] ; [25 32],[68.88125 34.11875] ; [38.11875 18.88125],1
s6,1,0.000176,14.07656,[64 37] ; [18 38],[52.75159236 48.24840764] ; [29.24840764 26.75159236],1
p4,1,0.000273,13.244762,[52 51] ; [12 45],[41.2 61.8] ; [22.8 34.2],1
r3,1,0.000483,12.179123,[87 15] ; [34 22],[78.11392405 23.88607595] ; [42.88607595 13.11392405],1
p9,1,0.000576,11.850691,[67 32] ; [21 33],[56.94117647 42.05882353] ; [31.05882353 22.94117647],1
s8,1,0.001182,10.517681,[37 65] ; [ 7 50],[28.22641509 73.77358491] ; [15.77358491 41.22641509],0
p2,1,0.002527,9.120721,[72 31] ; [26 31],[63.0875 39.9125] ; [34.9125 22.0875],0
n5,1,0.002781,8.946154,[71 32] ; [25 31],[62.18867925 40.81132075] ; [33.81132075 22.18867925],0
p8,1,0.003968,8.298562,[35 68] ; [ 7 48],[27.37974684 75.62025316] ; [14.62025316 40.37974684],0
n4,1,0.010836,6.491978,[66 36] ; [25 32],[58.37735849 43.62264151] ; [32.62264151 24.37735849],0
p10,1,0.011683,6.358325,[57 44] ; [19 35],[49.52258065 51.47741935] ; [26.47741935 27.52258065],0
r2,1,0.01179,6.342246,[91 10] ; [42 14],[85.56050955 15.43949045] ; [47.43949045  8.56050955],0
s7,1,0.017784,5.617268,[43 53] ; [13 39],[36.32432432 59.67567568] ; [19.67567568 32.32432432],0
p7,1,0.033934,4.498031,[53 50] ; [19 37],[46.64150943 56.35849057] ; [25.35849057 30.64150943],0
u1,1,0.039489,4.239726,[17 86] ; [ 3 54],[12.875 90.125] ; [ 7.125 49.875],0
a1,1,0.045316,4.006854,[  3 100] ; [ 6 51],[ 5.79375 97.20625] ; [ 3.20625 53.79375],0
n2,1,0.045661,3.99404,[28 11] ; [15 16],[23.95714286 15.04285714] ; [19.04285714 11.95714286],0
a5,1,0.06574,3.386298,[66 37] ; [28 29],[60.5125 42.4875] ; [33.4875 23.5125],0
n1,1,0.070889,3.262319,[21 18] ; [10 21],[17.27142857 21.72857143] ; [13.72857143 17.27142857],0
p6,1,0.07487,3.172876,[32 70] ; [10 45],[27.2866242 74.7133758] ; [14.7133758 40.2866242],0
s2,1,0.083067,3.003854,[47 56] ; [18 39],[41.84375 61.15625] ; [23.15625 33.84375],0
s3,1,0.117156,2.454929,[57 45] ; [24 32],[52.29113924 49.70886076] ; [28.70886076 27.29113924],0
p5,1,0.119003,2.430392,[ 8 95] ; [ 1 55],[ 5.83018868 97.16981132] ; [ 3.16981132 52.83018868],0
b5,1,0.146803,2.105156,[68 35] ; [31 26],[63.73125 39.26875] ; [35.26875 21.73125],0
r1,1,0.161249,1.962477,[68 33] ; [32 25],[63.92405063 37.07594937] ; [36.07594937 20.92405063],0
p3,1,0.196562,1.667736,[38 65] ; [15 41],[34.33333333 68.66666667] ; [18.66666667 37.33333333],0
b1,1,0.225826,1.466961,[53 50] ; [35 22],[56.65 46.35] ; [31.35 25.65],0
u2,1,0.233109,1.421788,[12 25] ; [11 12],[14.18333333 22.81666667] ; [ 8.81666667 14.18333333],0
d5,1,0.269571,1.21893,[78 24] ; [39 18],[75.05660377 26.94339623] ; [41.94339623 15.05660377],0
s5,1,0.281507,1.159801,[29 70] ; [11 41],[26.22516556 72.77483444] ; [13.77483444 38.22516556],0
s4,1,0.393085,0.729377,[26 77] ; [11 46],[23.81875 79.18125] ; [13.18125 43.81875],0
d1,1,0.409134,0.681315,[54 49] ; [26 31],[51.5 51.5] ; [28.5 28.5],0
a6,1,0.457464,0.552092,[57 46] ; [35 22],[59.225 43.775] ; [32.775 24.225],0
a7,1,0.45977,0.546454,[72 30] ; [37 20],[69.9245283 32.0754717] ; [39.0754717 17.9245283],0
v2,1,0.525921,0.402267,[35 66] ; [16 38],[33.23225806 67.76774194] ; [17.76774194 36.23225806],0
b2,1,0.534284,0.386238,[19 34] ; [10 24],[17.66666667 35.33333333] ; [11.33333333 22.66666667],0
b3,1,0.534284,0.386238,[19 34] ; [10 24],[17.66666667 35.33333333] ; [11.33333333 22.66666667],0
p1,1,0.563989,0.332844,[10 93] ; [ 4 53],[ 9.0125 93.9875] ; [ 4.9875 52.0125],0
a3,1,0.650599,0.205145,[65 36] ; [34 22],[63.68789809 37.31210191] ; [35.31210191 20.68789809],0
d3,1,0.655591,0.198924,[62 40] ; [32 24],[60.6835443 41.3164557] ; [33.3164557 22.6835443],0
n3,1,0.682877,0.166906,[24 15] ; [17 13],[23.17391304 15.82608696] ; [17.82608696 12.17391304],0
b4,1,0.688823,0.160363,[49 54] ; [29 28],[50.2125 52.7875] ; [27.7875 29.2125],0
d4,1,0.749185,0.102217,[76 27] ; [40 16],[75.14465409 27.85534591] ; [40.85534591 15.14465409],0
s1,1,0.755596,0.096888,[ 6 96] ; [ 4 52],[ 6.4556962 95.5443038] ; [ 3.5443038 52.4556962],0
a4,1,0.781062,0.077248,[42 59] ; [25 32],[42.82911392 58.17088608] ; [24.17088608 32.82911392],0
a2,1,0.804424,0.061318,[20 83] ; [12 45],[20.6 82.4] ; [11.4 45.6],0
u3,1,0.851813,0.034897,[17 20] ; [10 13],[16.65 20.35] ; [10.35 12.65],0
d2,1,0.895685,0.017191,[49 53] ; [28 29],[49.39622642 52.60377358] ; [27.60377358 29.39622642],0
a8,1,0.917421,0.01075,[ 9 83] ; [ 5 49],[ 8.82191781 83.17808219] ; [ 5.17808219 48.82191781],0
v1,1,0.979154,0.000683,[36 66] ; [20 37],[35.9245283 66.0754717] ; [20.0754717 36.9245283],0
