Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,61.526308,[221  61] ; [41 70],[188.  94.] ; [74. 37.],1
d3,1,0.0,39.918579,[228  55] ; [54 57],[202.55329949  80.44670051] ; [79.44670051 31.55329949],1
a2,1,0.0,29.695815,[ 97 187] ; [  8 103],[ 75.49367089 208.50632911] ; [29.50632911 81.49367089],1
u1,1,4e-06,21.155672,[ 78 206] ; [  7 104],[ 61.11392405 222.88607595] ; [23.88607595 87.11392405],1
b5,1,4.5e-05,16.629705,[198  86] ; [53 58],[180.46582278 103.53417722] ; [70.53417722 40.46582278],1
r4,1,0.000754,11.352205,[271  13] ; [95 16],[263.14936709  20.85063291] ; [102.85063291   8.14936709],1
b3,1,0.003126,8.73251,[ 68 120] ; [45 36],[ 78.9739777 109.0260223] ; [34.0260223 46.9739777],0
b2,1,0.003126,8.73251,[ 68 120] ; [45 36],[ 78.9739777 109.0260223] ; [34.0260223 46.9739777],0
b1,1,0.004337,8.136917,[ 99 185] ; [56 55],[111.44303797 172.55696203] ; [43.55696203 67.44303797],0
p4,1,0.005075,7.852389,[206  75] ; [64 45],[194.53846154  86.46153846] ; [75.46153846 33.53846154],0
d1,1,0.005923,7.573468,[193  91] ; [59 52],[181.18481013 102.81518987] ; [70.81518987 40.18481013],0
a5,1,0.016584,5.739853,[231  53] ; [78 33],[222.16708861  61.83291139] ; [86.83291139 24.16708861],0
n6,1,0.02949,4.738778,[259  23] ; [92 17],[253.15089514  28.84910486] ; [97.84910486 11.15089514],0
v4,1,0.043061,4.093019,[275   8] ; [101   8],[271.44897959  11.55102041] ; [104.55102041   4.44897959],0
p12,1,0.050999,3.808303,[ 35 247] ; [  6 101],[ 29.72236504 252.27763496] ; [11.27763496 95.72236504],0
r2,1,0.056501,3.637218,[276   7] ; [101   7],[272.86700767  10.13299233] ; [104.13299233   3.86700767],0
r1,1,0.059315,3.556427,[245  37] ; [88 23],[238.94656489  43.05343511] ; [94.05343511 16.94656489],0
s7,1,0.074245,3.186588,[139 126] ; [67 40],[146.74731183 118.25268817] ; [59.25268817 47.74731183],0
s3,1,0.08518,2.963178,[149 125] ; [71 40],[156.57142857 117.42857143] ; [63.42857143 47.57142857],0
a8,1,0.114602,2.489579,[ 47 196] ; [13 92],[ 41.89655172 201.10344828] ; [18.10344828 86.89655172],0
s8,1,0.119014,2.430244,[139 140] ; [65 46],[145.93846154 133.06153846] ; [58.06153846 52.93846154],0
p1,1,0.141109,2.165822,[ 32 251] ; [  7 103],[ 28.08396947 254.91603053] ; [10.91603053 99.08396947],0
d5,1,0.152092,2.05114,[243  40] ; [88 22],[238.35368957  44.64631043] ; [92.64631043 17.35368957],0
p3,1,0.178682,1.808551,[170 112] ; [57 51],[164.13846154 117.86153846] ; [62.86153846 45.13846154],0
p6,1,0.179648,1.800537,[134 144] ; [43 63],[128.140625 149.859375] ; [48.859375 57.140625],0
p2,1,0.18573,1.75117,[252  31] ; [90 17],[248.16923077  34.83076923] ; [93.83076923 13.16923077],0
s5,1,0.215506,1.53405,[101 168] ; [48 60],[106.31564987 162.68435013] ; [42.68435013 65.31564987],0
u3,1,0.222993,1.485006,[44 27] ; [12 13],[41.41666667 29.58333333] ; [14.58333333 10.41666667],0
p8,1,0.266485,1.234751,[172 106] ; [59 47],[167.234375 110.765625] ; [63.765625 42.234375],0
b4,1,0.293014,1.105723,[170 114] ; [60 51],[165.36708861 118.63291139] ; [64.63291139 46.36708861],0
r3,1,0.29915,1.07798,[274   9] ; [105   6],[272.22588832  10.77411168] ; [106.77411168   4.22588832],0
s2,1,0.327016,0.960679,[149 127] ; [66 45],[153.33333333 122.66666667] ; [61.66666667 49.33333333],0
v3,1,0.375928,0.783976,[141 133] ; [61 47],[144.89005236 129.10994764] ; [57.10994764 50.89005236],0
n2,1,0.422543,0.643231,[31  7] ; [16  6],[29.76666667  8.23333333] ; [17.23333333  4.76666667],0
